Date,Open,High,Low,Close,Volume
2024-04-05,195.46,195.52,194.9,195.51,9033675
2024-04-08,194.89,194.93,193.71,194.43,7998942
2024-04-09,192.88,193.6,192.06,192.94,10084758
2024-04-10,186.06,186.42,185.53,185.76,12869422
2024-04-11,186.75,187.93,186.69,187.71,5302340
2024-04-12,185.33,185.34,183.95,184.43,9128795
2024-04-15,189.36,190.03,188.66,188.71,11011058
2024-04-16,191.37,192.13,190.69,191.79,4900411
2024-04-17,191.21,191.47,190.6,190.67,9534364
2024-04-18,187.33,187.7,186.83,187.4,10435151
2024-04-19,186.74,187.97,186.4,187.53,6876907
2024-04-22,187.44,187.48,186.64,187.28,8888504
2024-04-23,187.31,188.24,187.08,187.94,9250060
2024-04-24,188.27,190.18,187.89,189.28,5234727
2024-04-25,189.07,189.56,188.69,188.89,3506096
2024-04-26,193.33,194.01,192.37,192.4,8351516
2024-04-29,190.11,190.6,189.97,190.49,5718481
2024-04-30,189.86,189.94,188.81,189.18,7342649
2024-05-01,190.26,190.61,188.75,188.86,4347087
2024-05-02,184.88,185.97,184.74,185.76,9155326
2024-05-03,185.77,186.01,185.57,185.63,8135235
2024-05-06,187.37,187.64,186.51,186.98,6858829
2024-05-07,186.32,186.93,186.1,186.8,7625441
2024-05-08,186.69,187.71,186.24,187.61,9783826
2024-05-09,194.43,194.53,194.41,194.45,7515104
2024-05-10,190.18,190.75,190.11,190.45,7407293
2024-05-13,191.69,192.46,191.47,191.95,7677332
2024-05-14,191.94,192.51,191.46,191.51,6275616
2024-05-15,191.09,191.1,190.76,190.99,11115695
2024-05-16,190.8,190.85,189.75,190.37,4644226
2024-05-17,187.98,189.04,187.44,188.54,7782553
2024-05-20,188.85,189.11,188.1,188.4,5085521
2024-05-21,188.23,188.7,187.81,188.47,12077428
2024-05-22,182.89,183.66,182.49,183.51,8579817
2024-05-23,177.14,178.78,176.92,178.29,10036752
2024-05-24,180.49,180.59,180.11,180.39,9606812
2024-05-27,184.86,186.21,184.42,185.61,9204034
2024-05-28,182.15,182.38,181.95,182.33,15796283
2024-05-29,183.21,183.44,182.79,183.18,13734378
2024-05-30,186.24,186.84,185.8,186.28,4684379
2024-05-31,188.49,189.02,188.28,188.91,7361732
2024-06-03,192.12,194.01,191.62,193.38,6140729
2024-06-04,194.94,194.98,194.55,194.57,7404162
2024-06-05,192.05,192.21,190.32,190.48,7850175
2024-06-06,190.22,190.76,189.55,189.86,11709889
2024-06-07,195.6,196.44,195.25,195.96,8769500
2024-06-10,195.66,195.81,195.15,195.53,6062045
2024-06-11,192.64,192.84,191.72,192.31,7197092
2024-06-12,193.63,194.19,193.3,193.47,16658272
2024-06-13,196.62,197.19,196.4,197.04,6072855
2024-06-14,198.34,199.18,198.17,198.83,6220899
2024-06-17,197.58,197.98,195.99,196.41,5426874
2024-06-18,197.58,197.83,197.43,197.63,4700998
2024-06-19,196.49,196.52,196.05,196.23,8541802
2024-06-20,191.63,192.08,191.23,191.99,7752287
2024-06-21,194.07,194.91,193.46,194.71,12907225
2024-06-24,190.73,191.81,190.39,191.26,4610970
2024-06-25,189.58,190.13,189.01,190.08,6816281
2024-06-26,188.5,188.67,187.96,188.05,16032721
2024-06-27,185.29,185.54,185.03,185.34,8161363
2024-06-28,183.28,183.87,182.73,182.94,8957217
2024-07-01,187.6,187.71,186.76,187.11,5595351
2024-07-02,186.63,186.73,185.02,185.62,8020776
2024-07-03,186.37,186.9,186.21,186.54,6871050
2024-07-04,184.56,185.13,184.23,184.97,8935700
2024-07-05,189.63,189.9,189.48,189.65,8122985
2024-07-08,192.19,192.82,190.71,190.81,7330570
2024-07-09,194.28,194.98,194.2,194.81,8581162
2024-07-10,201.49,202.03,200.59,200.97,7922647
2024-07-11,201.58,201.59,200.49,200.86,6363243
2024-07-12,199.74,200.22,199.58,200.09,8164193
2024-07-15,199.76,200.05,199.58,199.99,8665217
2024-07-16,198.66,198.83,197.56,197.73,8131198
2024-07-17,192.08,192.31,189.8,190.29,9119370
2024-07-18,191.47,191.7,190.95,191.06,7150749
2024-07-19,194.02,194.69,192.73,192.84,9764698
2024-07-22,197.97,198.79,197.36,197.74,9408202
2024-07-23,197.52,198.08,196.72,197.12,6702470
2024-07-24,195.55,196.68,195.44,196.37,5276678
2024-07-25,196.78,197.82,196.39,197.5,10382835
2024-07-26,192.25,192.28,192.05,192.19,15393109
2024-07-29,198.65,199.18,198.21,198.92,7839641
2024-07-30,198.41,199.06,198.12,198.71,4574276
2024-07-31,198.92,199.11,198.14,198.55,14727231
2024-08-01,197.55,197.63,196.45,196.63,4879218
2024-08-02,201.32,201.94,200.82,201.04,10799048
2024-08-05,202.11,203.09,201.87,202.7,8127531
2024-08-06,206.71,207.18,205.97,206.24,6967284
2024-08-07,202.92,203.22,202.81,202.88,5675949
2024-08-08,204.04,204.57,203.23,204.13,11132581
2024-08-09,205.77,206.27,205.69,205.84,21665675
2024-08-12,206.06,206.63,205.23,205.6,7972740
2024-08-13,207.47,208.05,206.99,207.72,5504690
2024-08-14,211.81,211.83,211.51,211.79,7820232
2024-08-15,214.31,214.77,214.0,214.45,8083207
2024-08-16,217.07,217.58,215.98,216.07,7632671
2024-08-19,211.5,212.32,211.06,212.05,7460270
2024-08-20,216.16,216.42,214.07,214.96,7510701
2024-08-21,215.19,215.69,214.44,214.65,9225718
2024-08-22,213.52,213.84,212.19,212.51,10752459
2024-08-23,209.99,210.37,209.25,209.87,12128525
2024-08-26,210.58,211.66,209.16,209.68,6048984
2024-08-27,207.07,207.8,206.87,207.61,6623033
2024-08-28,211.08,211.58,210.66,211.58,7485764
2024-08-29,214.47,215.06,213.65,214.78,5176591
2024-08-30,214.36,214.61,213.64,214.07,13092874
2024-09-02,212.28,212.32,211.16,211.68,8892034
2024-09-03,213.11,213.9,212.95,213.81,6651417
2024-09-04,213.98,214.67,213.81,214.41,6494991
2024-09-05,211.25,212.32,210.83,212.04,3367382
2024-09-06,214.56,215.12,214.15,214.65,10669365
2024-09-09,209.63,209.99,208.96,209.2,10844883
2024-09-10,216.28,216.49,213.86,214.98,9577733
2024-09-11,215.93,217.07,215.9,216.51,5113583
2024-09-12,212.0,213.28,211.68,212.95,4250623
2024-09-13,208.6,209.13,208.41,208.63,13268503
2024-09-16,207.19,207.38,206.93,207.2,7060874
2024-09-17,208.53,208.83,207.79,208.22,11831526
2024-09-18,211.37,212.04,211.24,212.0,9679345
2024-09-19,210.96,211.19,209.52,210.34,7623376
2024-09-20,212.75,213.43,212.02,212.43,8772862
2024-09-23,211.89,213.45,211.81,213.35,3890261
2024-09-24,217.86,218.29,217.63,217.96,6737565
2024-09-25,219.47,220.58,218.73,220.32,4976184
2024-09-26,217.27,217.65,217.21,217.3,6294954
2024-09-27,215.9,216.59,215.17,216.33,5647260
2024-09-30,217.79,218.62,217.74,218.37,11022935
2024-10-01,224.62,225.07,223.37,223.63,5868344
2024-10-02,221.01,221.4,220.91,221.21,6757570
2024-10-03,214.83,215.08,214.2,214.44,6667901
2024-10-04,208.09,208.29,207.52,207.7,8055703
2024-10-07,206.61,206.67,205.91,206.17,9372439
2024-10-08,208.43,208.58,208.08,208.5,5803672
2024-10-09,213.63,213.73,212.9,213.14,9228162
2024-10-10,217.17,217.37,215.57,215.64,5692996
2024-10-11,212.91,214.7,212.82,214.52,9386292
2024-10-14,216.97,217.79,216.66,217.51,7150366
2024-10-15,219.62,219.88,218.84,219.48,7607833
2024-10-16,221.15,221.16,220.67,220.89,5448052
2024-10-17,220.81,221.87,220.56,221.68,8544272
2024-10-18,224.1,224.7,223.67,224.42,10623973
2024-10-21,224.81,225.5,224.04,224.44,6102465
2024-10-22,226.07,228.85,225.97,228.27,7513059
2024-10-23,224.09,224.62,223.28,224.52,4694816
2024-10-24,226.64,227.3,225.9,227.04,7958210
2024-10-25,227.57,228.33,226.94,228.26,8829143
2024-10-28,222.91,224.16,222.21,223.26,12615575
2024-10-29,223.95,224.53,223.44,223.95,5620922
2024-10-30,226.87,227.38,226.64,226.66,8768777
2024-10-31,228.17,229.37,227.86,229.36,10986945
2024-11-01,232.83,233.68,232.28,232.69,9593123
2024-11-04,228.92,228.94,227.91,228.41,6201524
2024-11-05,227.07,228.2,226.88,227.6,8141163
2024-11-06,227.92,228.5,227.41,228.31,6927878
2024-11-07,228.42,228.68,226.22,227.39,11134689
2024-11-08,228.19,228.26,227.18,227.38,10061127
2024-11-11,229.74,229.82,229.59,229.81,8363961
2024-11-12,230.43,230.67,228.67,229.39,9710817
2024-11-13,227.78,228.1,226.28,227.17,7855748
2024-11-14,226.32,226.8,225.24,225.81,12038611
2024-11-15,220.11,222.12,220.01,221.91,9137915
2024-11-18,222.36,222.64,221.77,221.95,6883217
2024-11-19,219.72,220.14,219.33,219.87,7387978
2024-11-20,219.56,219.74,219.26,219.55,5729295
2024-11-21,214.45,214.7,214.32,214.32,8285960
2024-11-22,214.43,215.69,214.28,215.3,6701349
2024-11-25,214.43,215.48,213.74,214.64,5785902
2024-11-26,220.82,221.05,219.81,220.29,6966163
2024-11-27,223.22,223.53,222.72,222.85,10805738
2024-11-28,227.99,228.39,227.41,227.99,10284779
2024-11-29,225.4,225.56,224.26,224.42,9422037
2024-12-02,226.88,227.51,225.25,226.09,9795281
2024-12-03,228.77,229.04,228.56,228.57,10390581
2024-12-04,227.6,228.23,227.15,227.17,5429112
2024-12-05,230.4,230.7,229.68,230.18,8101649
2024-12-06,238.86,239.44,238.83,239.25,10119071
2024-12-09,242.22,242.87,242.12,242.47,5066293
2024-12-10,242.82,242.87,242.13,242.66,7172448
2024-12-11,249.31,251.31,248.42,250.96,7917489
2024-12-12,243.86,244.08,243.26,243.59,4699173
2024-12-13,240.57,241.09,240.25,240.83,15717466
2024-12-16,241.27,241.35,240.05,240.12,7943146
2024-12-17,240.53,241.07,240.03,240.81,11546722
2024-12-18,243.64,244.48,242.68,243.91,5402962
2024-12-19,245.69,246.29,245.2,245.76,4243971
2024-12-20,241.57,242.17,241.35,241.64,8035111
2024-12-23,238.89,239.72,238.84,239.43,6955440
2024-12-24,238.12,238.41,236.88,237.01,5979842
2024-12-25,236.75,236.95,235.02,235.24,11724693
2024-12-26,230.79,231.08,229.96,230.45,9043984
2024-12-27,229.42,231.18,229.15,230.69,10279836
2024-12-30,231.43,232.76,231.41,232.36,5461691
2024-12-31,229.35,229.66,228.37,228.71,7255471
2025-01-01,230.28,230.62,230.03,230.46,5997271
2025-01-02,234.33,234.9,233.87,234.14,7980789
2025-01-03,233.0,233.39,232.92,233.11,10155137
2025-01-06,233.83,235.32,233.16,234.92,6900893
2025-01-07,235.36,235.59,234.7,234.84,11600654
2025-01-08,235.86,236.69,235.66,235.98,7433676
2025-01-09,238.03,239.02,237.72,238.49,4032100
2025-01-10,237.32,237.97,237.21,237.93,6883640
2025-01-13,234.12,235.14,234.04,234.74,9057013
2025-01-14,232.58,233.29,232.07,232.88,8751507
2025-01-15,235.92,237.84,235.79,237.37,5444391
2025-01-16,240.88,241.91,239.68,241.68,5873637
2025-01-17,236.51,238.19,236.43,237.62,8051168
2025-01-20,239.71,240.75,239.31,239.99,4207060
2025-01-21,240.31,240.66,239.57,239.84,10450015
2025-01-22,239.85,240.43,239.5,240.19,9489437
2025-01-23,250.66,251.2,250.24,250.93,7533452
2025-01-24,248.93,249.1,248.04,249.01,10665042
2025-01-27,246.78,248.65,246.47,248.28,8196950
2025-01-28,254.18,254.23,253.75,253.8,9859305
2025-01-29,248.42,248.48,248.36,248.41,6785912
2025-01-30,241.15,241.9,240.47,241.7,8118070
2025-01-31,239.96,240.53,238.8,239.33,6518041
2025-02-03,237.42,239.08,236.96,239.04,7885914
2025-02-04,234.94,235.03,234.48,234.83,5857953
2025-02-05,233.97,234.34,233.35,234.23,8691531
2025-02-06,237.99,238.72,236.21,237.37,10411378
2025-02-07,238.1,238.6,237.92,238.54,7693004
2025-02-10,238.81,239.36,237.39,237.95,6003804
2025-02-11,236.37,237.08,236.01,237.06,7428892
2025-02-12,234.17,234.54,233.29,233.63,8202441
2025-02-13,238.42,239.32,237.97,238.95,7639686
2025-02-14,234.76,236.13,234.66,236.1,5103803
2025-02-17,236.13,236.48,235.11,235.35,5943796
2025-02-18,237.28,237.78,236.94,237.68,16395888
2025-02-19,237.17,238.71,236.7,238.38,8377458
2025-02-20,242.65,244.23,242.38,243.62,10527223
2025-02-21,239.16,239.72,238.94,239.58,10174296
2025-02-24,235.89,236.65,235.01,236.62,6267820
2025-02-25,240.38,240.39,239.96,240.11,9834063
2025-02-26,236.31,236.82,235.55,235.7,8366014
2025-02-27,242.32,244.04,241.89,244.04,7546961
2025-02-28,235.26,236.5,234.81,236.32,11962105
2025-03-03,233.86,234.19,233.0,233.57,6752526
2025-03-04,235.24,235.53,234.63,235.02,6605822
2025-03-05,235.79,237.0,235.7,236.93,8857010
2025-03-06,231.76,233.59,231.22,232.94,9177862
2025-03-07,231.13,232.04,231.0,231.65,11105346
2025-03-10,232.75,233.25,232.25,232.58,6074896
2025-03-11,232.27,233.03,232.22,232.41,6371342
2025-03-12,227.92,227.96,227.45,227.54,9580686
2025-03-13,229.17,229.65,228.7,228.77,5385769
2025-03-14,231.35,231.6,231.26,231.33,13877959
