Date,Open,High,Low,Close,Volume
2024-04-05,176.13,176.72,175.65,176.53,7925296
2024-04-08,179.08,179.68,178.92,179.47,6636686
2024-04-09,183.18,183.37,182.55,182.81,6657204
2024-04-10,179.72,180.36,179.51,180.23,10187073
2024-04-11,180.88,180.93,180.11,180.35,12816150
2024-04-12,176.76,176.86,176.58,176.64,8856075
2024-04-15,177.86,178.21,177.76,178.16,8057000
2024-04-16,181.68,181.75,180.84,181.31,13526813
2024-04-17,181.17,181.26,180.68,181.08,11062282
2024-04-18,180.78,180.78,180.38,180.43,8896989
2024-04-19,180.59,180.76,180.58,180.72,8794382
2024-04-22,178.35,179.1,177.92,178.9,8526920
2024-04-23,181.03,181.48,180.73,180.78,11456045
2024-04-24,185.97,186.17,184.62,184.88,8930431
2024-04-25,181.04,181.25,180.07,180.68,8021857
2024-04-26,178.71,178.91,177.96,178.14,13716389
2024-04-29,175.36,175.66,174.73,174.91,8593562
2024-04-30,173.76,173.77,173.56,173.64,6196644
2024-05-01,176.17,176.71,176.16,176.58,8087119
2024-05-02,176.41,176.47,175.46,175.81,5497468
2024-05-03,176.4,176.54,176.32,176.39,10206385
2024-05-06,175.91,176.11,175.18,175.38,15992401
2024-05-07,174.32,174.85,174.25,174.54,12043292
2024-05-08,173.94,174.27,173.44,173.8,14347371
2024-05-09,171.95,172.62,171.83,172.58,8934410
2024-05-10,171.06,172.01,170.86,171.67,21461323
2024-05-13,171.31,171.48,170.26,170.28,8505376
2024-05-14,165.76,165.97,165.35,165.64,20221931
2024-05-15,166.48,166.7,166.09,166.28,9369185
2024-05-16,162.25,162.38,161.01,161.36,7803946
2024-05-17,165.62,165.73,165.28,165.33,5628337
2024-05-20,164.55,164.66,164.3,164.42,6295459
2024-05-21,166.81,167.08,166.48,166.56,10448466
2024-05-22,161.35,162.57,160.94,161.93,15186679
2024-05-23,160.98,161.6,160.75,161.49,14261089
2024-05-24,160.03,160.28,159.61,159.84,5018095
2024-05-27,159.86,160.63,159.61,160.18,12506111
2024-05-28,160.25,160.28,159.93,160.07,8061609
2024-05-29,155.97,156.71,155.2,155.21,7319056
2024-05-30,159.44,159.94,159.2,159.87,10401079
2024-05-31,163.19,163.23,162.36,162.65,9438477
2024-06-03,160.93,161.57,160.54,160.77,13771845
2024-06-04,161.19,161.39,160.79,161.15,12881820
2024-06-05,161.94,161.97,161.46,161.77,9049529
2024-06-06,163.29,164.16,163.13,163.9,10747228
2024-06-07,166.82,167.06,166.74,166.77,9700911
2024-06-10,168.13,168.47,167.82,167.99,7772971
2024-06-11,169.42,169.69,169.22,169.48,7837986
