Date,Open,High,Low,Close,Volume
2024-04-05,176.29,176.84,175.95,176.17,4341666
2024-04-08,178.45,179.75,178.4,179.68,3237219
2024-04-09,180.97,182.94,180.56,182.48,5406272
2024-04-10,178.87,179.62,178.4,178.69,5774071
2024-04-11,174.76,175.74,174.61,175.22,2819085
2024-04-12,173.25,173.43,172.63,172.98,4510918
2024-04-15,171.69,171.96,171.07,171.51,5552431
2024-04-16,175.45,175.62,173.41,174.5,5477201
2024-04-17,170.87,172.78,170.56,171.92,3451543
2024-04-18,168.71,170.09,168.48,170.01,3796273
2024-04-19,172.82,174.09,171.92,172.46,4242305
2024-04-22,170.53,171.97,170.43,171.09,4155967
2024-04-23,178.77,178.82,177.71,177.97,3291921
2024-04-24,187.81,188.24,184.19,184.95,1940662
2024-04-25,179.21,179.41,177.72,178.43,5416679
2024-04-26,179.59,180.3,177.61,178.37,2741142
2024-04-29,179.2,180.21,178.46,178.53,7979103
2024-04-30,180.9,181.92,178.67,179.67,6933862
2024-05-01,179.72,181.23,179.29,180.48,4467248
2024-05-02,190.3,192.32,190.24,191.54,4994300
2024-05-03,199.09,199.79,196.58,197.25,7992735
2024-05-06,204.59,206.48,204.29,205.75,4502655
2024-05-07,208.27,211.99,207.57,210.96,3569294
2024-05-08,207.11,208.03,206.15,207.26,2545673
2024-05-09,207.79,208.18,207.03,207.21,6880457
2024-05-10,209.4,211.72,208.87,210.77,5355588
2024-05-13,216.61,217.82,214.06,214.82,2593479
2024-05-14,216.4,216.69,213.91,214.26,3678632
2024-05-15,216.23,216.52,214.99,215.13,3319906
2024-05-16,222.18,222.67,220.15,220.65,8401405
2024-05-17,221.9,225.11,221.72,224.32,6326854
2024-05-20,223.72,223.96,223.15,223.51,4000749
2024-05-21,224.17,224.28,223.03,223.53,4071563
2024-05-22,227.44,229.77,227.26,228.21,3225124
2024-05-23,239.52,239.88,237.61,237.92,5137712
2024-05-24,230.68,232.63,230.57,232.63,6991588
2024-05-27,234.76,235.01,234.18,234.72,5377728
2024-05-28,235.82,236.81,234.09,236.07,7284715
2024-05-29,229.72,229.81,229.39,229.61,3842651
2024-05-30,239.14,239.47,238.42,238.64,4148477
2024-05-31,234.22,235.28,232.79,234.51,2035892
2024-06-03,242.71,242.9,239.82,239.83,5499074
2024-06-04,243.03,243.38,241.39,241.73,5289689
2024-06-05,247.39,247.69,243.76,245.58,3297682
2024-06-06,254.18,254.7,253.28,253.45,4140644
2024-06-07,263.08,265.08,260.62,264.72,7505170
2024-06-10,255.11,255.99,253.87,253.87,6919967
2024-06-11,252.48,252.8,250.32,252.61,9407014
2024-06-12,252.79,253.77,252.14,252.31,5589587
2024-06-13,257.93,258.94,257.6,257.63,2751637
2024-06-14,255.81,256.1,254.7,255.21,4298464
2024-06-17,260.3,261.26,260.1,260.22,6839297
2024-06-18,251.82,253.36,250.28,252.6,8277192
2024-06-19,244.05,244.97,243.17,244.86,3603944
