Date,Open,High,Low,Close,Volume
2024-04-05,182.56,182.98,182.4,182.59,10068409
2024-04-08,181.71,183.35,181.14,182.51,5609348
2024-04-09,180.23,180.67,179.5,180.02,6173304
2024-04-10,177.25,177.25,176.44,176.54,6258942
2024-04-11,174.44,175.76,173.67,175.52,7686226
2024-04-12,174.35,175.34,173.52,175.01,20854012
2024-04-15,172.65,172.86,172.02,172.15,4868316
2024-04-16,166.95,167.71,166.72,167.29,6703275
2024-04-17,167.91,168.21,167.38,167.41,8011284
2024-04-18,170.48,171.46,170.06,171.11,9174574
2024-04-19,169.75,170.62,169.56,170.21,8860948
2024-04-22,166.42,167.05,166.35,166.37,4273602
2024-04-23,165.64,166.12,164.92,165.05,9399614
2024-04-24,166.36,166.39,166.02,166.07,5374574
2024-04-25,169.21,170.05,168.92,169.64,6178280
2024-04-26,165.07,165.37,164.56,165.28,10463652
2024-04-29,168.58,168.68,167.57,167.65,7008581
2024-04-30,168.13,169.55,167.98,169.16,6876320
2024-05-01,170.06,170.22,169.93,170.05,6633410
2024-05-02,168.01,168.31,166.66,166.71,3914646
2024-05-03,166.94,167.5,166.43,166.82,10075366
2024-05-06,165.45,166.53,164.87,166.1,9160592
2024-05-07,166.98,167.25,166.85,166.89,5405881
2024-05-08,166.32,166.37,165.83,166.0,7297990
2024-05-09,165.08,165.22,164.42,165.06,5505516
2024-05-10,162.59,163.38,162.46,162.76,7179851
2024-05-13,158.85,159.1,158.54,158.98,8449799
2024-05-14,161.2,161.47,160.95,161.28,10068028
2024-05-15,158.54,159.47,158.47,159.14,6338293
2024-05-16,162.84,163.62,162.14,162.83,8474342
2024-05-17,168.28,168.41,168.13,168.2,5236128
2024-05-20,171.03,171.15,170.37,170.53,6904590
2024-05-21,170.66,170.93,170.35,170.76,9792431
2024-05-22,170.6,171.24,170.6,170.96,7444249
2024-05-23,174.29,174.4,173.82,174.05,14100827
2024-05-24,169.41,170.46,169.31,170.25,10038572
2024-05-27,173.59,173.9,173.01,173.33,6127229
2024-05-28,171.4,173.09,171.22,172.39,6525988
2024-05-29,173.64,173.67,172.48,173.03,9730520
2024-05-30,168.28,168.34,167.79,168.31,13380873
2024-05-31,172.01,172.28,171.24,171.78,15317750
2024-06-03,173.56,173.91,173.14,173.39,8469600
2024-06-04,169.5,169.88,168.65,168.87,6805958
2024-06-05,168.1,168.34,167.83,168.34,12967939
2024-06-06,164.59,164.96,164.02,164.21,6010892
2024-06-07,164.98,166.9,164.96,166.71,8372900
2024-06-10,174.01,174.07,173.36,173.39,5530127
2024-06-11,176.6,176.86,175.58,175.69,3636071
2024-06-12,179.58,180.12,179.57,179.92,5430025
2024-06-13,174.58,175.06,173.73,174.08,13735931
2024-06-14,174.52,174.67,172.73,173.29,7537842
2024-06-17,174.68,174.87,174.11,174.19,4389003
2024-06-18,171.55,172.38,171.46,172.24,5955480
2024-06-19,170.01,170.17,169.7,170.04,10087128
2024-06-20,171.62,171.92,170.87,171.21,4654449
2024-06-21,175.67,176.32,174.92,175.41,5954014
2024-06-24,174.52,174.62,174.09,174.2,5478723
2024-06-25,177.66,177.66,177.12,177.53,5402128
2024-06-26,179.69,180.56,179.46,180.33,6392688
2024-06-27,180.07,180.12,179.69,179.72,11631850
2024-06-28,182.4,182.58,181.73,182.46,5837129
2024-07-01,183.11,183.86,182.44,183.25,7639804
2024-07-02,181.95,182.62,181.84,182.32,5891781
2024-07-03,185.07,185.67,184.16,184.41,17734544
2024-07-04,185.45,185.85,185.13,185.64,5472452
2024-07-05,188.08,188.76,187.18,187.58,7430767
2024-07-08,186.92,188.21,186.46,187.63,6193043
2024-07-09,192.71,194.19,192.08,193.65,6309252
2024-07-10,194.46,194.55,193.42,193.98,8673713
2024-07-11,194.84,195.83,194.34,194.78,6332268
2024-07-12,190.07,190.42,189.61,189.79,10128912
2024-07-15,184.52,184.67,184.21,184.56,8260190
2024-07-16,184.33,184.69,184.2,184.55,6348845
2024-07-17,188.33,189.59,187.51,189.28,8106403
2024-07-18,188.81,189.54,188.34,189.4,7014212
2024-07-19,191.05,192.21,190.88,191.97,6092911
2024-07-22,196.95,197.05,196.25,196.49,6277476
2024-07-23,197.68,197.82,197.0,197.35,5390381
2024-07-24,193.62,194.08,192.28,193.17,8488010
2024-07-25,193.68,193.97,193.41,193.95,8780718
2024-07-26,192.79,193.57,192.76,193.53,6869443
2024-07-29,192.69,192.85,191.84,192.01,8744694
2024-07-30,195.34,195.68,194.64,195.01,6020934
2024-07-31,195.93,196.48,195.77,196.4,5899787
2024-08-01,192.51,192.83,192.14,192.72,6550307
2024-08-02,189.44,190.18,189.16,189.97,7181357
2024-08-05,190.95,191.98,190.32,190.56,10588634
2024-08-06,188.55,188.56,188.16,188.23,7074241
2024-08-07,192.76,192.79,191.82,192.03,7980544
2024-08-08,198.89,199.13,197.86,198.25,12703061
2024-08-09,191.65,192.78,191.22,192.11,11344383
2024-08-12,190.7,191.66,190.09,191.55,5196798
2024-08-13,195.25,195.39,193.71,194.23,10033201
