Date,Open,High,Low,Close,Volume
2024-04-05,936.08,936.71,931.18,935.62,12187247
2024-04-08,937.05,941.82,934.45,936.72,13711283
2024-04-09,955.77,956.32,954.26,955.04,8048945
2024-04-10,960.52,961.04,959.44,959.89,11040999
2024-04-11,951.74,955.5,951.07,953.77,2846851
2024-04-12,925.98,927.21,922.56,922.88,6595477
2024-04-15,928.38,929.89,925.19,925.3,4277966
2024-04-16,952.2,953.39,950.0,951.37,5651144
2024-04-17,945.6,951.36,943.29,950.0,7982148
2024-04-18,956.5,958.04,953.03,956.65,5302730
2024-04-19,975.92,980.04,975.77,978.23,10325778
2024-04-22,1002.8,1003.29,997.64,1000.3,3682697
2024-04-23,1026.37,1030.33,1024.79,1028.71,6649305
2024-04-24,1022.06,1028.14,1019.02,1025.44,10660145
2024-04-25,1015.27,1020.14,1014.37,1016.51,10448917
2024-04-26,1003.97,1009.9,998.53,1008.96,11354781
2024-04-29,966.23,975.15,964.14,969.38,6138458
2024-04-30,958.83,958.87,952.22,954.54,9155965
2024-05-01,966.72,969.07,965.02,966.67,7270448
2024-05-02,945.72,947.39,943.33,947.33,4908540
2024-05-03,982.94,984.4,977.47,979.95,8907680
2024-05-06,991.08,994.17,987.42,992.61,7101544
2024-05-07,966.48,968.34,961.82,963.59,6207500
2024-05-08,990.74,994.23,985.66,987.86,5737733
2024-05-09,990.69,994.54,990.0,993.45,6167200
2024-05-10,1019.39,1021.57,1015.49,1017.31,5693589
2024-05-13,1020.98,1022.76,1016.88,1018.98,10656582
2024-05-14,1022.87,1026.27,1016.04,1016.69,6648455
2024-05-15,1015.75,1019.29,1009.7,1011.57,11530319
2024-05-16,1021.92,1023.48,1018.05,1019.9,6396099
2024-05-17,1037.36,1040.3,1037.06,1037.95,5325872
2024-05-20,1053.35,1059.88,1052.79,1059.03,5234883
2024-05-21,1073.68,1074.94,1068.63,1071.35,7986206
2024-05-22,1065.88,1066.83,1063.21,1065.58,4622554
2024-05-23,1084.99,1086.72,1082.88,1085.47,15082274
2024-05-24,1064.48,1066.96,1061.78,1062.57,5445537
2024-05-27,1059.23,1063.14,1052.12,1053.99,2999776
2024-05-28,1051.4,1055.99,1044.83,1045.28,5108714
2024-05-29,1056.36,1059.3,1048.67,1051.35,7498833
2024-05-30,1063.38,1066.07,1059.15,1063.16,7387223
2024-05-31,1076.19,1079.85,1074.67,1078.85,8541320
2024-06-03,1120.27,1133.78,1119.06,1129.2,7170910
2024-06-04,1121.62,1129.15,1120.42,1128.41,8735819
2024-06-05,1120.87,1123.67,1119.52,1119.59,5468419
2024-06-06,1125.84,1128.29,1120.79,1122.07,6950211
2024-06-07,1103.0,1112.79,1099.2,1107.02,10574704
2024-06-10,1108.7,1112.97,1104.56,1108.25,9041893
2024-06-11,1069.67,1070.84,1060.76,1063.98,6342665
2024-06-12,1066.47,1071.35,1065.13,1067.68,8921790
2024-06-13,1085.93,1092.83,1085.4,1090.76,9592807
2024-06-14,1101.48,1102.8,1100.03,1100.77,4724919
2024-06-17,1086.48,1092.9,1085.41,1090.21,7489631
2024-06-18,1098.79,1107.56,1097.12,1101.79,7017946
2024-06-19,1129.41,1132.34,1123.74,1125.65,5890079
2024-06-20,1126.17,1129.6,1120.82,1122.98,7244795
2024-06-21,1115.43,1118.37,1111.47,1112.19,9455090
2024-06-24,1121.33,1123.92,1119.7,1123.09,5485087
2024-06-25,1120.56,1127.37,1119.95,1123.66,8234617
2024-06-26,1136.87,1141.02,1136.18,1139.05,5882814
2024-06-27,1146.85,1147.79,1141.76,1142.25,11015104
2024-06-28,1176.01,1179.51,1170.34,1174.53,9480328
2024-07-01,1148.78,1156.6,1140.88,1153.11,7713101
2024-07-02,1134.67,1142.82,1131.08,1142.2,7245782
2024-07-03,1139.42,1143.27,1132.34,1135.87,7030215
2024-07-04,1123.21,1124.93,1118.42,1122.22,14250680
2024-07-05,1125.18,1125.7,1124.52,1124.78,8519332
2024-07-08,1109.78,1114.12,1107.58,1113.81,5911350
2024-07-09,1128.87,1132.57,1124.31,1126.53,10452439
2024-07-10,1156.04,1162.58,1151.9,1160.73,4597622
2024-07-11,1128.12,1134.16,1127.78,1133.77,9846741
2024-07-12,1165.87,1168.23,1161.53,1162.08,11941286
2024-07-15,1176.07,1179.64,1173.15,1175.46,6303727
2024-07-16,1185.87,1190.95,1184.99,1190.61,4673291
2024-07-17,1187.46,1190.2,1183.53,1185.58,5748131
2024-07-18,1206.81,1208.21,1196.17,1202.71,4566661
2024-07-19,1255.88,1259.88,1252.7,1257.71,10180607
2024-07-22,1235.72,1236.68,1231.55,1236.04,9372050
2024-07-23,1227.06,1230.38,1226.88,1228.29,5720025
2024-07-24,1263.98,1265.98,1248.84,1255.4,7851222
2024-07-25,1260.45,1262.66,1250.5,1255.04,6546250
2024-07-26,1281.41,1289.85,1277.99,1286.81,7777323
2024-07-29,1280.56,1290.95,1275.55,1287.01,5161745
2024-07-30,1276.3,1287.49,1274.13,1283.99,6024459
2024-07-31,1280.8,1283.58,1280.77,1282.77,7260341
2024-08-01,1291.56,1295.02,1287.99,1291.51,10733537
2024-08-02,1260.66,1266.99,1255.76,1264.45,13710473
2024-08-05,1274.93,1276.99,1269.74,1273.7,10306416
2024-08-06,1261.87,1269.3,1260.12,1267.34,6630834
2024-08-07,1259.11,1263.55,1257.17,1260.46,7494330
2024-08-08,1242.29,1243.56,1240.26,1243.03,8910849
2024-08-09,1259.8,1263.6,1251.93,1255.03,6735374
2024-08-12,1280.59,1285.29,1270.98,1274.98,6964575
2024-08-13,1295.86,1297.13,1292.77,1294.87,5560190
2024-08-14,1276.3,1278.62,1272.63,1278.48,4356136
2024-08-15,1257.44,1261.96,1255.13,1261.24,5917945
2024-08-16,1228.29,1230.11,1226.75,1230.08,8545314
2024-08-19,1251.16,1256.92,1248.47,1256.52,5636149
2024-08-20,1226.38,1240.31,1223.69,1237.75,6020769
2024-08-21,1233.43,1234.51,1230.58,1234.09,7878457
2024-08-22,1258.05,1266.07,1255.78,1262.32,12617326
2024-08-23,1258.8,1266.5,1255.03,1264.34,8488128
2024-08-26,1276.79,1280.8,1274.24,1274.45,7795028
2024-08-27,1270.01,1273.1,1264.13,1266.44,14069323
2024-08-28,1209.56,1217.23,1208.19,1213.38,5502767
2024-08-29,1219.54,1219.73,1213.51,1215.81,4881092
2024-08-30,1209.4,1213.18,1207.21,1213.17,7191631
2024-09-02,1235.58,1241.82,1233.85,1240.57,6642081
2024-09-03,1200.83,1203.43,1196.75,1200.82,7481166
2024-09-04,1208.54,1212.29,1208.31,1212.18,9650765
2024-09-05,1238.8,1247.39,1238.54,1245.22,5452213
2024-09-06,1274.93,1276.32,1270.68,1271.99,8907631
2024-09-09,1282.87,1286.18,1278.58,1285.17,4940238
2024-09-10,1245.1,1245.29,1241.42,1241.57,7114427
2024-09-11,1225.05,1229.03,1224.16,1227.92,5760823
2024-09-12,1228.95,1232.2,1228.0,1230.0,4943295
2024-09-13,1257.15,1257.46,1255.96,1256.44,10790745
2024-09-16,1263.1,1267.52,1251.11,1254.73,4799370
2024-09-17,1246.91,1252.8,1244.31,1252.32,6988844
