Date,Open,High,Low,Close,Volume
2024-04-05,764.08,765.29,762.96,763.1,9248707
2024-04-08,757.06,760.0,756.72,759.98,8246528
2024-04-09,752.29,752.82,750.84,751.65,7526342
2024-04-10,757.24,758.46,756.93,758.13,21382658
2024-04-11,758.8,759.3,757.79,758.66,10732411
2024-04-12,764.61,767.34,764.42,765.51,14975421
2024-04-15,788.42,789.62,785.83,786.47,7467453
2024-04-16,796.47,796.99,794.96,795.81,11600269
2024-04-17,796.52,797.98,796.03,796.26,16168834
2024-04-18,799.84,801.19,797.2,797.24,11544898
2024-04-19,779.23,779.47,777.37,777.65,14483283
2024-04-22,782.52,784.86,781.05,783.86,9963301
2024-04-23,779.43,781.47,777.63,781.01,10514708
2024-04-24,763.9,764.5,760.65,761.89,11609321
2024-04-25,751.86,753.41,751.8,753.1,10911649
2024-04-26,764.37,765.26,763.88,764.89,8741193
2024-04-29,761.73,763.4,759.84,760.56,8471441
2024-04-30,756.9,758.53,756.07,758.02,14103429
2024-05-01,753.37,753.71,752.89,753.43,12612772
2024-05-02,764.76,765.15,762.93,765.09,15990109
2024-05-03,758.19,758.65,757.66,758.02,8218089
2024-05-06,753.99,754.64,750.07,751.4,8778905
2024-05-07,752.55,753.49,751.45,752.13,19649066
2024-05-08,742.31,745.14,741.6,744.78,17486926
2024-05-09,731.6,733.3,731.07,733.22,11108433
2024-05-10,742.74,744.07,741.48,742.36,19726766
2024-05-13,737.6,737.94,736.99,737.79,9282100
2024-05-14,748.18,748.39,746.14,746.36,11919276
2024-05-15,727.96,730.33,727.85,729.15,15079605
2024-05-16,739.18,740.69,735.96,736.43,15027169
2024-05-17,742.26,745.54,741.91,744.82,16053630
2024-05-20,732.9,733.36,731.77,731.94,8891204
2024-05-21,730.87,731.42,730.68,730.83,12187200
2024-05-22,740.54,741.04,739.84,740.84,10711441
2024-05-23,744.69,746.73,744.62,746.45,20157269
2024-05-24,746.48,748.28,746.13,747.8,8933800
2024-05-27,747.01,747.1,745.24,745.87,13173306
2024-05-28,739.4,741.47,738.25,740.9,7859806
2024-05-29,744.56,746.13,741.43,744.15,6087179
2024-05-30,735.81,738.28,735.14,736.81,8660319
2024-05-31,729.36,730.9,728.88,729.91,24606624
2024-06-03,732.92,737.4,732.44,735.93,8910005
2024-06-04,723.03,724.69,721.87,723.89,10201404
2024-06-05,727.44,730.34,726.62,728.3,6840134
2024-06-06,725.66,726.84,725.57,725.64,11653738
2024-06-07,714.11,715.03,713.49,714.47,12024505
2024-06-10,703.45,705.65,701.26,702.11,12700288
2024-06-11,706.85,707.34,704.26,705.07,14045757
2024-06-12,694.59,695.27,693.45,693.75,8200545
2024-06-13,701.15,701.51,698.68,698.75,11005674
2024-06-14,704.16,704.16,701.22,703.52,15505409
2024-06-17,705.9,706.87,705.29,705.92,11795689
2024-06-18,704.56,706.85,702.08,702.57,13594309
2024-06-19,693.94,695.08,693.88,694.25,10394795
2024-06-20,713.42,713.6,711.19,712.73,22148868
2024-06-21,709.75,710.86,706.13,707.38,15326316
2024-06-24,716.71,717.81,715.3,715.78,14788722
2024-06-25,704.39,704.67,699.96,702.6,12010756
2024-06-26,694.06,694.94,692.59,694.67,15539751
2024-06-27,688.8,690.13,687.26,688.04,8275113
2024-06-28,689.39,689.44,686.77,688.58,24155755
2024-07-01,682.61,682.74,681.72,682.53,14156338
2024-07-02,679.9,684.67,679.49,682.34,12291593
2024-07-03,674.01,674.83,672.28,673.91,17273034
2024-07-04,679.89,680.54,676.16,679.37,12561041
2024-07-05,695.23,696.59,691.23,691.71,17084672
2024-07-08,686.42,687.33,686.04,686.62,8865833
2024-07-09,697.81,700.15,697.24,699.19,12103945
2024-07-10,694.38,696.17,694.25,695.93,9575281
2024-07-11,696.22,698.16,694.7,694.73,7525168
2024-07-12,700.26,702.21,700.25,702.16,10619405
2024-07-15,705.41,706.3,704.08,704.44,7655069
2024-07-16,706.54,708.1,704.56,704.83,8701788
