Date,Open,High,Low,Close,Volume
2024-04-05,158.91,158.98,158.88,158.92,11516919
2024-04-08,157.71,158.49,157.43,158.31,10940768
2024-04-09,156.61,157.12,156.21,156.56,9660101
2024-04-10,159.55,160.29,159.34,159.48,11066970
2024-04-11,164.88,165.02,164.07,164.21,12850089
2024-04-12,161.3,161.4,160.95,161.37,12233448
2024-04-15,161.66,162.34,161.59,162.14,10660025
2024-04-16,161.24,161.4,161.04,161.3,15110041
2024-04-17,158.69,158.97,158.57,158.62,9791849
2024-04-18,159.5,160.51,159.26,160.14,21525730
2024-04-19,160.69,161.3,160.44,160.9,26877045
2024-04-22,161.32,161.47,161.23,161.29,13888196
2024-04-23,163.37,163.38,162.61,162.72,11195534
2024-04-24,163.77,164.46,163.48,164.24,14387029
2024-04-25,163.47,163.99,163.19,163.86,8131317
2024-04-26,163.48,163.99,163.4,163.82,13927336
2024-04-29,165.03,165.7,164.58,164.75,14132732
2024-04-30,165.43,165.66,165.34,165.48,14388931
2024-05-01,162.86,163.07,162.49,162.79,9069179
2024-05-02,161.55,161.59,161.44,161.57,17410549
2024-05-03,163.27,164.14,163.18,164.0,18712172
2024-05-06,163.61,164.04,163.16,163.75,9129421
2024-05-07,161.37,161.46,160.1,160.72,12516426
2024-05-08,159.47,160.33,159.45,160.12,12681421
2024-05-09,160.75,161.04,160.62,160.82,11452938
2024-05-10,158.75,159.04,158.58,158.93,11959035
2024-05-13,157.83,158.14,157.47,157.86,7699741
2024-05-14,158.43,158.59,157.39,157.62,8131413
2024-05-15,158.13,158.37,158.04,158.2,7542953
2024-05-16,156.91,157.16,156.91,157.01,15599558
2024-05-17,155.85,156.3,155.4,155.64,13769517
2024-05-20,159.07,159.55,159.04,159.48,10706704
2024-05-21,161.48,161.92,161.22,161.82,19548654
2024-05-22,159.62,160.24,159.62,160.21,12063521
2024-05-23,157.19,157.23,156.7,156.72,7170262
2024-05-24,156.63,156.67,156.33,156.36,12532617
2024-05-27,155.79,156.24,155.41,155.47,10265349
2024-05-28,156.04,156.19,155.64,155.68,11098815
2024-05-29,154.75,155.1,154.41,154.75,9293672
2024-05-30,154.79,155.03,154.27,154.92,11250745
2024-05-31,157.18,157.75,157.0,157.33,6541544
2024-06-03,156.42,157.41,156.2,157.31,8243340
2024-06-04,158.67,158.98,158.42,158.91,10298603
2024-06-05,160.39,160.81,160.21,160.57,15131081
2024-06-06,160.93,161.14,160.23,160.47,9207789
2024-06-07,160.62,160.7,160.29,160.56,9171373
2024-06-10,155.25,155.84,155.15,155.81,21235330
2024-06-11,157.66,157.71,157.03,157.14,6845493
2024-06-12,158.37,158.38,157.08,157.25,8007191
2024-06-13,154.37,154.41,153.88,154.03,8812051
2024-06-14,158.07,158.42,157.81,157.87,14579683
2024-06-17,158.05,158.8,157.83,158.64,6912148
2024-06-18,156.7,157.13,155.94,156.29,7825827
2024-06-19,159.48,159.97,159.36,159.46,7879041
2024-06-20,158.53,159.07,158.28,158.7,8744371
2024-06-21,157.05,157.35,155.94,155.94,10363772
2024-06-24,153.96,154.1,153.76,153.86,6945788
2024-06-25,149.9,150.02,149.64,149.67,17695789
2024-06-26,146.7,146.73,146.25,146.28,9721829
2024-06-27,148.98,149.3,148.67,148.7,14555732
2024-06-28,151.37,151.55,150.45,150.76,15158589
2024-07-01,151.53,151.69,151.12,151.4,7581708
2024-07-02,153.05,153.22,152.79,152.99,9091723
2024-07-03,150.69,151.56,150.43,151.32,13555712
2024-07-04,150.47,150.51,150.09,150.21,8370739
2024-07-05,147.36,148.26,147.34,148.16,8332697
2024-07-08,145.98,145.99,145.07,145.51,8356832
2024-07-09,146.57,146.62,145.73,145.93,6240767
2024-07-10,144.47,144.6,143.56,144.0,8704470
2024-07-11,141.48,141.63,141.27,141.5,10966252
2024-07-12,139.45,139.61,139.12,139.13,14349862
2024-07-15,135.86,135.95,135.03,135.37,11422608
2024-07-16,133.41,133.64,133.19,133.53,10484453
2024-07-17,136.44,136.65,136.42,136.53,15130963
2024-07-18,138.23,138.48,138.1,138.19,10568139
2024-07-19,137.8,138.27,137.76,138.27,7608056
2024-07-22,137.06,137.36,136.79,137.24,10374137
2024-07-23,136.99,137.12,136.27,136.71,8534805
2024-07-24,138.06,138.53,138.02,138.44,10420654
2024-07-25,137.96,137.98,137.63,137.82,9390736
2024-07-26,138.41,138.62,137.78,137.89,7946287
2024-07-29,140.35,140.7,140.2,140.66,9591488
2024-07-30,137.34,137.86,137.29,137.51,6406043
2024-07-31,139.94,139.99,139.34,139.63,13295038
2024-08-01,138.1,138.17,137.94,138.0,10152581
2024-08-02,135.73,136.18,135.25,135.39,16432359
2024-08-05,134.68,134.9,134.55,134.84,8302464
2024-08-06,137.99,138.43,137.14,137.32,13087191
2024-08-07,140.42,140.56,139.35,139.62,13160214
2024-08-08,140.51,140.96,140.26,140.74,9293752
2024-08-09,136.28,136.3,136.2,136.24,16159149
2024-08-12,136.88,137.16,136.77,136.79,13721898
2024-08-13,137.5,137.74,137.25,137.29,12359105
2024-08-14,136.43,136.64,136.02,136.29,11478285
2024-08-15,134.35,134.66,134.01,134.22,17411384
2024-08-16,134.91,135.22,134.67,135.19,15078117
