Date,Open,High,Low,Close,Volume
2024-04-05,219.4,219.62,218.3,218.65,10098861
2024-04-08,220.62,220.75,219.86,220.04,8656559
2024-04-09,215.67,217.11,215.39,216.85,10488984
2024-04-10,221.93,221.95,221.31,221.66,8277424
2024-04-11,222.96,223.23,222.69,222.95,11720938
2024-04-12,224.41,225.2,223.43,223.55,19238083
2024-04-15,225.9,226.71,225.74,226.52,12832735
2024-04-16,226.63,227.18,226.16,226.19,8901381
2024-04-17,228.35,228.62,228.09,228.2,19934666
2024-04-18,223.96,224.99,223.79,224.67,17883447
2024-04-19,225.98,226.13,225.47,225.65,19188744
2024-04-22,225.31,225.64,224.18,224.27,9256182
2024-04-23,222.71,223.4,222.23,223.18,7628187
2024-04-24,227.94,228.13,227.45,227.58,15180978
2024-04-25,230.69,232.13,230.09,232.01,20121926
2024-04-26,235.98,236.0,235.69,235.75,16331171
2024-04-29,237.58,238.27,236.74,237.69,14564933
2024-04-30,239.94,240.32,239.64,240.2,8427678
2024-05-01,240.25,241.13,240.21,241.07,10065040
2024-05-02,238.51,239.18,238.36,238.9,10677481
2024-05-03,234.53,235.63,234.34,235.43,12829378
2024-05-06,238.58,238.71,237.51,237.93,11461205
2024-05-07,241.32,241.43,240.22,241.07,10718507
2024-05-08,242.77,242.8,241.78,242.32,17250348
2024-05-09,244.55,244.81,244.2,244.73,10729076
2024-05-10,247.91,248.01,246.86,247.43,7348035
2024-05-13,250.53,250.57,250.02,250.39,6859141
2024-05-14,250.11,250.38,249.37,249.44,11119291
2024-05-15,248.55,248.94,248.19,248.47,10043576
2024-05-16,249.76,250.1,248.6,249.08,9854085
2024-05-17,247.1,247.54,246.5,247.33,12146736
2024-05-20,244.47,244.78,244.05,244.23,8258552
2024-05-21,245.01,245.21,243.46,243.67,21214459
2024-05-22,242.0,242.02,241.27,241.41,10900199
2024-05-23,236.25,236.29,236.04,236.15,17714527
2024-05-24,234.45,236.14,234.42,235.95,14094259
2024-05-27,235.33,235.85,234.86,235.04,13554683
2024-05-28,235.98,236.91,235.91,236.82,9252828
2024-05-29,241.36,242.2,240.51,241.98,7638935
2024-05-30,243.23,243.72,242.81,243.31,12973374
2024-05-31,248.25,248.6,247.56,247.95,15120547
2024-06-03,248.13,248.76,247.9,248.52,11473696
2024-06-04,251.21,251.7,251.05,251.22,11043485
2024-06-05,250.65,251.28,249.57,249.89,18396772
2024-06-06,247.12,247.42,246.93,247.4,9101927
2024-06-07,246.8,247.32,246.33,247.01,14790314
2024-06-10,245.23,245.67,244.48,244.6,13808757
2024-06-11,242.94,243.11,241.84,241.96,11973173
2024-06-12,238.74,239.73,238.71,238.98,6932481
2024-06-13,238.31,239.09,238.06,238.26,6809553
2024-06-14,239.15,240.04,239.12,239.51,10807257
2024-06-17,239.48,239.95,239.18,239.67,7229431
2024-06-18,232.32,232.49,231.79,232.45,8741255
2024-06-19,229.34,229.95,229.31,229.82,11288601
2024-06-20,231.68,232.16,230.73,230.73,8455706
2024-06-21,226.95,227.73,226.87,227.63,12476513
2024-06-24,227.24,228.94,226.97,228.5,11126414
2024-06-25,230.6,231.82,230.4,231.4,14835391
2024-06-26,228.84,229.43,228.29,229.35,17779046
2024-06-27,232.52,232.58,231.33,231.42,16236008
2024-06-28,231.96,232.13,231.06,231.46,13617125
2024-07-01,234.74,234.97,233.68,233.96,13405167
2024-07-02,236.8,237.19,236.76,236.96,8691141
2024-07-03,241.52,241.59,240.76,240.89,7810560
2024-07-04,242.27,242.27,242.01,242.09,16037540
2024-07-05,245.56,245.8,245.24,245.66,12671078
2024-07-08,244.24,244.85,243.88,244.38,12690002
2024-07-09,242.8,243.2,242.56,243.1,9418529
2024-07-10,242.52,243.07,241.95,242.88,9696239
2024-07-11,243.78,244.37,243.57,243.62,25525304
2024-07-12,248.29,248.71,247.9,248.05,12019744
2024-07-15,247.46,248.46,247.32,247.99,9236294
2024-07-16,245.16,245.19,244.39,244.5,11248765
2024-07-17,243.95,243.98,243.06,243.5,18498936
2024-07-18,244.5,244.52,244.44,244.45,14876808
2024-07-19,242.84,243.07,241.34,241.56,14675444
2024-07-22,242.97,243.31,242.4,242.42,9614696
2024-07-23,246.79,247.39,246.66,247.05,6713707
2024-07-24,247.74,248.56,247.39,248.41,11733489
2024-07-25,248.45,248.93,247.88,248.13,15292523
2024-07-26,249.2,249.41,247.5,248.1,17618793
2024-07-29,252.54,252.78,251.52,251.7,12816742
2024-07-30,251.35,251.84,250.28,250.42,6795215
2024-07-31,246.02,246.02,245.56,245.81,13173543
2024-08-01,249.21,249.27,248.81,248.95,12234185
2024-08-02,243.86,244.39,243.51,243.61,13781989
2024-08-05,238.77,239.3,238.56,238.97,9357174
2024-08-06,234.75,235.48,234.75,235.05,15064858
2024-08-07,235.56,236.32,235.41,236.17,7469147
2024-08-08,238.45,238.65,238.2,238.34,12690818
2024-08-09,238.41,238.43,237.53,238.1,14793731
2024-08-12,235.77,236.6,235.73,236.05,8909481
2024-08-13,239.61,240.12,239.43,239.92,16668442
2024-08-14,237.01,237.12,236.2,236.34,16913263
2024-08-15,237.82,238.37,236.8,237.31,13632500
2024-08-16,231.61,231.64,230.81,231.32,28512293
2024-08-19,234.09,234.31,233.06,233.62,8660756
2024-08-20,235.04,235.39,234.06,234.38,14408759
2024-08-21,232.24,232.47,232.09,232.34,14982025
2024-08-22,234.13,234.99,233.96,234.84,9164293
2024-08-23,234.93,235.41,234.65,235.31,15843612
2024-08-26,232.33,232.33,232.0,232.17,9960886
2024-08-27,232.62,233.16,231.77,232.3,11099019
2024-08-28,235.9,236.17,235.71,235.74,9022055
2024-08-29,236.49,236.68,236.48,236.6,14762730
2024-08-30,236.09,236.29,234.35,234.76,8399399
2024-09-02,230.89,232.17,230.51,231.79,10430282
2024-09-03,231.85,232.15,231.05,231.4,15606633
2024-09-04,235.74,236.14,235.62,235.78,18723615
2024-09-05,235.73,236.2,235.29,235.96,9905228
2024-09-06,237.41,237.93,237.03,237.68,14791372
2024-09-09,240.69,240.96,240.17,240.25,8060187
2024-09-10,241.94,242.39,241.89,242.23,11094117
2024-09-11,240.58,241.14,240.14,240.4,22366800
2024-09-12,242.29,242.49,242.01,242.01,11151011
2024-09-13,242.4,243.71,242.17,243.37,9679535
2024-09-16,242.0,242.13,241.05,241.09,5069177
2024-09-17,243.18,243.9,242.79,243.57,7096813
2024-09-18,241.86,242.17,240.8,241.59,14269867
2024-09-19,242.57,243.51,242.11,243.17,6727728
2024-09-20,236.76,237.08,236.7,236.88,16171486
2024-09-23,239.22,239.96,238.82,239.61,9189689
2024-09-24,247.54,247.73,246.78,247.3,14694858
2024-09-25,246.7,247.35,246.59,246.92,17331930
2024-09-26,248.19,248.29,247.65,247.91,12835038
2024-09-27,248.57,249.45,248.22,248.98,17010284
2024-09-30,252.74,252.86,252.53,252.62,11141300
2024-10-01,254.23,254.7,253.67,254.55,18501212
2024-10-02,255.54,255.62,254.48,255.05,9140417
2024-10-03,258.34,259.02,257.04,257.63,9676199
2024-10-04,259.57,260.23,259.17,260.11,11898086
2024-10-07,263.51,264.07,263.49,264.03,6939140
2024-10-08,267.7,268.81,267.48,268.3,14946450
2024-10-09,269.09,269.35,268.17,268.52,15751701
2024-10-10,269.01,269.67,268.83,268.97,10538968
2024-10-11,267.44,267.53,266.89,267.04,12045257
2024-10-14,267.06,268.16,266.37,267.54,9284546
2024-10-15,268.78,269.34,268.39,268.58,9799896
2024-10-16,269.33,269.41,268.03,268.26,11148438
2024-10-17,267.99,268.59,267.67,267.85,10798484
2024-10-18,267.9,267.9,266.79,267.17,12634184
2024-10-21,269.32,269.6,268.25,268.83,9190772
2024-10-22,265.91,265.95,264.73,264.97,15892023
2024-10-23,266.59,267.22,265.96,266.27,8255597
2024-10-24,268.16,269.28,267.96,268.79,6377684
2024-10-25,274.9,275.23,274.29,274.45,8325257
2024-10-28,278.75,280.34,278.26,280.07,7526632
2024-10-29,283.81,284.21,282.6,283.23,10571255
2024-10-30,285.08,285.12,284.68,285.02,10153763
2024-10-31,287.58,287.69,286.53,286.75,8748807
2024-11-01,285.87,286.23,285.28,285.83,12146073
2024-11-04,288.19,288.89,287.19,287.8,10291464
2024-11-05,292.94,293.37,292.43,292.59,10466182
2024-11-06,295.21,296.25,295.08,296.1,7518270
2024-11-07,291.42,292.15,291.08,292.02,12229938
2024-11-08,288.66,289.08,287.65,287.95,16344944
2024-11-11,287.44,287.97,287.09,287.66,6855853
2024-11-12,284.39,284.52,283.34,284.02,9625454
2024-11-13,288.34,288.74,288.19,288.62,8847375
2024-11-14,289.49,290.87,289.08,290.25,23163100
2024-11-15,285.4,286.01,285.27,285.67,16761166
2024-11-18,286.1,286.53,284.71,285.23,11452032
2024-11-19,282.55,283.29,282.1,282.34,10784150
2024-11-20,281.87,282.81,281.59,282.2,9435406
2024-11-21,280.65,280.86,280.54,280.68,14496327
2024-11-22,277.37,277.51,276.92,277.5,18695975
2024-11-25,272.89,273.67,272.77,273.14,9971405
2024-11-26,272.47,272.63,272.02,272.05,13527950
2024-11-27,278.08,278.97,277.84,278.1,13700486
2024-11-28,275.74,277.05,275.39,276.91,20149485
2024-11-29,283.36,283.61,281.71,282.18,9981984
2024-12-02,282.14,282.21,282.0,282.15,16138163
2024-12-03,279.84,279.97,279.44,279.59,14896013
2024-12-04,282.1,282.52,281.12,281.21,13645119
2024-12-05,278.66,278.86,277.3,277.63,9865944
2024-12-06,277.58,278.72,277.16,278.35,8401470
2024-12-09,276.51,277.04,275.76,275.92,9199897
2024-12-10,273.75,275.25,273.42,274.72,16037351
2024-12-11,276.7,277.41,276.13,276.25,17464363
2024-12-12,271.75,272.78,271.69,272.63,11688599
2024-12-13,270.52,270.79,269.96,270.1,13227922
2024-12-16,272.09,272.53,270.79,271.25,6935806
2024-12-17,273.81,274.08,273.42,273.6,12830726
2024-12-18,268.1,270.29,267.98,269.71,15359939
2024-12-19,267.28,267.29,266.64,266.8,9418605
2024-12-20,270.74,270.95,269.63,269.7,11409254
2024-12-23,273.72,274.4,272.48,272.53,10163208
2024-12-24,270.34,270.77,270.2,270.33,12808559
2024-12-25,270.77,271.66,270.73,271.13,14462384
2024-12-26,270.02,270.81,269.63,270.57,15194962
2024-12-27,273.32,273.6,272.61,273.17,6721707
2024-12-30,272.46,272.67,271.16,272.13,9897677
2024-12-31,269.96,270.28,269.76,270.18,13714981
2025-01-01,269.84,269.92,269.76,269.85,10938440
2025-01-02,270.1,270.62,270.04,270.34,11528132
2025-01-03,274.7,275.16,274.23,274.7,19338442
2025-01-06,276.78,277.68,276.04,276.22,8230546
2025-01-07,280.09,280.27,279.18,279.65,11232476
2025-01-08,277.84,278.12,276.9,277.16,12342020
2025-01-09,277.95,278.11,276.2,277.15,15943114
2025-01-10,282.59,282.79,280.65,280.68,14686496
2025-01-13,278.96,279.67,278.45,278.8,7529014
2025-01-14,278.63,279.13,278.39,278.51,11997034
2025-01-15,275.84,276.05,275.16,276.02,5940526
2025-01-16,276.64,276.78,276.38,276.39,12403582
2025-01-17,278.54,278.55,278.27,278.37,18916905
2025-01-20,277.6,279.1,277.49,278.34,10690054
2025-01-21,284.24,284.65,283.67,283.89,19765159
2025-01-22,280.81,281.02,280.49,280.84,6576649
2025-01-23,279.65,279.9,278.92,279.69,17125763
2025-01-24,280.23,280.5,279.93,280.35,16832176
2025-01-27,280.16,280.55,279.56,279.84,10460737
2025-01-28,280.06,280.85,279.81,280.25,10062480
2025-01-29,281.86,281.99,281.04,281.37,8074549
2025-01-30,283.72,284.8,283.58,284.43,12012405
2025-01-31,279.0,279.37,278.45,279.33,15721656
2025-02-03,277.74,278.18,277.31,277.72,9491008
2025-02-04,278.68,279.0,278.23,278.41,17871004
2025-02-05,276.32,276.38,275.44,275.68,10425598
2025-02-06,276.54,277.66,276.47,277.33,11348961
2025-02-07,275.19,275.61,274.58,275.51,13896634
2025-02-10,276.82,277.07,275.69,275.76,8497793
2025-02-11,275.05,275.59,274.69,275.32,9336448
2025-02-12,273.69,275.56,273.51,275.48,8454533
2025-02-13,272.97,273.62,272.43,273.26,8061962
2025-02-14,274.43,275.28,274.34,274.72,14185150
2025-02-17,273.57,275.11,273.1,274.6,6390257
2025-02-18,282.2,282.3,281.33,281.79,14833667
2025-02-19,275.19,275.4,274.88,275.09,12931810
2025-02-20,273.85,274.74,273.67,274.54,8941257
2025-02-21,275.82,276.31,275.81,276.19,14231940
2025-02-24,275.47,276.96,275.07,276.7,16161872
2025-02-25,275.2,276.1,275.04,275.89,11599263
2025-02-26,272.96,273.24,272.59,272.76,9874429
2025-02-27,269.27,269.91,269.2,269.21,10603482
2025-02-28,271.3,271.66,271.02,271.1,14631307
2025-03-03,271.88,272.13,271.35,271.58,11930421
2025-03-04,273.47,273.65,272.21,272.81,15437836
2025-03-05,265.67,265.87,265.34,265.58,9842961
2025-03-06,268.57,268.79,268.43,268.77,14374211
2025-03-07,270.0,270.07,269.27,269.42,14742143
2025-03-10,272.87,273.23,272.83,273.07,8671994
2025-03-11,268.36,269.08,267.81,268.64,12868940
2025-03-12,271.54,271.93,270.51,271.17,19249701
2025-03-13,271.95,272.34,271.11,271.43,10519893
2025-03-14,270.62,271.28,270.12,270.28,12352355
2025-03-17,267.57,268.31,267.25,268.3,7525914
2025-03-18,265.62,265.92,265.06,265.92,7720889
2025-03-19,264.92,265.13,264.85,265.02,11071657
2025-03-20,263.55,263.63,262.95,263.03,13523420
2025-03-21,262.44,262.87,262.36,262.71,11877835
2025-03-24,264.42,264.53,263.97,264.26,11315052
2025-03-25,261.22,261.43,260.86,261.05,9710178
2025-03-26,266.98,267.1,265.44,266.25,20348761
2025-03-27,259.57,259.77,259.48,259.6,14348276
2025-03-28,261.28,261.77,261.27,261.61,14919699
2025-03-31,267.16,267.18,266.36,266.82,14908605
2025-04-01,265.74,266.22,265.47,265.75,10043832
2025-04-02,264.18,264.59,263.52,263.8,17841563
2025-04-03,262.49,262.73,261.65,261.68,6985372
2025-04-04,257.54,258.25,256.73,258.23,13372212
2025-04-07,255.02,255.34,254.89,255.03,13597630
2025-04-08,258.78,260.64,257.75,259.74,11647646
2025-04-09,259.43,261.41,258.85,261.08,11015549
2025-04-10,261.14,261.82,260.05,260.4,10141954
2025-04-11,259.31,259.38,258.98,259.12,14551442
2025-04-14,255.26,256.49,255.21,256.05,7807791
2025-04-15,254.48,254.58,253.5,253.96,9752352
2025-04-16,258.93,259.19,258.2,258.78,7832219
2025-04-17,265.26,265.74,265.14,265.74,15056921
2025-04-18,265.89,266.31,265.04,265.74,16863469
2025-04-21,265.79,266.3,265.67,266.22,7534764
2025-04-22,266.83,267.21,266.71,266.84,11319833
2025-04-23,272.65,272.9,271.49,271.57,6163941
2025-04-24,271.06,271.35,270.8,271.11,4744405
2025-04-25,279.18,279.24,278.37,278.73,16527368
2025-04-28,282.27,283.08,282.09,282.52,7496005
2025-04-29,280.75,281.89,280.08,281.25,10706214
2025-04-30,285.0,285.16,284.27,284.63,8865032
2025-05-01,287.6,288.65,287.13,287.68,7622019
2025-05-02,286.95,289.26,286.65,288.83,12921413
2025-05-05,287.79,288.07,287.43,287.97,6993585
2025-05-06,287.38,287.89,286.95,287.0,14397830
2025-05-07,285.92,287.14,285.25,286.5,11407685
2025-05-08,289.06,289.5,288.57,288.61,12141724
2025-05-09,295.29,295.35,294.43,294.81,12542715
2025-05-12,294.66,295.22,294.16,294.99,6750540
2025-05-13,290.33,291.67,290.31,291.28,11709701
2025-05-14,301.53,302.54,301.37,302.25,12142689
