Date,Open,High,Low,Close,Volume
2024-04-05,179.7,180.24,179.49,179.52,10344278
2024-04-08,178.85,179.67,178.83,179.26,8898812
2024-04-09,183.54,184.85,183.34,184.3,4784723
2024-04-10,187.62,187.99,185.73,186.52,7042831
2024-04-11,183.95,185.18,183.69,184.75,6381486
2024-04-12,181.59,182.53,181.23,181.96,10630609
2024-04-15,180.51,180.91,179.27,180.11,6690230
2024-04-16,181.41,181.88,180.96,180.97,6267751
2024-04-17,183.68,183.93,182.92,182.95,6386847
2024-04-18,183.99,184.56,183.17,183.56,12881248
2024-04-19,183.44,184.28,183.43,184.25,6656855
2024-04-22,185.32,185.35,185.07,185.21,9341269
2024-04-23,184.09,184.47,183.77,184.38,9633992
2024-04-24,185.57,186.06,185.05,185.11,8619222
2024-04-25,189.29,189.96,189.05,189.54,6254210
2024-04-26,191.56,191.84,191.44,191.82,9097056
2024-04-29,190.09,190.59,189.57,190.04,3852656
2024-04-30,189.22,190.09,189.11,189.47,7949438
2024-05-01,188.19,188.23,187.13,187.77,8780169
2024-05-02,189.37,189.97,189.27,189.9,3133089
2024-05-03,188.08,188.49,187.44,187.6,6677498
2024-05-06,188.54,188.56,187.63,188.49,5496286
2024-05-07,184.68,184.82,184.55,184.82,13114109
2024-05-08,177.35,177.61,176.87,176.92,9368744
2024-05-09,179.28,179.32,177.76,178.22,7051002
2024-05-10,180.36,180.52,180.02,180.48,14438487
2024-05-13,180.61,181.05,180.45,180.98,3760315
2024-05-14,175.55,176.21,175.22,175.89,8331647
2024-05-15,178.76,178.77,177.85,178.2,14730010
2024-05-16,180.23,180.46,179.74,179.97,13193183
2024-05-17,178.75,178.9,178.03,178.09,9145780
2024-05-20,179.03,179.24,177.84,178.29,7630398
2024-05-21,177.96,178.03,176.51,176.77,9082068
2024-05-22,176.81,177.91,176.38,177.42,10567516
2024-05-23,175.75,175.88,174.92,174.92,10353469
2024-05-24,178.08,178.11,178.0,178.04,5188593
2024-05-27,172.31,172.55,171.38,172.14,5361922
2024-05-28,167.38,167.96,167.06,167.94,16902282
2024-05-29,168.28,169.04,168.27,168.92,8411373
2024-05-30,167.59,167.77,166.89,167.13,6148917
2024-05-31,168.32,168.75,167.5,168.55,13416717
2024-06-03,166.04,166.31,165.16,165.41,5341558
2024-06-04,167.59,167.97,167.29,167.86,9319797
2024-06-05,166.31,166.75,165.9,166.13,6763592
2024-06-06,165.25,165.35,165.14,165.26,10583213
2024-06-07,167.01,167.29,167.0,167.27,6827085
2024-06-10,165.86,166.38,165.6,166.06,10246504
2024-06-11,166.76,167.17,166.57,167.03,6169126
2024-06-12,172.72,173.3,172.37,172.96,10834445
2024-06-13,173.54,174.78,173.53,174.53,5297556
2024-06-14,176.51,176.91,176.05,176.58,14814235
2024-06-17,177.25,177.6,176.83,177.1,6636464
2024-06-18,177.41,177.41,176.55,176.75,8095546
2024-06-19,176.32,178.15,176.03,177.08,7180575
2024-06-20,176.46,177.16,175.87,177.02,12227102
2024-06-21,176.92,177.15,176.43,176.46,10871092
