Date,Open,High,Low,Close,Volume
2024-04-05,469.64,472.03,468.93,471.3,7981612
2024-04-08,469.6,470.45,469.03,470.39,6553968
2024-04-09,460.33,462.04,460.04,461.45,7707040
2024-04-10,457.77,459.27,457.0,459.21,7304975
2024-04-11,466.95,467.97,466.36,467.5,12719568
2024-04-12,478.41,478.54,477.49,478.48,10270978
2024-04-15,472.57,472.7,470.69,471.26,11775724
2024-04-16,460.88,463.54,460.52,463.22,7438168
2024-04-17,471.79,472.49,469.81,471.41,9240191
2024-04-18,484.74,485.32,483.57,483.69,9367550
2024-04-19,477.91,478.16,476.76,477.44,8672680
2024-04-22,463.48,466.28,462.58,465.83,9118069
2024-04-23,468.06,468.34,466.67,467.24,10182453
2024-04-24,462.68,464.19,462.56,463.0,13386737
2024-04-25,457.68,458.05,457.48,457.95,8711190
2024-04-26,451.59,452.08,450.32,451.69,13198014
2024-04-29,469.4,470.31,467.46,467.74,8084211
2024-04-30,468.2,469.0,464.68,466.04,11639912
2024-05-01,470.2,470.41,469.77,469.97,7378249
2024-05-02,475.76,478.95,475.69,477.67,9635451
2024-05-03,466.05,466.13,463.5,465.18,17304986
2024-05-06,472.07,472.99,471.92,472.37,8606817
2024-05-07,472.93,474.04,472.39,473.27,16425665
2024-05-08,468.55,469.67,467.63,469.21,7144720
2024-05-09,475.18,476.07,474.7,475.18,5521363
2024-05-10,487.18,487.22,485.4,486.32,10085415
2024-05-13,482.13,482.39,481.87,482.12,9081520
2024-05-14,482.35,482.81,478.92,481.1,7186116
2024-05-15,475.77,476.13,473.0,474.96,9503933
2024-05-16,468.27,468.64,467.68,468.24,8332885
2024-05-17,467.74,469.78,467.55,469.14,10312907
2024-05-20,463.65,464.96,463.18,463.99,6819114
2024-05-21,462.91,465.23,462.32,464.82,5453836
2024-05-22,465.91,466.71,465.46,466.49,11845190
2024-05-23,467.61,469.06,466.19,467.22,7214559
2024-05-24,463.92,465.14,463.03,465.06,10310350
2024-05-27,465.31,466.88,464.91,466.15,10574133
2024-05-28,455.6,456.21,454.47,454.9,5279285
2024-05-29,449.34,452.94,448.45,451.8,7817793
2024-05-30,445.65,446.85,445.27,446.61,15961169
2024-05-31,453.85,455.29,453.23,455.24,15315324
2024-06-03,468.52,469.68,465.79,467.69,11016743
2024-06-04,474.38,476.46,472.26,476.19,10100476
2024-06-05,463.41,464.78,462.65,464.29,4951314
2024-06-06,464.64,465.21,463.3,465.14,9714432
