Date,Open,High,Low,Close,Volume
2024-04-05,156.15,156.48,155.97,156.31,26926024
2024-04-08,155.59,155.85,155.56,155.82,10095408
2024-04-09,156.98,157.49,156.51,157.36,13139150
2024-04-10,156.13,156.34,155.75,156.1,15501188
2024-04-11,152.35,152.59,152.16,152.26,18252921
2024-04-12,150.38,151.05,150.38,150.76,12304864
2024-04-15,148.58,148.68,148.0,148.26,11804605
2024-04-16,147.99,148.15,147.56,147.63,14333282
2024-04-17,147.96,148.16,147.64,147.64,9929093
2024-04-18,146.5,146.58,145.72,145.86,11838875
2024-04-19,146.99,147.04,146.65,146.88,21941038
2024-04-22,147.8,148.18,147.69,148.1,13410108
2024-04-23,150.65,151.07,150.42,151.06,22798666
2024-04-24,148.51,149.15,148.34,149.11,11236959
2024-04-25,149.66,150.22,149.53,149.85,15359284
2024-04-26,148.01,148.17,147.68,147.73,13088789
2024-04-29,147.54,147.82,147.27,147.71,13616012
2024-04-30,149.04,149.42,148.42,148.85,12412958
2024-05-01,150.22,150.54,150.17,150.41,13464161
2024-05-02,151.5,151.52,151.34,151.37,14886645
2024-05-03,146.52,147.38,146.38,147.32,39089229
2024-05-06,146.42,147.0,146.24,146.75,15740215
2024-05-07,146.68,146.92,146.3,146.42,10477467
2024-05-08,146.64,147.07,146.59,147.04,22043839
2024-05-09,146.33,146.36,145.86,146.21,16391795
2024-05-10,146.19,146.7,146.16,146.55,17831146
2024-05-13,145.28,145.38,144.92,144.98,8714267
2024-05-14,143.9,144.27,143.81,144.15,7407240
2024-05-15,143.87,144.24,143.85,144.24,24064661
2024-05-16,144.57,145.17,144.46,145.1,11164726
2024-05-17,145.87,146.03,145.65,145.93,11389002
2024-05-20,147.49,147.57,147.09,147.17,14560533
2024-05-21,145.26,145.78,145.12,145.63,14149637
2024-05-22,144.77,144.93,144.71,144.76,17588120
2024-05-23,144.69,144.77,144.46,144.71,9003132
2024-05-24,143.68,143.73,143.23,143.23,10795353
2024-05-27,141.95,142.41,141.87,142.28,12310460
2024-05-28,138.96,139.06,138.82,138.87,21331245
2024-05-29,138.07,138.15,137.88,138.0,8284093
2024-05-30,138.1,138.32,137.99,138.15,12009293
2024-05-31,140.83,140.99,140.22,140.26,13890515
2024-06-03,140.28,140.49,140.04,140.22,11255703
2024-06-04,140.64,140.94,140.36,140.37,15482871
2024-06-05,139.51,139.54,139.18,139.28,10058362
2024-06-06,139.99,140.07,139.44,139.6,15409936
2024-06-07,140.33,140.65,140.31,140.35,11491260
2024-06-10,139.79,139.8,139.22,139.42,17956945
2024-06-11,138.01,138.18,137.63,137.71,8412890
2024-06-12,137.78,138.07,137.6,137.66,14767829
2024-06-13,138.19,138.29,137.73,137.91,10308335
2024-06-14,137.19,137.65,137.07,137.31,23252870
2024-06-17,137.17,137.57,136.91,137.57,16050981
2024-06-18,135.67,136.22,135.6,136.18,18066959
2024-06-19,138.08,138.27,137.98,138.19,7066681
2024-06-20,136.91,136.96,136.72,136.94,12328776
2024-06-21,135.93,136.01,135.64,135.78,10740626
2024-06-24,136.52,136.52,136.21,136.27,14734210
2024-06-25,135.93,136.16,135.9,135.96,10615622
2024-06-26,135.03,135.2,134.89,134.98,15701625
2024-06-27,135.6,135.75,135.5,135.72,12785217
2024-06-28,137.44,137.54,137.12,137.44,9386319
2024-07-01,138.6,138.62,138.54,138.56,8929267
2024-07-02,138.7,138.71,138.37,138.62,14276329
2024-07-03,137.64,138.0,137.55,137.94,11704245
2024-07-04,139.52,139.79,139.21,139.57,14960067
2024-07-05,139.07,139.55,138.9,139.28,20059620
2024-07-08,141.55,141.61,141.09,141.39,13617095
2024-07-09,141.12,141.3,140.99,141.26,13806998
2024-07-10,142.5,142.64,142.38,142.43,9139125
2024-07-11,140.43,140.67,140.03,140.6,20405167
2024-07-12,140.23,140.45,140.01,140.11,10834911
2024-07-15,141.37,141.57,141.1,141.12,12990796
2024-07-16,140.52,140.64,140.29,140.57,8919231
2024-07-17,139.97,140.29,139.56,139.7,13452672
2024-07-18,140.8,141.29,140.79,141.21,12984790
2024-07-19,139.89,140.26,139.87,139.92,19931959
2024-07-22,140.24,140.34,140.04,140.28,10832199
2024-07-23,138.23,138.42,138.09,138.12,11763720
2024-07-24,138.74,139.05,138.68,139.02,10291919
2024-07-25,140.51,140.56,140.16,140.27,15063122
2024-07-26,143.62,143.84,143.33,143.75,19735725
2024-07-29,142.83,143.13,142.54,142.98,8147580
2024-07-30,142.71,142.79,142.59,142.72,18591958
2024-07-31,142.79,143.0,142.64,142.96,9705210
2024-08-01,143.88,144.15,143.73,143.82,19031175
2024-08-02,143.79,144.17,143.65,143.94,15633087
2024-08-05,142.25,142.44,141.95,142.01,8192443
2024-08-06,144.43,145.33,144.38,145.06,15700841
2024-08-07,145.18,145.34,144.75,144.86,13852737
2024-08-08,145.45,145.63,145.09,145.32,14293210
2024-08-09,145.12,145.24,144.7,144.89,12468735
2024-08-12,147.65,147.88,147.46,147.63,12101540
2024-08-13,147.04,147.45,146.74,147.25,16583475
2024-08-14,150.63,150.76,150.34,150.56,13796104
2024-08-15,151.42,151.79,151.25,151.76,14653918
2024-08-16,149.68,149.72,149.47,149.54,11064238
2024-08-19,149.94,150.51,149.65,150.5,12023896
2024-08-20,148.03,148.17,147.53,147.95,16414740
2024-08-21,148.59,148.66,147.95,148.15,16755603
2024-08-22,149.17,149.42,148.95,149.27,10402628
2024-08-23,149.95,150.0,149.66,149.83,19109057
2024-08-26,149.62,149.66,149.58,149.64,14218046
2024-08-27,151.24,151.42,151.14,151.25,10294782
2024-08-28,151.31,151.97,151.08,151.38,13605251
2024-08-29,152.63,153.47,152.49,153.41,13026565
2024-08-30,154.8,155.41,154.61,155.16,8886270
2024-09-02,157.15,157.23,156.64,156.71,10722010
2024-09-03,157.67,157.85,157.39,157.49,11111996
2024-09-04,156.46,156.46,156.39,156.42,16460746
2024-09-05,157.44,157.54,157.17,157.23,9501194
2024-09-06,156.68,156.96,156.34,156.91,22084332
2024-09-09,156.07,156.42,155.99,156.11,13568440
2024-09-10,156.17,156.51,155.73,155.81,15397108
2024-09-11,153.92,154.29,153.68,154.18,11388389
2024-09-12,154.99,155.54,154.92,155.4,14680712
2024-09-13,156.07,156.22,155.93,156.19,15237314
2024-09-16,157.18,157.5,157.08,157.28,12246566
2024-09-17,155.61,155.64,155.44,155.59,13243290
2024-09-18,157.09,157.37,157.07,157.21,22115419
2024-09-19,157.19,157.42,156.82,156.91,15247851
2024-09-20,156.12,156.13,155.91,155.96,13856748
2024-09-23,154.58,154.98,154.38,154.54,6044788
2024-09-24,156.63,156.74,156.62,156.7,14809371
2024-09-25,156.35,156.39,156.09,156.37,25770628
2024-09-26,155.83,156.04,155.6,155.68,16602404
2024-09-27,156.25,156.83,156.24,156.47,13239116
2024-09-30,158.86,158.92,158.8,158.92,15738807
2024-10-01,159.89,160.1,159.79,159.91,16311472
2024-10-02,159.28,159.31,158.94,159.13,15794490
2024-10-03,157.4,157.9,157.37,157.77,9289496
2024-10-04,159.03,159.41,158.65,159.27,18043478
2024-10-07,160.1,160.36,160.09,160.28,8655384
2024-10-08,159.47,159.64,158.98,159.24,9251601
2024-10-09,157.09,157.4,156.93,157.38,14240174
2024-10-10,155.76,155.98,155.36,155.5,7225053
2024-10-11,155.31,156.01,155.09,155.92,15850496
2024-10-14,157.71,158.08,157.4,157.71,9126148
2024-10-15,156.92,157.11,156.65,156.7,12534071
2024-10-16,156.46,156.6,156.27,156.31,26162119
2024-10-17,156.72,156.91,156.2,156.41,24005269
2024-10-18,155.04,155.23,154.27,154.4,10784744
2024-10-21,154.11,154.12,153.66,153.76,9025543
2024-10-22,153.28,153.64,153.19,153.39,13483414
2024-10-23,155.11,155.4,154.97,155.38,22269907
2024-10-24,155.7,156.1,155.7,155.79,18908728
2024-10-25,153.25,153.82,152.99,153.67,10042015
2024-10-28,155.68,155.75,155.2,155.3,7985885
2024-10-29,157.27,157.67,157.12,157.57,15740913
2024-10-30,158.09,158.31,157.89,157.91,7975148
2024-10-31,160.51,160.71,160.43,160.46,8712311
2024-11-01,158.84,159.0,158.39,158.66,28650751
2024-11-04,158.27,158.3,157.92,157.99,12988259
2024-11-05,156.94,157.06,156.8,156.99,12808012
2024-11-06,157.02,157.04,156.68,156.86,10277239
2024-11-07,157.4,157.85,156.99,157.79,10808195
2024-11-08,156.45,156.88,156.12,156.8,13762722
2024-11-11,156.26,156.34,155.73,155.79,9069216
2024-11-12,154.45,154.85,154.27,154.56,13693054
2024-11-13,154.41,154.76,154.15,154.29,10184281
2024-11-14,157.16,157.48,156.95,157.14,11578828
2024-11-15,158.97,158.97,158.82,158.96,20740450
2024-11-18,160.01,160.13,158.88,158.99,12519251
2024-11-19,159.56,159.9,159.29,159.79,12599385
2024-11-20,158.72,159.09,157.96,158.08,14810080
2024-11-21,157.77,157.9,157.64,157.66,12133655
2024-11-22,156.43,156.51,156.39,156.44,9801460
