Date,Open,High,Low,Close,Volume
2024-04-05,199.33,199.86,199.15,199.61,8105296
2024-04-08,201.98,203.04,201.62,202.64,11801407
2024-04-09,200.94,202.05,200.45,201.16,9360010
2024-04-10,205.19,205.77,204.82,205.24,10906199
2024-04-11,206.57,206.75,205.72,206.36,10999031
2024-04-12,205.75,206.12,204.61,204.93,18579983
2024-04-15,205.62,206.98,205.57,206.78,10607872
2024-04-16,203.16,203.36,202.46,202.56,14677263
2024-04-17,205.25,205.63,204.85,204.98,12411084
2024-04-18,202.96,203.7,202.93,203.45,7167749
2024-04-19,205.0,205.35,204.96,205.02,10159576
2024-04-22,209.85,210.47,209.62,210.46,6362831
2024-04-23,212.07,212.13,211.37,211.64,12120436
2024-04-24,215.78,216.4,215.07,215.17,5577055
2024-04-25,213.29,214.63,212.51,214.13,9978872
2024-04-26,218.78,219.73,218.76,219.12,6380366
2024-04-29,215.99,216.63,215.73,216.51,10073231
2024-04-30,213.37,213.59,213.24,213.49,13308084
2024-05-01,215.46,215.68,215.01,215.43,7045510
2024-05-02,218.64,218.81,217.98,218.29,11653160
2024-05-03,223.05,223.69,222.81,223.42,32701705
2024-05-06,217.99,218.54,216.98,217.26,6040111
2024-05-07,216.17,216.59,215.92,215.98,8942851
2024-05-08,211.9,211.99,211.36,211.55,6283505
2024-05-09,211.0,211.06,210.17,210.32,11492818
2024-05-10,208.91,209.64,208.26,209.47,9509779
2024-05-13,214.67,215.31,214.44,214.96,6473307
2024-05-14,210.6,210.77,210.25,210.69,10035345
2024-05-15,210.96,211.31,210.14,210.41,11903538
2024-05-16,213.98,214.87,213.34,213.47,8537373
2024-05-17,213.48,214.39,213.43,213.88,10220780
2024-05-20,207.86,208.32,207.77,208.27,10920089
2024-05-21,209.59,209.9,209.27,209.75,8406449
2024-05-22,211.07,211.66,210.61,211.52,10492575
2024-05-23,212.06,212.73,211.66,212.34,12019977
2024-05-24,217.59,218.09,217.2,217.35,14293034
2024-05-27,216.04,216.72,215.19,216.69,6958404
2024-05-28,210.26,211.98,210.04,211.31,5881773
2024-05-29,214.57,214.85,214.06,214.45,11071241
2024-05-30,206.98,207.28,206.79,206.84,7839235
2024-05-31,208.11,208.38,208.02,208.24,19431144
2024-06-03,208.43,208.7,207.12,207.58,8126449
2024-06-04,211.06,211.56,210.73,211.39,6469496
2024-06-05,211.62,212.35,211.45,211.91,14070904
2024-06-06,208.8,208.87,208.11,208.57,12747312
2024-06-07,209.13,209.33,208.32,208.92,9450581
2024-06-10,207.31,207.99,207.23,207.69,9756497
2024-06-11,208.21,208.92,208.16,208.4,7880424
2024-06-12,209.74,211.09,209.41,210.5,10569553
2024-06-13,212.2,212.62,212.0,212.09,5415973
2024-06-14,215.49,215.75,215.2,215.65,7874150
2024-06-17,216.5,217.08,215.62,215.84,8260308
2024-06-18,211.06,211.78,210.72,211.45,7914025
2024-06-19,213.58,214.1,213.57,214.0,4587893
2024-06-20,211.8,212.43,211.69,212.37,7307758
2024-06-21,210.96,211.44,210.64,210.88,9554137
2024-06-24,210.63,210.86,210.17,210.73,11167160
2024-06-25,209.97,211.68,209.92,210.45,8388037
2024-06-26,204.81,205.88,204.58,205.4,11334247
2024-06-27,207.17,207.37,207.16,207.22,13571350
2024-06-28,211.06,211.27,210.0,210.32,12357072
2024-07-01,206.55,206.9,205.59,205.91,9299902
2024-07-02,207.44,207.46,206.49,206.52,15130358
2024-07-03,203.28,203.95,202.24,202.97,11976836
2024-07-04,198.04,198.13,197.82,198.03,15240852
2024-07-05,196.04,196.06,195.29,195.69,8746435
2024-07-08,196.74,197.07,196.19,196.47,5778990
2024-07-09,197.93,198.68,197.35,198.48,8471646
2024-07-10,197.32,197.74,196.57,197.71,6677315
2024-07-11,196.05,197.01,195.94,196.65,11563774
2024-07-12,194.85,194.95,194.48,194.67,10652780
2024-07-15,193.28,194.3,193.08,194.17,8590729
2024-07-16,197.9,198.39,197.01,197.15,16343010
2024-07-17,196.0,196.59,195.88,196.45,12814921
2024-07-18,200.26,200.91,200.01,200.87,11989036
2024-07-19,200.09,201.33,199.65,201.03,14780894
2024-07-22,200.22,200.28,199.96,200.23,14995611
2024-07-23,198.68,199.71,198.31,199.58,10074341
2024-07-24,196.6,196.71,195.38,195.75,8706163
2024-07-25,196.68,196.78,196.04,196.34,10824077
2024-07-26,196.0,196.54,195.71,196.11,9418932
2024-07-29,198.82,199.04,198.04,198.08,8040627
2024-07-30,195.29,196.81,194.73,195.88,11041493
2024-07-31,192.3,192.62,191.75,191.97,11190487
2024-08-01,190.6,191.37,190.58,191.3,13538092
2024-08-02,191.45,191.64,191.29,191.54,10758248
2024-08-05,191.1,191.88,190.94,191.85,8481299
2024-08-06,191.45,191.94,191.37,191.89,7319681
2024-08-07,192.24,192.65,191.5,191.61,12104451
2024-08-08,185.92,186.19,185.85,185.86,11724063
2024-08-09,182.55,182.81,181.15,181.96,10295316
2024-08-12,183.48,183.55,182.56,182.64,4602236
2024-08-13,183.78,183.94,183.34,183.58,9025955
2024-08-14,182.56,182.86,182.38,182.63,10343420
2024-08-15,180.63,181.21,180.22,180.81,18427265
2024-08-16,179.87,180.57,179.69,180.46,11563240
2024-08-19,180.53,181.43,180.48,181.06,9722011
2024-08-20,182.97,183.31,182.86,182.97,6991851
2024-08-21,182.6,182.82,182.42,182.68,6378308
2024-08-22,181.53,182.07,181.44,181.92,15669814
2024-08-23,183.37,184.06,183.03,183.6,9424192
2024-08-26,185.0,185.55,184.81,185.34,15486274
2024-08-27,185.95,186.06,185.2,185.64,12547426
2024-08-28,184.91,185.07,184.66,184.85,6664472
2024-08-29,186.48,186.64,186.23,186.32,8144965
2024-08-30,186.92,188.13,186.7,187.97,7128536
2024-09-02,192.37,192.38,191.06,191.51,8833524
2024-09-03,192.53,192.85,192.07,192.14,7595777
2024-09-04,195.67,196.61,195.48,196.35,14214075
2024-09-05,197.53,198.26,197.39,197.7,6752009
2024-09-06,195.17,196.02,195.08,195.48,9717491
2024-09-09,194.68,195.29,193.49,193.51,10765903
2024-09-10,198.8,199.23,198.28,199.0,12585831
2024-09-11,200.81,201.05,200.64,200.74,9431698
2024-09-12,201.86,202.15,201.45,201.94,9022533
2024-09-13,201.74,202.02,200.77,201.2,19679242
2024-09-16,203.47,204.51,202.46,202.97,9196028
2024-09-17,202.14,202.16,200.87,201.17,7693192
2024-09-18,196.58,197.83,196.33,197.59,10187985
2024-09-19,201.32,201.62,200.26,200.54,8234396
2024-09-20,200.36,201.07,199.65,200.89,8307763
2024-09-23,197.89,198.55,197.82,198.45,10054384
2024-09-24,202.75,203.5,202.39,203.44,13375632
2024-09-25,196.29,196.99,195.79,196.79,12298779
2024-09-26,197.85,198.47,197.75,198.07,10821221
2024-09-27,192.58,192.7,192.04,192.45,12692975
2024-09-30,188.21,188.24,187.62,187.93,8231878
2024-10-01,185.2,185.21,184.08,184.35,14795105
2024-10-02,183.36,183.43,182.45,182.51,9130699
2024-10-03,184.24,185.1,184.13,184.99,13520654
2024-10-04,185.32,185.42,185.23,185.34,13363938
2024-10-07,185.6,186.0,185.34,185.87,20129929
2024-10-08,186.74,187.6,186.25,187.47,12332999
2024-10-09,184.93,185.55,184.82,185.44,7908760
2024-10-10,185.25,185.37,183.64,183.92,5739896
2024-10-11,184.19,184.46,184.09,184.26,17117041
2024-10-14,183.47,183.73,183.38,183.46,7453867
2024-10-15,181.98,182.3,181.94,182.07,7018297
2024-10-16,179.21,179.43,179.14,179.31,12391467
2024-10-17,183.8,183.89,183.23,183.77,8716307
2024-10-18,182.61,183.18,182.06,182.91,14722458
2024-10-21,186.01,186.18,185.61,185.88,16949226
2024-10-22,184.17,184.76,184.0,184.69,7549280
2024-10-23,185.23,185.48,184.53,184.68,8258388
2024-10-24,182.2,182.68,182.13,182.19,5871523
2024-10-25,180.05,181.01,179.88,180.72,11765338
2024-10-28,184.87,185.08,183.66,183.71,6131144
2024-10-29,183.38,184.34,183.37,184.27,6793548
2024-10-30,178.97,179.29,178.49,178.7,11716876
2024-10-31,175.14,175.4,174.22,174.54,15595677
2024-11-01,172.89,173.71,172.62,173.56,14046455
2024-11-04,172.35,172.99,172.13,172.63,9599445
2024-11-05,172.82,173.36,172.8,172.93,9662002
2024-11-06,172.01,172.22,171.87,172.08,11977675
2024-11-07,168.08,168.15,168.01,168.11,12152814
2024-11-08,167.13,167.77,166.83,166.86,11327321
2024-11-11,167.91,168.42,167.64,168.26,7820066
2024-11-12,166.96,167.33,166.56,166.58,14809658
2024-11-13,164.02,164.1,163.79,163.79,8972129
2024-11-14,166.58,166.77,166.12,166.48,8100234
2024-11-15,168.2,168.51,167.72,167.99,11848678
2024-11-18,168.11,169.28,167.97,169.02,10342768
2024-11-19,170.11,170.75,169.74,170.49,14598103
2024-11-20,168.05,168.5,168.02,168.32,6446462
2024-11-21,169.33,169.42,168.8,169.17,17031648
2024-11-22,169.65,170.58,169.49,170.51,6986201
2024-11-25,168.33,168.45,168.28,168.3,12579373
2024-11-26,168.03,168.41,167.47,167.53,10484763
2024-11-27,162.06,162.13,161.56,161.66,10385273
2024-11-28,163.0,163.29,162.87,163.24,12110523
2024-11-29,161.37,161.52,160.59,160.61,10017895
2024-12-02,160.87,160.96,160.58,160.93,7719499
2024-12-03,162.17,162.74,161.9,162.05,7659105
2024-12-04,156.92,157.01,155.98,156.09,24688039
2024-12-05,155.6,155.84,154.96,155.09,12198860
2024-12-06,158.17,158.55,158.07,158.49,15763197
2024-12-09,159.93,160.54,159.76,159.79,9447477
2024-12-10,159.77,160.09,159.29,159.37,7550213
2024-12-11,159.94,160.24,159.79,159.9,3969191
2024-12-12,158.46,158.66,158.35,158.62,12586677
2024-12-13,158.49,159.33,158.32,159.2,19081687
2024-12-16,160.31,160.97,160.3,160.85,7927737
2024-12-17,160.09,160.53,159.92,160.35,9696643
2024-12-18,162.42,162.73,162.18,162.54,9501498
2024-12-19,161.5,162.18,161.22,161.85,8835575
2024-12-20,163.25,163.89,163.23,163.73,12919220
2024-12-23,164.27,164.34,164.14,164.34,6066397
2024-12-24,164.17,164.39,164.08,164.27,13052001
2024-12-25,168.64,168.73,168.0,168.25,10357813
2024-12-26,164.67,164.87,163.93,164.24,12227372
2024-12-27,165.18,165.3,165.02,165.09,12923535
2024-12-30,164.23,164.48,164.12,164.48,6649804
2024-12-31,162.11,162.58,161.94,162.27,11281195
2025-01-01,163.12,163.2,162.7,162.77,16506408
2025-01-02,160.34,160.89,159.77,160.28,6243126
2025-01-03,160.13,161.18,159.96,160.98,8302467
2025-01-06,160.74,160.89,160.53,160.78,11200187
2025-01-07,162.27,162.96,162.02,162.6,11180580
2025-01-08,162.36,162.86,162.15,162.24,10547353
2025-01-09,169.59,169.74,168.86,169.05,6880783
2025-01-10,170.09,170.42,169.95,170.33,9563976
2025-01-13,170.06,170.15,169.76,169.82,14529834
2025-01-14,169.7,169.97,169.51,169.8,8244314
2025-01-15,173.85,174.18,172.9,173.5,7025018
2025-01-16,169.3,169.52,168.68,169.05,13286654
2025-01-17,166.64,167.05,166.22,166.46,21876772
2025-01-20,167.76,168.03,167.72,167.79,15294994
2025-01-21,167.87,168.25,167.76,168.14,6063301
2025-01-22,167.72,168.03,167.14,167.99,10017738
2025-01-23,171.52,171.92,171.32,171.87,11365353
2025-01-24,171.51,171.53,171.36,171.41,9124175
2025-01-27,169.87,170.03,169.66,169.73,10717907
2025-01-28,168.75,169.2,168.61,169.15,10139806
2025-01-29,166.15,166.43,165.94,166.42,9948667
2025-01-30,167.48,167.59,167.45,167.58,8925601
2025-01-31,167.52,167.63,166.8,167.31,10538806
2025-02-03,169.26,169.37,169.05,169.11,6269320
2025-02-04,170.68,170.81,169.96,169.96,4954671
2025-02-05,170.72,171.01,170.65,170.75,9079789
2025-02-06,169.78,169.92,169.67,169.8,10560526
2025-02-07,172.19,172.26,171.69,171.75,11062509
2025-02-10,170.36,170.6,169.44,169.68,5899196
2025-02-11,169.6,169.71,169.23,169.35,15240862
2025-02-12,168.37,169.72,168.25,169.31,14196579
2025-02-13,169.78,170.17,169.75,170.05,12435894
2025-02-14,170.93,171.11,170.26,170.5,16597155
2025-02-17,171.27,171.87,171.25,171.33,11619932
2025-02-18,169.4,169.75,169.24,169.62,4875710
2025-02-19,171.37,171.99,170.66,170.75,14154907
2025-02-20,172.3,172.44,171.54,171.72,10067894
2025-02-21,171.48,172.08,171.47,171.97,26612466
2025-02-24,172.56,172.69,171.79,171.86,11126594
2025-02-25,173.11,173.15,172.47,172.85,11670590
2025-02-26,175.17,175.25,174.53,174.55,11442956
2025-02-27,170.36,170.88,170.27,170.59,10186262
2025-02-28,171.67,171.92,171.65,171.92,14158792
2025-03-03,173.38,173.52,173.11,173.11,11201938
2025-03-04,173.28,173.54,172.88,173.0,6412413
2025-03-05,173.79,174.98,173.33,174.64,8520881
2025-03-06,177.84,178.04,176.86,177.24,17492019
2025-03-07,173.88,174.12,173.79,174.06,9857422
2025-03-10,173.04,173.61,172.52,173.56,12900140
2025-03-11,173.41,173.96,173.1,173.68,13403283
2025-03-12,179.06,179.29,178.09,178.15,11633546
2025-03-13,177.88,178.51,177.51,178.13,6860635
2025-03-14,178.67,179.59,178.55,179.24,13897197
2025-03-17,178.62,179.26,178.27,179.06,10890404
2025-03-18,178.52,178.99,178.45,178.79,7012585
2025-03-19,180.51,180.84,179.43,179.63,10535594
2025-03-20,179.02,179.83,178.9,179.6,10857923
2025-03-21,178.44,179.26,178.12,179.11,16465312
2025-03-24,177.61,177.94,177.11,177.45,8442127
2025-03-25,174.18,174.67,174.09,174.63,7547510
2025-03-26,172.34,172.55,172.19,172.3,7614522
2025-03-27,173.46,173.63,173.28,173.43,10338630
2025-03-28,171.06,171.42,169.94,170.62,15853405
2025-03-31,172.69,173.0,172.27,172.3,12009303
2025-04-01,171.14,171.31,171.02,171.09,6946619
2025-04-02,173.03,173.31,172.58,172.84,14367163
2025-04-03,170.9,171.23,170.64,170.7,6627447
2025-04-04,170.96,171.01,169.73,169.9,15133891
2025-04-07,167.82,168.92,167.72,168.73,12138485
2025-04-08,169.1,170.01,168.61,169.5,14970571
2025-04-09,169.21,169.65,168.93,169.6,16759990
2025-04-10,173.9,174.14,173.45,174.02,13178371
2025-04-11,172.23,172.8,172.16,172.55,8695047
2025-04-14,172.79,173.86,172.64,173.06,10159145
2025-04-15,172.67,172.89,172.63,172.73,4874234
2025-04-16,170.9,171.46,170.84,171.09,15358721
2025-04-17,173.71,173.78,173.06,173.18,9174675
2025-04-18,174.55,175.1,174.55,174.85,7883342
2025-04-21,175.21,175.93,175.02,175.53,8294117
2025-04-22,171.17,171.3,171.05,171.23,11073039
2025-04-23,172.98,173.08,172.49,172.61,9262905
2025-04-24,175.76,176.13,175.61,176.11,6045807
2025-04-25,178.62,179.03,177.89,178.2,18216604
2025-04-28,180.1,180.42,180.02,180.17,8968272
2025-04-29,182.11,182.48,181.81,182.4,11657362
2025-04-30,181.96,182.41,181.85,182.41,7972316
2025-05-01,180.41,181.73,180.31,181.16,9902516
2025-05-02,179.65,179.79,179.3,179.73,8948811
2025-05-05,175.97,176.53,175.91,176.02,6395776
2025-05-06,176.75,176.97,176.65,176.83,9872890
2025-05-07,172.53,173.34,172.38,172.67,15854660
2025-05-08,172.15,173.02,172.06,172.71,9522255
2025-05-09,172.88,173.39,172.82,173.22,13634214
2025-05-12,172.02,172.12,171.77,172.05,9313307
2025-05-13,168.19,168.65,168.12,168.58,8059197
2025-05-14,170.19,170.45,169.54,170.28,11953519
2025-05-15,170.87,171.03,170.75,170.77,11547446
2025-05-16,168.03,168.14,167.43,167.6,10792748
2025-05-19,167.88,168.31,167.76,168.2,6909501
2025-05-20,162.3,162.72,162.03,162.54,11557801
2025-05-21,161.48,161.76,160.8,161.31,6169260
2025-05-22,162.48,162.98,162.33,162.71,11725455
2025-05-23,163.44,163.63,163.0,163.5,11474376
2025-05-26,161.8,162.2,161.58,162.01,7001738
2025-05-27,160.94,161.08,160.54,160.8,9377636
2025-05-28,160.93,161.2,160.93,160.98,11391103
2025-05-29,159.98,160.13,159.71,159.78,9831574
2025-05-30,159.31,159.63,159.07,159.36,12473640
2025-06-02,159.86,160.09,159.77,159.97,7166643
2025-06-03,162.05,163.14,161.78,162.95,10483381
2025-06-04,165.7,165.92,165.26,165.78,11981650
2025-06-05,165.61,165.81,165.39,165.52,7651880
2025-06-06,168.62,168.78,168.44,168.78,12341686
2025-06-09,168.22,168.83,168.06,168.63,10620556
2025-06-10,172.53,172.66,171.97,172.09,12722317
2025-06-11,169.57,169.63,169.02,169.36,7197607
2025-06-12,169.07,169.48,168.65,169.09,10474327
2025-06-13,169.82,170.98,169.62,170.51,13346588
2025-06-16,168.9,169.44,168.73,168.84,8683221
2025-06-17,169.41,169.7,168.61,168.94,10054176
2025-06-18,171.1,171.57,171.02,171.45,7654619
2025-06-19,175.09,175.42,174.35,174.48,7614973
2025-06-20,173.41,173.58,173.14,173.4,12672201
2025-06-23,174.72,175.58,174.23,175.52,8467180
2025-06-24,174.33,175.29,173.91,175.09,9682095
2025-06-25,174.36,174.71,174.33,174.45,11161724
2025-06-26,173.54,174.47,172.9,174.3,17897367
2025-06-27,174.3,174.79,174.19,174.62,9297978
2025-06-30,177.5,177.75,177.27,177.34,7500455
2025-07-01,177.05,177.13,176.49,176.65,11442616
2025-07-02,176.03,176.64,175.86,176.49,7791530
2025-07-03,178.89,178.95,178.53,178.93,9856101
2025-07-04,178.0,178.19,176.98,177.34,11013804
2025-07-07,182.87,182.89,182.14,182.2,7701849
2025-07-08,182.72,183.47,182.51,183.12,14424840
2025-07-09,183.97,184.35,183.95,184.12,7701113
2025-07-10,181.23,181.4,180.41,180.97,11686317
2025-07-11,182.34,182.87,181.97,182.22,12941845
2025-07-14,183.46,184.12,183.12,183.67,9864512
2025-07-15,184.12,184.5,183.77,184.1,7296827
2025-07-16,181.99,182.47,181.81,181.94,7995751
2025-07-17,178.31,178.72,178.03,178.68,11908913
2025-07-18,177.41,178.34,176.96,177.87,15178728
2025-07-21,175.72,176.7,175.49,176.46,6736654
2025-07-22,173.4,173.72,172.89,172.99,8323820
2025-07-23,173.31,173.59,172.88,172.96,8147408
2025-07-24,171.91,172.26,171.24,171.55,13491971
2025-07-25,168.89,169.11,168.37,168.74,13485717
2025-07-28,169.29,169.8,169.2,169.58,6884712
2025-07-29,170.02,170.54,169.51,169.91,10063936
2025-07-30,164.66,165.15,164.06,164.72,9125902
2025-07-31,167.78,167.8,167.2,167.36,8750990
2025-08-01,167.15,167.18,166.92,167.09,13153426
2025-08-04,170.43,170.75,170.15,170.27,11616481
2025-08-05,173.87,174.41,173.71,174.22,13665625
2025-08-06,177.02,177.34,176.39,176.53,5549420
2025-08-07,174.3,174.53,174.2,174.37,16409385
2025-08-08,173.62,174.07,173.57,174.05,11940062
2025-08-11,173.78,174.35,173.72,173.99,6904943
2025-08-12,174.88,175.35,174.83,175.14,9721764
2025-08-13,175.53,175.86,175.13,175.61,10757303
2025-08-14,173.96,173.98,173.62,173.95,10361939
2025-08-15,172.23,172.5,171.96,172.48,8348973
2025-08-18,172.15,172.75,172.11,172.42,20956021
2025-08-19,170.12,170.52,169.9,170.46,5851221
2025-08-20,166.52,167.12,166.23,166.93,5788339
2025-08-21,164.65,165.3,164.6,165.2,11803016
2025-08-22,162.8,162.82,162.11,162.45,7850478
2025-08-25,161.26,161.52,161.2,161.32,7373390
2025-08-26,164.65,164.88,164.39,164.59,9563329
2025-08-27,166.41,166.93,166.31,166.65,13851357
2025-08-28,165.71,166.19,165.42,166.14,10957688
2025-08-29,161.74,162.35,161.33,162.31,11380387
2025-09-01,162.29,162.47,162.21,162.39,11106148
2025-09-02,162.28,162.79,162.22,162.63,9179191
2025-09-03,161.27,161.91,161.04,161.54,12602005
2025-09-04,164.82,165.15,164.17,164.26,13236031
2025-09-05,166.79,166.86,166.65,166.81,11384078
2025-09-08,164.62,165.18,164.56,164.81,9049171
