Date,Open,High,Low,Close,Volume
2024-04-05,780.45,783.24,780.15,781.96,6161496
2024-04-08,776.96,777.94,772.57,773.3,9386246
2024-04-09,763.82,770.35,761.71,768.59,8062579
2024-04-10,756.0,757.13,755.11,756.38,7870383
2024-04-11,751.22,752.32,748.05,748.78,3689765
2024-04-12,746.5,748.41,743.43,743.99,9021226
2024-04-15,753.59,754.17,751.81,752.95,7715006
2024-04-16,757.44,758.23,754.42,756.69,7674892
2024-04-17,769.76,771.22,769.16,770.91,9323513
2024-04-18,776.92,781.74,776.16,778.66,6511189
2024-04-19,774.4,775.71,768.08,771.33,5449059
2024-04-22,803.01,804.59,797.41,797.84,5749786
2024-04-23,751.87,752.29,746.88,748.0,4626802
2024-04-24,751.16,754.36,751.02,753.82,5221182
2024-04-25,756.24,756.81,754.97,756.2,7156527
2024-04-26,740.58,745.4,739.04,742.34,8251722
2024-04-29,751.69,753.54,748.56,749.57,5902738
2024-04-30,752.86,754.41,749.6,751.53,4068862
2024-05-01,759.93,760.64,755.03,756.91,7647102
2024-05-02,736.28,740.98,732.47,740.85,6335412
2024-05-03,752.51,754.8,751.03,752.88,10696249
2024-05-06,764.62,764.74,755.77,757.99,9020102
2024-05-07,749.89,754.11,747.29,753.29,5965921
2024-05-08,744.64,746.07,742.51,744.54,6411346
2024-05-09,733.9,742.95,732.57,742.05,4179232
2024-05-10,751.85,755.25,748.95,755.05,7996485
2024-05-13,753.23,754.43,751.98,754.29,6976852
2024-05-14,746.58,752.8,746.56,749.93,7040108
2024-05-15,767.7,769.25,762.67,764.6,5069601
2024-05-16,766.87,771.46,766.69,770.14,4505442
2024-05-17,759.77,762.91,759.71,760.44,7531909
2024-05-20,753.74,755.9,748.67,748.91,6234261
2024-05-21,766.91,773.49,764.51,770.09,7888142
2024-05-22,773.49,774.8,770.31,771.94,6747395
2024-05-23,736.37,741.12,735.79,739.86,7698954
2024-05-24,728.62,733.73,728.45,732.21,8994478
2024-05-27,748.55,749.16,745.74,747.9,6055948
2024-05-28,758.91,760.25,752.73,753.96,5657357
2024-05-29,782.08,782.8,780.6,780.81,6832387
2024-05-30,770.91,771.5,770.73,770.95,7071547
2024-05-31,739.6,740.07,733.2,736.64,7272477
2024-06-03,743.44,745.32,735.37,737.25,6078144
2024-06-04,738.2,745.08,737.96,744.84,8593014
2024-06-05,751.53,757.6,750.68,756.79,10107718
2024-06-06,765.21,765.49,760.63,764.34,4618166
2024-06-07,751.29,756.35,750.66,754.0,8541977
2024-06-10,750.38,753.98,750.38,752.1,5543502
2024-06-11,747.41,750.08,741.54,743.31,7123056
2024-06-12,716.04,717.92,713.72,714.21,7501429
2024-06-13,698.79,700.5,694.18,695.98,3730612
2024-06-14,678.66,681.15,677.27,678.46,7733614
2024-06-17,665.25,666.22,662.43,662.83,6141916
2024-06-18,671.69,672.68,669.35,670.01,8366640
2024-06-19,668.06,668.17,662.76,663.63,5058252
2024-06-20,659.79,662.67,658.13,661.86,5558667
2024-06-21,698.8,699.91,697.43,697.47,11952797
2024-06-24,694.15,697.24,691.48,696.29,7068664
2024-06-25,694.75,695.85,690.21,691.5,4621662
2024-06-26,721.31,722.97,720.45,722.27,10443902
2024-06-27,735.44,738.15,730.63,731.98,8625935
2024-06-28,737.27,740.99,733.14,735.68,7988646
2024-07-01,758.14,759.58,757.81,758.72,6220166
2024-07-02,788.79,791.28,786.41,790.44,9792400
2024-07-03,801.48,801.74,798.23,798.58,5486480
2024-07-04,819.25,819.57,813.45,814.13,5361992
2024-07-05,829.82,832.27,817.16,820.17,11186432
2024-07-08,807.69,807.94,800.49,803.22,5351322
2024-07-09,800.11,800.68,796.1,797.73,10196231
2024-07-10,786.54,787.56,780.78,781.34,6531442
2024-07-11,760.78,769.39,757.56,768.54,9601509
2024-07-12,736.28,736.85,733.42,734.34,10261403
2024-07-15,739.98,743.21,737.0,740.47,7489771
2024-07-16,736.6,736.99,735.33,736.29,4388812
2024-07-17,729.53,731.05,728.03,728.42,5845468
2024-07-18,721.67,721.99,720.25,721.04,6286703
2024-07-19,745.59,745.71,740.32,741.4,8106668
2024-07-22,736.06,740.33,734.65,739.69,4129484
2024-07-23,740.78,741.19,737.38,738.65,8583245
2024-07-24,730.32,734.0,729.91,733.42,8921996
2024-07-25,722.39,726.97,721.31,725.82,4221593
2024-07-26,709.22,710.41,704.83,705.54,4623974
2024-07-29,701.44,702.17,698.99,700.31,7562066
2024-07-30,697.43,700.83,694.17,696.3,5707582
2024-07-31,706.69,709.06,705.21,707.76,12331267
2024-08-01,713.98,715.86,713.57,715.44,5188050
2024-08-02,707.9,710.44,703.35,704.64,6321073
2024-08-05,707.19,710.33,706.81,708.51,7737408
2024-08-06,705.13,709.14,704.8,708.9,6091883
2024-08-07,716.4,717.67,713.89,714.3,6220317
2024-08-08,740.45,741.92,739.96,740.1,4946470
2024-08-09,733.25,736.71,729.32,736.07,8166591
2024-08-12,744.86,747.61,742.93,743.71,6466038
2024-08-13,734.59,737.03,734.24,734.74,3850442
2024-08-14,765.65,765.72,756.08,756.65,6634339
2024-08-15,723.04,723.34,722.2,722.4,8115364
2024-08-16,715.58,716.17,714.64,715.36,4669940
2024-08-19,730.26,733.12,728.16,732.6,9323367
2024-08-20,734.97,736.43,733.04,734.06,5051034
2024-08-21,744.54,746.27,741.13,741.58,14967090
2024-08-22,755.11,759.25,752.68,757.31,5264223
2024-08-23,757.02,759.67,754.54,758.91,8186699
2024-08-26,752.48,754.08,745.28,747.25,10226894
2024-08-27,772.6,776.36,769.76,770.65,5368735
2024-08-28,744.24,746.61,743.07,746.29,11966306
2024-08-29,747.66,749.63,744.81,745.81,6232917
2024-08-30,743.15,744.32,742.56,743.23,11853850
2024-09-02,736.21,737.59,730.54,733.03,7018781
2024-09-03,742.02,742.38,738.04,740.83,5583962
2024-09-04,745.98,750.53,745.6,750.4,6129685
2024-09-05,769.44,769.75,761.69,764.61,12502072
2024-09-06,746.6,749.62,745.22,749.61,8767390
2024-09-09,757.18,760.2,755.04,755.37,5680308
2024-09-10,750.16,753.07,749.12,750.58,6289704
2024-09-11,752.0,752.25,748.53,749.05,12580196
2024-09-12,752.79,754.53,752.48,754.46,7596520
2024-09-13,780.27,782.18,773.68,774.74,8257303
2024-09-16,775.76,779.5,772.23,773.1,5720041
2024-09-17,766.69,766.89,762.6,763.66,4691755
2024-09-18,774.73,776.65,770.89,772.47,7768085
2024-09-19,767.01,767.23,765.89,766.06,3724280
2024-09-20,765.47,766.61,760.02,760.42,7376292
2024-09-23,742.03,744.78,739.02,739.3,7288462
2024-09-24,737.97,739.73,736.07,737.58,5439601
2024-09-25,734.74,737.05,734.44,734.59,6216350
2024-09-26,753.32,753.83,752.05,752.25,6680213
2024-09-27,761.23,764.24,760.05,763.81,16114000
2024-09-30,770.16,773.73,768.97,771.12,4306800
2024-10-01,786.56,789.16,786.13,787.48,6786457
2024-10-02,804.51,805.36,801.04,801.05,6500668
2024-10-03,796.83,801.93,795.1,801.23,5449128
2024-10-04,842.63,845.29,840.44,843.62,5323474
2024-10-07,817.4,821.08,816.97,817.81,3341163
2024-10-08,814.67,815.3,809.06,811.23,7317204
2024-10-09,809.19,811.43,805.58,810.18,7105502
2024-10-10,803.72,805.44,803.5,805.32,7970910
2024-10-11,798.25,803.23,795.76,801.63,8242367
2024-10-14,815.78,818.63,811.9,811.98,12998022
2024-10-15,813.63,817.35,813.55,816.34,4507825
2024-10-16,808.42,808.67,802.84,804.27,7659560
2024-10-17,807.69,808.54,803.77,806.11,8148334
2024-10-18,790.08,791.11,785.24,789.37,14063354
2024-10-21,789.38,792.92,788.68,792.54,6966080
2024-10-22,794.19,795.75,790.82,792.44,6540752
2024-10-23,794.01,794.68,792.4,792.89,2687251
2024-10-24,789.81,790.5,787.33,787.86,2714470
2024-10-25,780.82,781.3,780.04,780.48,6071514
2024-10-28,775.25,778.74,774.47,778.2,10135417
2024-10-29,773.52,774.54,770.77,771.08,7989431
2024-10-30,784.4,788.11,784.37,784.64,7326102
2024-10-31,758.88,763.48,757.45,763.3,6363136
2024-11-01,755.93,757.26,755.8,756.67,10467433
2024-11-04,768.26,769.5,767.39,767.39,6285455
2024-11-05,779.26,783.4,778.99,781.19,5346071
2024-11-06,778.04,780.32,775.74,776.55,7039870
2024-11-07,763.16,764.44,759.48,760.08,10610169
2024-11-08,761.96,767.78,761.94,765.9,9267081
2024-11-11,763.92,765.66,761.49,761.56,5247175
2024-11-12,741.38,744.35,740.99,743.51,6726161
2024-11-13,748.47,748.58,746.88,747.24,5427815
2024-11-14,752.21,759.79,750.92,755.83,5578171
2024-11-15,745.31,746.29,740.27,743.26,6172088
2024-11-18,725.67,728.48,724.81,728.26,12746345
2024-11-19,736.86,736.9,734.89,735.64,7654078
2024-11-20,753.05,754.02,749.45,750.63,6204755
2024-11-21,739.54,743.63,737.48,742.72,8268616
2024-11-22,724.96,726.7,722.55,723.93,10470477
2024-11-25,727.8,730.9,727.52,728.71,7474391
2024-11-26,733.53,735.66,733.25,734.31,8940747
2024-11-27,740.08,743.39,738.03,740.91,6353759
2024-11-28,736.36,736.89,733.46,734.91,5289648
2024-11-29,727.99,730.03,725.69,727.68,5823124
2024-12-02,757.86,758.38,754.52,755.25,5044214
2024-12-03,772.55,773.13,769.24,771.32,5447007
2024-12-04,778.63,780.35,776.03,776.54,5820597
2024-12-05,770.46,774.47,769.88,772.46,7584971
2024-12-06,774.53,775.29,771.11,771.99,6604668
2024-12-09,796.48,800.41,793.8,798.66,4346130
2024-12-10,823.4,824.84,821.31,821.53,5425578
2024-12-11,801.1,806.67,800.4,806.12,6567372
2024-12-12,760.31,763.29,759.82,760.17,9418546
2024-12-13,737.74,737.82,735.78,737.27,4873541
2024-12-16,773.68,774.21,766.89,770.69,5490827
2024-12-17,781.7,783.9,778.82,780.75,10668055
2024-12-18,756.64,759.43,756.09,756.12,8170631
2024-12-19,737.93,740.81,735.86,738.97,8441552
2024-12-20,745.8,748.84,743.04,747.72,6996223
2024-12-23,724.55,731.45,723.76,730.47,4506872
2024-12-24,735.94,736.86,734.38,736.85,8361105
2024-12-25,744.98,746.17,742.87,743.51,9332637
2024-12-26,744.21,746.35,739.84,742.05,7538703
2024-12-27,721.05,721.98,716.95,720.5,6625626
2024-12-30,738.97,740.58,730.98,731.59,6702864
2024-12-31,735.72,739.13,732.92,735.95,9644231
2025-01-01,715.42,718.11,710.98,716.51,7094987
2025-01-02,725.4,727.49,723.8,727.02,5726168
2025-01-03,722.02,724.91,716.64,719.51,6995012
2025-01-06,712.56,716.76,712.14,715.91,5167378
2025-01-07,717.67,719.39,716.59,718.25,6250285
2025-01-08,707.24,708.89,704.82,705.31,5963823
2025-01-09,711.44,711.63,708.03,710.15,6336516
2025-01-10,706.96,708.61,706.25,707.22,6228082
2025-01-13,691.19,692.87,686.74,687.27,9391681
2025-01-14,679.9,680.28,677.49,679.38,5090056
2025-01-15,678.07,684.4,678.04,679.4,7863066
2025-01-16,672.96,676.24,671.91,675.64,5147476
2025-01-17,667.73,670.23,666.18,667.09,5099865
2025-01-20,689.73,690.6,687.73,687.97,7344725
2025-01-21,705.89,706.55,704.52,704.53,4325375
2025-01-22,672.6,676.79,672.25,674.3,9410253
2025-01-23,690.63,691.04,687.55,688.87,6825323
2025-01-24,677.53,679.58,674.85,675.25,8030624
2025-01-27,683.13,686.96,682.54,682.6,4913568
2025-01-28,711.48,714.98,710.03,714.87,6720536
2025-01-29,712.75,716.13,712.02,715.33,8564269
2025-01-30,735.93,737.56,734.35,735.3,9384564
2025-01-31,763.27,764.98,762.31,763.59,5508937
2025-02-03,748.74,750.4,746.5,748.76,6734894
2025-02-04,759.34,761.71,757.65,757.88,7095801
2025-02-05,775.35,776.79,772.91,776.53,5936744
2025-02-06,766.98,768.45,764.92,765.25,5682462
2025-02-07,755.65,758.22,751.45,752.28,10289170
2025-02-10,736.52,739.05,733.59,738.87,6447895
2025-02-11,738.8,742.6,736.62,740.87,4197440
2025-02-12,733.98,741.05,733.22,737.57,3799095
2025-02-13,728.87,729.56,727.61,728.91,5042294
2025-02-14,734.56,737.37,730.45,732.02,7412182
2025-02-17,727.41,729.73,727.18,727.45,6307376
2025-02-18,706.32,710.2,700.37,702.34,8128453
2025-02-19,654.47,662.96,653.78,662.7,11221651
2025-02-20,657.29,658.38,655.66,657.83,7564450
2025-02-21,667.91,672.27,666.34,670.97,7075290
2025-02-24,702.64,705.11,699.0,701.35,6542965
2025-02-25,679.59,684.25,679.05,682.36,4626735
2025-02-26,677.2,678.08,676.81,677.27,5013417
2025-02-27,683.99,684.52,677.92,678.93,4253602
2025-02-28,675.84,676.25,672.25,673.94,6032862
2025-03-03,674.75,676.11,670.44,672.48,3856749
2025-03-04,665.96,670.02,664.04,667.98,6190198
2025-03-05,679.34,683.04,678.46,680.65,7249215
2025-03-06,692.54,693.54,686.42,688.58,5846273
2025-03-07,689.15,689.61,683.37,683.9,9533141
2025-03-10,701.9,703.23,700.99,701.33,6307877
2025-03-11,692.21,693.66,688.11,689.71,6424731
2025-03-12,687.35,692.09,686.16,691.15,4960685
2025-03-13,700.84,701.49,698.71,701.48,5432825
2025-03-14,700.57,705.08,700.03,703.84,3777538
2025-03-17,714.76,714.99,713.44,713.56,8521588
2025-03-18,720.91,726.34,720.38,723.31,9637323
2025-03-19,715.5,717.61,713.24,716.57,7343481
2025-03-20,708.71,710.72,706.75,707.51,7350624
2025-03-21,694.27,699.11,691.86,698.26,8890322
2025-03-24,695.48,697.15,694.06,697.06,8696441
2025-03-25,694.75,698.39,693.59,696.2,8031425
2025-03-26,707.46,709.53,707.2,709.09,5684486
2025-03-27,721.63,726.7,720.96,724.35,6685363
2025-03-28,732.3,732.71,732.22,732.65,6010051
2025-03-31,738.38,745.75,737.59,741.65,7855657
2025-04-01,737.64,744.21,736.8,741.46,5620066
2025-04-02,759.38,760.74,758.0,759.88,5396715
2025-04-03,779.74,780.79,778.55,780.22,5769993
2025-04-04,796.6,796.97,789.07,792.66,10198153
2025-04-07,813.07,814.23,809.5,811.14,4944499
2025-04-08,799.43,803.06,792.12,797.17,6861736
2025-04-09,776.21,779.72,775.79,778.18,7594974
2025-04-10,775.97,779.46,775.65,778.75,8987428
2025-04-11,793.12,794.51,792.06,793.95,10097702
2025-04-14,795.0,795.21,791.1,791.73,4908878
2025-04-15,802.68,807.32,799.97,801.32,4136889
2025-04-16,812.53,813.47,803.82,804.81,6874484
2025-04-17,802.15,802.77,795.98,796.56,4560096
2025-04-18,793.87,798.93,792.05,797.62,8651953
2025-04-21,814.87,815.18,807.17,811.54,5103673
2025-04-22,821.72,822.72,819.89,822.64,8746351
2025-04-23,852.36,852.68,852.25,852.26,3541346
2025-04-24,883.81,884.52,877.69,880.47,10156943
2025-04-25,906.86,907.3,905.15,906.14,5960858
2025-04-28,896.29,897.14,886.73,888.0,9812097
2025-04-29,899.26,904.32,897.88,902.92,4512604
2025-04-30,907.44,908.52,907.37,907.61,9182723
2025-05-01,926.23,927.57,925.23,926.1,6259808
2025-05-02,905.48,905.83,900.46,903.2,7799369
2025-05-05,889.86,896.97,889.21,895.5,6006996
2025-05-06,899.04,903.92,897.71,899.01,6592690
2025-05-07,895.17,899.92,891.82,896.59,5653418
2025-05-08,904.0,909.54,901.15,905.44,7661615
2025-05-09,916.65,921.76,911.45,920.39,3697221
2025-05-12,915.78,918.62,913.02,916.87,6551984
2025-05-13,912.11,916.33,909.9,915.02,4864069
2025-05-14,913.13,920.42,911.61,916.5,10000776
2025-05-15,926.88,926.96,923.98,925.3,6904886
2025-05-16,905.59,908.14,901.89,904.94,7562687
2025-05-19,905.48,907.11,897.06,900.42,4543332
2025-05-20,913.79,916.5,912.93,916.1,8095502
2025-05-21,915.71,920.79,911.7,918.37,9358548
2025-05-22,905.31,906.08,901.95,902.73,6161812
2025-05-23,885.4,888.86,883.72,888.25,8189479
2025-05-26,907.05,908.23,899.0,902.26,6954252
2025-05-27,914.7,914.78,909.91,911.13,6453304
2025-05-28,922.2,924.21,921.79,922.69,6502474
2025-05-29,921.8,926.92,920.07,926.89,5862025
2025-05-30,882.92,883.65,877.84,879.44,11039330
2025-06-02,916.22,928.91,916.05,928.27,5173249
2025-06-03,930.01,930.21,922.47,926.54,7200527
2025-06-04,914.1,918.88,912.26,918.0,4289230
2025-06-05,911.45,918.23,909.61,915.71,7057331
2025-06-06,907.66,908.53,897.8,899.24,4583937
2025-06-09,866.36,875.44,863.99,873.79,5647540
2025-06-10,893.33,899.71,892.47,897.19,6335220
2025-06-11,885.66,889.1,884.79,886.41,6316988
2025-06-12,877.6,877.8,873.03,875.56,12321956
2025-06-13,896.38,899.02,894.44,895.37,14802379
2025-06-16,875.86,885.15,873.47,883.3,5736768
2025-06-17,896.4,898.23,891.4,891.93,5062355
2025-06-18,899.88,904.16,897.23,898.44,5974623
2025-06-19,924.05,928.11,922.68,926.92,10001894
2025-06-20,936.57,939.01,931.74,934.52,9307270
2025-06-23,943.53,948.15,933.59,938.69,4650824
2025-06-24,950.01,952.49,948.29,952.08,6408497
2025-06-25,961.29,965.23,951.22,952.04,7332885
2025-06-26,956.02,960.12,953.63,958.96,8426714
2025-06-27,977.02,977.64,969.66,975.17,4873823
2025-06-30,941.86,943.15,933.53,934.71,5157434
2025-07-01,907.46,912.11,906.97,911.95,8275865
2025-07-02,913.85,915.53,912.18,912.67,4942458
2025-07-03,900.61,903.02,898.85,901.4,6557896
2025-07-04,867.86,872.3,866.91,871.79,3769821
2025-07-07,859.17,860.86,858.24,860.72,4213355
2025-07-08,849.18,850.72,848.61,848.79,7817461
2025-07-09,842.6,847.23,838.65,839.8,6379279
2025-07-10,865.37,866.66,863.44,866.22,9095519
2025-07-11,871.2,872.46,868.03,871.82,9362454
2025-07-14,880.65,887.94,880.04,887.64,4044712
2025-07-15,889.84,891.99,887.77,891.05,14506127
2025-07-16,894.9,896.82,888.85,892.12,9243372
2025-07-17,914.66,918.08,912.19,912.39,5066872
2025-07-18,934.76,936.67,933.76,935.94,8404558
2025-07-21,936.23,938.35,924.24,929.07,8839299
2025-07-22,943.03,945.27,937.98,942.33,5974445
2025-07-23,897.15,905.45,893.82,899.44,5990475
2025-07-24,881.14,884.92,877.81,879.98,8065334
2025-07-25,893.95,897.18,891.67,893.84,15564591
2025-07-28,879.39,883.53,876.1,882.6,6509960
2025-07-29,908.52,910.51,903.46,907.2,10778735
2025-07-30,912.35,917.44,911.36,915.29,4998478
2025-07-31,925.81,926.2,921.14,924.43,5161013
2025-08-01,921.47,927.36,920.52,924.3,8600518
2025-08-04,915.49,916.83,913.74,915.53,6506984
2025-08-05,929.27,934.82,928.67,934.5,6782453
2025-08-06,933.9,939.67,932.72,937.52,3551432
2025-08-07,964.08,965.44,963.69,964.34,4695699
2025-08-08,955.85,959.28,951.75,957.6,9205735
2025-08-11,969.85,970.01,963.37,963.39,4745837
2025-08-12,970.83,971.66,968.37,968.72,5674145
2025-08-13,956.6,961.64,954.25,961.22,7047737
2025-08-14,929.56,930.82,927.32,930.41,11260849
2025-08-15,899.38,906.8,899.06,905.87,9075113
2025-08-18,930.96,931.13,927.77,929.23,4639377
2025-08-19,962.98,964.23,960.02,962.17,7048608
2025-08-20,942.57,945.37,940.77,944.92,5134631
2025-08-21,953.55,954.69,950.45,951.25,7596270
2025-08-22,967.07,968.76,965.69,967.67,6535812
2025-08-25,948.31,949.55,935.65,939.19,5808610
2025-08-26,937.34,939.8,926.51,929.25,4117387
2025-08-27,946.5,949.1,943.81,947.85,11117178
2025-08-28,959.84,960.4,956.58,959.24,3612066
2025-08-29,964.51,969.9,964.41,969.89,7322123
2025-09-01,1013.71,1017.14,1011.58,1012.01,5126364
2025-09-02,1009.47,1017.22,1006.85,1014.47,8857379
2025-09-03,1001.57,1006.94,1000.45,1005.0,5210695
2025-09-04,992.12,995.09,991.07,994.26,8053868
2025-09-05,968.34,968.63,965.63,967.72,8643174
2025-09-08,965.17,970.27,963.86,968.86,6710099
2025-09-09,985.04,987.56,984.65,987.33,4515847
2025-09-10,987.07,989.0,980.86,980.89,8689168
2025-09-11,957.82,964.52,951.78,962.46,10268380
