Date,Open,High,Low,Close,Volume
2024-04-05,461.81,462.85,461.79,462.3,8435162
2024-04-08,473.14,473.51,471.2,471.48,11648598
2024-04-09,469.56,472.77,469.42,472.65,11395884
2024-04-10,482.59,483.45,480.91,481.0,12655720
2024-04-11,483.7,484.28,483.42,483.79,9305838
2024-04-12,485.87,486.04,483.69,484.73,26439946
2024-04-15,480.05,481.96,479.73,481.84,6764383
2024-04-16,477.84,478.19,477.12,477.86,16697488
2024-04-17,468.87,469.2,468.44,468.63,11319774
2024-04-18,460.34,460.77,460.03,460.41,17766941
2024-04-19,467.04,467.6,466.18,467.38,18543168
2024-04-22,463.08,465.27,462.69,464.56,15710057
2024-04-23,471.9,472.12,470.97,471.1,11117386
2024-04-24,469.97,471.39,468.77,470.32,5233920
2024-04-25,467.92,468.41,465.99,466.15,10396397
2024-04-26,477.04,478.34,476.13,476.47,10388122
2024-04-29,473.77,474.03,471.8,472.6,11839815
2024-04-30,469.46,471.68,469.45,471.12,11836997
2024-05-01,470.65,470.88,469.82,470.82,7408447
2024-05-02,469.96,470.19,469.12,469.9,12118797
2024-05-03,477.43,478.65,476.83,477.14,6863144
2024-05-06,469.25,469.88,468.37,469.14,10771872
2024-05-07,476.1,476.59,475.22,475.61,11748245
2024-05-08,476.44,476.58,474.74,474.9,7072946
2024-05-09,473.25,474.73,473.23,474.55,14893464
2024-05-10,473.76,473.76,471.76,472.05,15794070
2024-05-13,476.41,476.95,476.04,476.95,8477707
2024-05-14,467.8,469.99,467.43,469.1,11188388
2024-05-15,478.97,482.01,478.6,480.89,7259958
2024-05-16,479.19,480.04,478.32,479.18,9658057
2024-05-17,482.12,482.23,480.29,481.71,14273642
2024-05-20,485.84,485.92,483.66,485.11,8952195
2024-05-21,495.34,497.18,495.29,496.75,14184328
2024-05-22,501.4,502.68,500.39,500.98,8163643
2024-05-23,503.35,504.34,502.84,504.07,10047785
2024-05-24,513.62,514.17,512.87,514.12,16506689
2024-05-27,509.13,509.56,507.73,509.29,8728689
2024-05-28,511.19,511.69,508.07,509.7,14005712
2024-05-29,518.43,519.2,517.36,517.98,12810594
2024-05-30,514.15,514.46,512.42,513.03,18439852
2024-05-31,514.27,515.99,514.07,515.1,12152620
2024-06-03,509.92,510.11,509.52,509.59,17339447
2024-06-04,511.2,511.45,510.93,510.94,10013827
2024-06-05,508.18,512.59,507.17,511.73,14565351
2024-06-06,508.23,508.69,507.23,508.36,8385227
2024-06-07,508.74,510.57,508.39,510.13,14715425
2024-06-10,509.15,509.56,508.87,509.19,8325581
2024-06-11,509.34,511.07,509.1,509.7,13517983
2024-06-12,502.74,502.88,502.24,502.58,8562624
2024-06-13,506.23,507.54,506.01,507.09,7981936
2024-06-14,518.9,519.79,517.25,518.31,13089937
2024-06-17,521.15,521.5,520.67,521.29,9311108
2024-06-18,510.26,512.98,509.89,512.2,14080059
2024-06-19,508.56,509.55,506.95,509.26,14236831
2024-06-20,510.81,513.89,509.98,512.93,11938305
2024-06-21,505.63,506.19,504.75,505.41,16024393
2024-06-24,502.62,503.26,499.25,500.85,10584157
2024-06-25,494.56,494.94,492.08,492.51,10589995
2024-06-26,493.95,495.52,493.37,494.88,16554128
2024-06-27,506.22,506.37,504.46,505.42,12166599
2024-06-28,510.55,512.81,510.46,511.49,12173525
2024-07-01,508.89,509.85,507.28,509.21,10460789
2024-07-02,509.07,510.5,508.67,510.14,13203623
2024-07-03,512.04,512.12,509.08,509.63,7923399
2024-07-04,508.53,509.53,507.48,507.83,12062776
2024-07-05,510.88,511.09,508.31,508.62,11967186
2024-07-08,505.66,506.47,504.65,504.74,7777252
2024-07-09,510.8,511.34,509.14,509.24,10723011
2024-07-10,508.93,509.88,508.27,509.32,19586182
2024-07-11,511.45,512.66,510.92,512.58,14093001
2024-07-12,518.53,520.16,516.22,517.05,17488514
2024-07-15,525.16,525.46,525.0,525.38,12804078
2024-07-16,531.83,532.93,531.41,532.72,11268140
2024-07-17,522.61,523.87,521.16,522.71,22361292
