Date,Open,High,Low,Close,Volume
2024-04-05,296.7,297.48,296.47,296.85,17295382
2024-04-08,296.95,297.1,296.31,296.65,15080518
2024-04-09,297.18,298.15,295.68,296.11,8729173
2024-04-10,300.7,301.07,300.68,300.82,20897423
2024-04-11,296.58,297.02,295.39,295.72,14982371
2024-04-12,291.19,291.36,289.82,289.98,10923574
2024-04-15,291.81,293.12,291.7,292.89,7886290
2024-04-16,290.5,291.71,290.14,291.29,12545209
2024-04-17,291.51,291.8,290.58,290.64,11764695
2024-04-18,289.69,290.16,289.34,289.5,8643189
2024-04-19,294.35,295.27,294.3,294.98,12475177
2024-04-22,295.41,296.36,295.27,295.91,12164424
2024-04-23,296.82,296.86,296.69,296.71,10662341
2024-04-24,299.23,300.37,298.84,300.21,11369832
2024-04-25,300.67,301.63,300.4,301.32,6080452
2024-04-26,304.29,304.3,304.05,304.24,13670575
2024-04-29,306.36,306.68,304.92,305.28,7129021
2024-04-30,304.98,305.22,304.11,304.49,10552798
2024-05-01,303.79,304.27,303.01,303.09,15411878
2024-05-02,303.37,303.66,302.55,302.75,8666670
2024-05-03,304.92,305.32,304.0,304.55,10789105
2024-05-06,300.62,301.05,300.26,300.91,7340211
2024-05-07,296.15,296.53,295.2,296.4,9000882
2024-05-08,292.43,292.66,291.74,291.74,14005638
2024-05-09,295.22,295.54,295.12,295.53,12340081
2024-05-10,300.48,301.37,299.78,301.14,14807590
2024-05-13,301.56,302.08,300.43,301.0,14978349
2024-05-14,304.16,304.52,303.79,303.96,14679283
2024-05-15,302.28,303.1,301.43,302.53,11155657
2024-05-16,301.63,302.09,301.13,301.3,10701899
2024-05-17,300.92,301.44,300.91,301.23,11211769
2024-05-20,304.59,304.7,303.67,303.98,8848510
2024-05-21,305.7,307.03,305.59,306.79,12622465
2024-05-22,314.04,314.78,313.93,314.54,9983528
2024-05-23,316.59,317.19,316.07,316.82,9680758
2024-05-24,313.35,314.31,311.77,312.14,11097218
2024-05-27,311.18,311.26,309.7,310.68,16180043
2024-05-28,314.35,314.67,313.96,314.62,11209802
2024-05-29,314.59,315.48,314.14,315.1,12352423
2024-05-30,313.14,313.57,313.06,313.06,16516302
2024-05-31,310.27,310.74,310.24,310.46,10318073
2024-06-03,312.0,312.55,310.88,311.11,7330315
2024-06-04,313.58,314.24,313.12,313.46,8916144
2024-06-05,312.67,313.64,312.08,313.38,11694782
2024-06-06,311.74,312.16,310.06,310.79,18890691
2024-06-07,314.52,315.14,314.12,314.61,13682958
2024-06-10,315.26,315.94,314.83,315.06,8348894
2024-06-11,312.38,313.07,311.42,312.11,9261737
2024-06-12,316.57,316.82,316.05,316.12,13194318
2024-06-13,310.41,310.53,309.52,309.66,13153321
2024-06-14,312.04,312.48,311.14,311.7,15130806
2024-06-17,310.03,310.6,309.99,310.33,7334067
2024-06-18,313.48,313.48,312.04,313.09,10626690
2024-06-19,309.11,309.89,308.58,308.79,12072746
2024-06-20,308.25,308.76,307.95,308.7,8781898
2024-06-21,311.02,311.67,310.78,311.26,10331167
2024-06-24,311.19,311.83,310.99,311.43,6181941
2024-06-25,320.82,320.92,320.23,320.59,8307020
2024-06-26,322.82,323.54,322.68,323.47,10924598
2024-06-27,324.01,324.22,322.9,323.15,18992632
2024-06-28,321.17,321.87,320.42,320.45,23794910
2024-07-01,322.17,322.95,319.25,320.8,9234377
2024-07-02,325.29,325.69,324.33,324.61,8452607
