Date,Open,High,Low,Close,Volume
2024-04-05,502.24,502.82,500.58,501.17,10600713
2024-04-08,519.13,519.99,516.6,518.12,2936744
2024-04-09,510.59,513.03,509.35,512.72,4311038
2024-04-10,530.81,531.22,529.4,529.74,5991816
2024-04-11,516.55,518.03,514.62,517.27,5711588
2024-04-12,514.63,515.37,514.36,515.28,9229370
2024-04-15,508.45,509.47,508.13,508.95,7317876
2024-04-16,496.45,499.0,495.72,497.0,7694011
2024-04-17,496.65,496.78,494.52,496.33,8622515
2024-04-18,490.77,492.21,490.62,491.23,11079857
2024-04-19,504.68,507.45,504.52,506.8,4103967
2024-04-22,491.1,495.38,489.22,494.04,9382132
2024-04-23,496.75,497.77,495.12,495.95,9032323
2024-04-24,492.82,492.87,490.0,492.12,8783296
2024-04-25,501.34,502.34,499.91,501.61,5815965
2024-04-26,501.15,504.77,500.98,503.15,11511613
2024-04-29,504.4,506.08,502.08,502.09,4995654
2024-04-30,492.91,494.58,492.81,493.92,6454407
2024-05-01,494.3,495.48,493.97,494.78,6484029
2024-05-02,516.73,517.23,514.41,514.5,9252245
2024-05-03,523.59,527.65,523.26,525.95,6473279
2024-05-06,540.3,544.26,537.62,542.5,5535099
2024-05-07,540.84,542.86,538.39,540.22,7981065
2024-05-08,536.98,541.39,536.1,539.89,9442762
2024-05-09,546.34,547.19,544.55,544.72,12213557
2024-05-10,548.65,551.39,548.5,550.39,8804003
2024-05-13,548.19,550.29,546.52,549.88,10826236
2024-05-14,549.66,551.15,547.72,548.81,7968429
2024-05-15,550.25,554.9,547.8,553.36,7105256
2024-05-16,552.69,556.59,550.48,555.1,6302240
2024-05-17,550.99,556.54,548.0,552.84,6154960
2024-05-20,567.45,567.69,565.61,566.63,7402148
2024-05-21,550.69,551.02,546.82,547.66,6173257
2024-05-22,551.85,554.44,551.57,553.31,7080046
2024-05-23,566.84,567.71,566.72,567.18,5842797
2024-05-24,554.51,556.84,554.13,555.25,8876310
2024-05-27,563.42,565.36,562.46,562.9,9515311
2024-05-28,558.98,560.57,558.55,559.31,7171706
2024-05-29,558.21,559.16,557.45,557.65,10449709
2024-05-30,555.79,558.17,555.26,557.96,7079137
2024-05-31,573.1,574.12,572.87,573.24,9699480
2024-06-03,574.01,574.08,569.66,570.05,12484257
2024-06-04,571.03,572.49,570.59,571.91,5289482
2024-06-05,587.31,588.34,586.74,587.31,5167777
2024-06-06,604.62,605.64,604.17,605.08,8058828
2024-06-07,604.4,604.47,601.26,602.73,9149701
2024-06-10,624.0,628.36,622.21,627.24,4549183
2024-06-11,622.92,623.21,622.03,622.86,6459584
2024-06-12,634.89,634.93,633.94,634.29,9366084
2024-06-13,648.1,652.19,646.72,651.54,4387315
2024-06-14,654.11,656.68,650.92,654.84,7879915
2024-06-17,644.79,646.78,644.33,645.82,4173503
2024-06-18,647.91,647.94,645.92,646.24,6740564
2024-06-19,645.46,646.31,644.14,644.19,6018278
2024-06-20,635.22,636.43,633.15,636.06,7231294
2024-06-21,621.22,625.02,619.49,622.64,11741587
2024-06-24,604.07,607.44,603.1,606.74,7623568
2024-06-25,595.1,595.57,592.39,592.46,9023602
2024-06-26,589.87,591.05,589.25,590.0,6770950
2024-06-27,574.25,576.7,572.87,575.44,4232923
2024-06-28,568.31,568.65,566.04,566.11,16498534
2024-07-01,550.66,556.11,549.41,553.93,5567648
2024-07-02,575.21,577.79,572.25,573.11,6390411
2024-07-03,582.03,583.61,580.52,582.72,5216489
2024-07-04,572.99,573.96,571.64,572.27,12573945
2024-07-05,583.66,587.01,577.83,579.81,9262918
2024-07-08,561.47,562.29,558.77,560.75,5205919
2024-07-09,582.37,583.07,578.71,581.8,5081018
2024-07-10,566.48,567.21,565.36,566.24,8738295
2024-07-11,556.2,563.89,554.64,559.93,6719826
2024-07-12,545.42,549.05,545.25,547.12,8354240
2024-07-15,557.19,557.77,555.44,557.43,6713311
2024-07-16,551.8,552.87,549.12,551.19,5883332
2024-07-17,570.03,571.71,566.25,570.12,4818167
2024-07-18,563.27,563.68,562.49,563.46,5259899
2024-07-19,593.68,594.64,587.54,588.5,6932072
2024-07-22,589.77,593.09,588.38,592.99,6898668
2024-07-23,605.71,605.94,601.75,603.12,10028977
2024-07-24,605.49,605.79,602.21,602.47,5935509
2024-07-25,606.69,610.62,605.99,606.87,9716339
2024-07-26,610.97,611.36,606.31,608.7,5814431
2024-07-29,608.06,611.6,607.21,608.61,5422875
2024-07-30,630.06,630.89,628.73,630.3,8439365
2024-07-31,638.83,642.87,635.45,641.88,6526894
2024-08-01,627.04,631.9,625.69,630.82,7771454
2024-08-02,614.0,615.73,610.09,610.96,11224167
2024-08-05,611.11,611.8,608.03,611.36,6452114
2024-08-06,613.04,615.85,612.39,614.1,6811680
2024-08-07,608.26,609.14,604.94,605.35,7446839
2024-08-08,604.66,606.15,595.66,597.58,6954559
2024-08-09,598.66,600.07,597.47,599.54,5718150
2024-08-12,595.96,596.69,595.24,595.36,7342572
2024-08-13,580.33,580.54,578.05,579.7,7375345
2024-08-14,588.34,591.13,587.56,589.39,6231260
2024-08-15,594.18,597.75,590.65,596.31,12131110
2024-08-16,604.44,605.31,601.34,603.49,7082105
2024-08-19,585.64,586.95,582.34,582.68,5924793
2024-08-20,577.41,581.09,576.69,580.37,6519289
