Date,Open,High,Low,Close,Volume
2024-04-05,427.21,428.92,426.2,428.07,13790724
2024-04-08,422.35,423.42,422.25,423.04,9575985
2024-04-09,414.01,416.25,413.47,415.96,10979105
2024-04-10,427.09,427.23,426.36,427.12,16540549
2024-04-11,430.46,431.4,428.56,429.2,6075391
2024-04-12,425.21,426.96,424.96,426.49,9546201
2024-04-15,431.06,431.67,430.44,431.34,10802444
2024-04-16,432.18,433.3,430.47,431.3,7979869
2024-04-17,430.55,433.4,430.23,433.25,5151421
2024-04-18,424.45,427.74,423.18,426.58,8194288
2024-04-19,421.46,425.1,421.33,423.97,9486815
2024-04-22,419.06,419.28,417.28,417.8,12211474
2024-04-23,416.46,416.95,413.55,415.04,9587327
2024-04-24,416.83,417.72,414.06,414.97,9030223
2024-04-25,415.48,416.58,414.39,416.0,6825667
2024-04-26,411.55,413.57,410.94,413.17,11509560
2024-04-29,409.98,410.63,409.53,409.86,6528853
2024-04-30,407.83,408.19,405.06,405.71,6214861
2024-05-01,408.98,410.72,407.67,410.56,6563843
2024-05-02,417.46,417.47,413.89,415.35,17342429
2024-05-03,412.54,412.64,411.32,411.97,12543837
2024-05-06,403.65,404.37,403.47,403.97,7876099
2024-05-07,408.82,409.29,405.18,405.93,11737264
2024-05-08,411.16,412.63,410.74,412.03,10370958
2024-05-09,424.2,426.19,423.43,425.27,15622342
2024-05-10,426.17,426.84,425.49,426.58,5522702
2024-05-13,428.81,429.26,425.99,427.28,13516699
2024-05-14,440.39,440.75,437.87,438.56,6429400
2024-05-15,444.04,444.95,443.19,443.3,7283879
2024-05-16,439.69,440.12,438.73,439.74,11200467
2024-05-17,441.64,442.28,440.07,440.86,13108999
2024-05-20,439.04,440.31,438.84,439.67,11893115
2024-05-21,443.8,447.5,441.96,446.06,7181652
2024-05-22,447.19,449.27,447.17,449.03,9051256
2024-05-23,449.3,449.7,448.7,449.26,7985573
2024-05-24,449.05,449.24,446.25,446.62,7438761
2024-05-27,443.29,444.42,443.24,443.74,7122674
2024-05-28,438.05,439.48,437.79,438.83,6916825
2024-05-29,445.04,445.26,444.34,444.85,9623279
2024-05-30,432.4,433.51,431.9,432.9,9502405
2024-05-31,424.88,425.02,423.42,424.13,5992588
2024-06-03,419.24,419.98,418.7,418.91,7250053
2024-06-04,416.73,417.75,414.23,415.15,11572431
2024-06-05,405.92,408.85,404.85,408.31,9678317
2024-06-06,414.27,415.21,413.99,415.2,8294648
2024-06-07,419.57,419.87,417.01,418.03,11392216
2024-06-10,424.47,424.49,423.0,423.66,8215106
2024-06-11,438.39,440.21,436.21,437.45,7701710
2024-06-12,432.24,433.12,431.72,432.09,8525646
2024-06-13,427.32,427.7,427.22,427.43,11217205
2024-06-14,414.4,416.22,414.28,415.78,11951397
2024-06-17,417.81,418.12,417.62,417.71,10074609
2024-06-18,410.26,410.37,408.16,408.9,7092430
2024-06-19,405.37,408.02,405.1,407.46,7724687
2024-06-20,401.5,404.15,401.36,403.84,8881717
2024-06-21,397.27,397.28,395.6,395.89,7178013
2024-06-24,399.83,401.03,398.75,400.43,10058015
2024-06-25,395.13,395.81,393.35,393.94,9192967
2024-06-26,398.53,399.18,396.88,397.17,9358398
2024-06-27,401.43,401.9,398.0,399.12,7035560
2024-06-28,392.03,393.42,391.75,392.78,15257400
2024-07-01,392.94,393.88,392.3,393.34,11952976
2024-07-02,392.89,393.01,392.05,392.51,15413216
2024-07-03,384.84,386.09,384.26,385.89,9439110
2024-07-04,383.01,383.44,380.73,381.21,6577076
2024-07-05,376.81,377.87,376.47,377.74,19148969
2024-07-08,374.33,374.99,372.9,373.58,7005153
2024-07-09,378.72,379.49,377.83,378.3,9493871
2024-07-10,377.27,378.59,376.75,376.89,10554278
2024-07-11,385.62,386.16,384.28,384.43,11257840
2024-07-12,386.24,386.37,383.39,384.57,10731892
2024-07-15,390.1,390.82,388.13,388.9,6619016
2024-07-16,389.19,391.05,388.94,390.26,9877080
2024-07-17,393.97,394.97,393.72,394.61,11924536
2024-07-18,394.35,397.05,393.93,396.69,7578686
2024-07-19,400.59,401.17,400.22,400.93,12268968
2024-07-22,398.73,401.75,398.72,401.2,3818651
2024-07-23,399.7,402.73,399.58,401.94,10558434
2024-07-24,404.48,404.5,403.04,404.15,6087375
2024-07-25,408.45,408.52,407.32,408.09,7732824
2024-07-26,412.16,412.87,411.22,412.05,8949918
2024-07-29,404.11,407.48,403.42,406.39,9857100
2024-07-30,411.83,412.94,411.36,412.3,12754134
2024-07-31,427.19,427.38,424.91,425.13,8281861
2024-08-01,418.41,418.44,417.14,417.65,10532891
2024-08-02,416.06,416.15,415.41,415.43,12244438
2024-08-05,418.51,419.77,417.12,419.43,10140004
2024-08-06,421.45,421.97,418.57,419.61,6277371
2024-08-07,426.15,426.74,425.57,426.08,11225894
2024-08-08,411.22,411.31,409.1,410.31,9785784
2024-08-09,416.33,416.85,414.27,415.54,9811018
2024-08-12,419.63,420.13,418.37,418.56,7009770
