Date,Open,High,Low,Close,Volume
2024-04-05,97.31,98.14,97.19,97.77,13392239
2024-04-08,98.31,98.78,98.12,98.64,6495893
2024-04-09,98.58,99.05,98.35,98.82,6194804
2024-04-10,99.78,100.03,99.73,99.78,8251216
2024-04-11,99.47,99.8,99.3,99.43,6861779
2024-04-12,98.19,98.22,97.82,98.0,6067047
2024-04-15,98.76,99.15,98.69,98.91,4556316
2024-04-16,99.75,99.77,99.38,99.63,4656664
2024-04-17,100.63,100.66,100.36,100.52,9759963
2024-04-18,103.38,103.54,103.36,103.53,7507826
2024-04-19,102.05,102.29,102.02,102.16,8289397
2024-04-22,102.67,102.84,102.28,102.68,11120771
2024-04-23,104.7,104.77,104.44,104.75,12921515
2024-04-24,106.67,107.08,106.24,106.96,7302724
2024-04-25,109.29,109.44,109.29,109.34,8882777
2024-04-26,108.55,108.57,108.05,108.3,10572827
2024-04-29,104.49,104.9,103.96,104.85,4574955
2024-04-30,105.37,105.5,105.07,105.2,8369480
2024-05-01,104.01,104.49,103.89,104.27,5364902
2024-05-02,103.79,103.84,103.76,103.84,9396264
2024-05-03,104.99,105.46,104.46,104.5,10320053
2024-05-06,106.55,106.62,106.49,106.51,6344528
2024-05-07,108.13,108.18,108.05,108.1,6511142
2024-05-08,108.26,108.42,107.97,108.07,7691958
2024-05-09,109.58,109.64,109.24,109.52,3506610
2024-05-10,110.63,110.88,110.16,110.33,8091274
2024-05-13,112.38,112.43,111.64,111.84,4668787
2024-05-14,109.68,109.71,109.37,109.39,8460235
2024-05-15,109.02,109.41,108.53,109.34,9860398
2024-05-16,109.35,109.61,109.22,109.48,6766123
2024-05-17,111.5,111.89,110.68,111.08,21649408
2024-05-20,110.02,110.33,110.02,110.22,6796882
2024-05-21,109.74,109.98,109.18,109.3,6915341
2024-05-22,108.21,108.87,108.19,108.64,4455272
2024-05-23,105.71,105.72,105.6,105.65,8093993
2024-05-24,105.06,105.25,104.85,105.0,6183088
2024-05-27,103.7,103.94,103.59,103.87,7142223
2024-05-28,105.71,106.45,105.62,106.44,9029692
2024-05-29,105.5,105.5,104.78,105.21,5223791
2024-05-30,107.22,107.22,106.98,107.07,6858032
