Date,Open,High,Low,Close,Volume
2024-04-05,106.39,106.43,106.13,106.38,22128252
2024-04-08,106.86,107.14,106.8,107.02,16780353
2024-04-09,109.22,109.45,109.14,109.2,9507530
2024-04-10,108.24,108.43,108.21,108.39,12340621
2024-04-11,106.16,106.17,105.95,106.09,15394266
2024-04-12,105.61,105.84,105.56,105.73,13891083
2024-04-15,104.08,104.7,104.04,104.58,13017389
2024-04-16,106.92,106.94,106.77,106.91,13557983
2024-04-17,105.45,105.5,105.29,105.35,10758107
2024-04-18,105.05,105.06,104.86,104.98,9243175
2024-04-19,105.87,106.18,105.72,105.76,21816048
2024-04-22,105.29,105.3,104.84,104.91,12327734
2024-04-23,105.41,105.44,105.24,105.26,24376975
2024-04-24,104.94,105.04,104.41,104.53,14742010
2024-04-25,102.23,102.36,101.98,102.28,19347060
2024-04-26,100.05,100.37,100.01,100.35,11137984
2024-04-29,100.64,100.72,100.28,100.4,14536236
2024-04-30,100.23,100.33,100.12,100.23,18609111
2024-05-01,99.08,99.39,98.93,99.22,10982469
2024-05-02,98.58,98.69,98.56,98.61,10254604
2024-05-03,98.57,98.63,98.49,98.62,12818424
2024-05-06,99.6,99.85,99.56,99.66,6137324
2024-05-07,97.94,98.1,97.92,97.93,18470750
2024-05-08,97.79,98.12,97.74,98.0,7250648
2024-05-09,100.14,100.23,100.04,100.09,17820127
2024-05-10,100.62,100.68,100.6,100.6,17832335
2024-05-13,102.09,102.18,101.9,101.92,10902924
2024-05-14,101.14,101.69,101.08,101.45,17500746
2024-05-15,100.15,100.16,99.73,99.73,12830506
2024-05-16,101.22,101.32,101.09,101.2,12722828
2024-05-17,99.99,100.18,99.92,100.0,8291447
2024-05-20,100.6,100.61,100.25,100.39,10852848
2024-05-21,101.73,102.12,101.5,101.79,11375516
2024-05-22,99.52,99.65,99.48,99.51,9419892
2024-05-23,100.1,100.11,100.02,100.09,21108835
2024-05-24,100.31,100.41,99.89,100.02,19589668
2024-05-27,99.2,99.55,99.18,99.52,11471638
2024-05-28,99.4,99.54,99.38,99.52,9750571
2024-05-29,98.53,98.63,98.52,98.56,10145516
2024-05-30,99.19,99.25,99.17,99.21,15562768
2024-05-31,97.73,97.89,97.49,97.78,10632187
2024-06-03,98.62,98.63,98.34,98.42,11485515
2024-06-04,98.75,98.9,98.51,98.71,20604899
2024-06-05,98.49,98.62,98.45,98.49,17856066
2024-06-06,97.62,97.98,97.57,97.96,17912846
2024-06-07,97.05,97.13,96.86,97.1,21918109
2024-06-10,96.14,96.4,95.98,96.29,8676007
2024-06-11,96.54,96.85,96.37,96.73,8408982
2024-06-12,95.09,95.19,94.72,94.78,12194586
2024-06-13,94.43,94.69,94.18,94.19,11102128
2024-06-14,93.27,93.35,92.98,93.09,18773483
2024-06-17,92.15,92.46,92.1,92.39,9564205
2024-06-18,91.44,91.48,91.1,91.33,15478615
2024-06-19,91.5,91.58,91.35,91.45,12310755
2024-06-20,91.37,91.57,91.28,91.51,14790683
2024-06-21,93.04,93.14,92.91,93.1,10749245
2024-06-24,92.92,92.94,92.52,92.76,16900317
2024-06-25,92.27,92.53,92.22,92.47,9206382
2024-06-26,93.91,94.17,93.87,93.88,27677006
2024-06-27,94.58,94.61,94.19,94.35,11975783
2024-06-28,97.51,97.65,97.46,97.56,10883178
2024-07-01,97.59,97.67,97.08,97.16,14113471
2024-07-02,95.45,95.55,95.37,95.47,9639018
2024-07-03,95.2,95.3,95.11,95.26,11098679
2024-07-04,94.17,94.34,94.13,94.28,10353789
2024-07-05,95.56,95.77,95.39,95.69,21072658
2024-07-08,97.21,97.34,97.01,97.2,7963087
2024-07-09,96.15,96.23,96.03,96.2,10518765
2024-07-10,93.6,93.65,93.54,93.62,18145908
2024-07-11,94.52,94.68,94.25,94.46,15497309
2024-07-12,92.93,93.21,92.82,93.03,16793510
2024-07-15,91.68,91.87,91.49,91.86,8607849
2024-07-16,92.95,93.03,92.76,92.78,19630863
2024-07-17,92.29,92.6,92.23,92.46,14185793
2024-07-18,92.79,92.79,92.51,92.56,8230855
2024-07-19,91.74,91.9,91.65,91.83,13322331
2024-07-22,92.87,93.22,92.85,93.03,11098032
2024-07-23,93.68,93.92,93.41,93.53,14036639
2024-07-24,92.37,92.57,92.34,92.49,9885148
2024-07-25,91.66,91.87,91.65,91.82,8087375
2024-07-26,93.38,93.54,93.17,93.19,13499480
2024-07-29,92.61,92.63,92.03,92.07,8615173
2024-07-30,91.73,91.93,91.53,91.92,16502812
2024-07-31,88.81,89.09,88.73,89.04,15128838
2024-08-01,88.05,88.09,87.9,88.07,7294479
2024-08-02,88.9,88.93,88.51,88.7,14840270
2024-08-05,90.38,90.77,90.05,90.17,13962766
2024-08-06,89.61,89.74,89.6,89.7,9470115
2024-08-07,89.52,89.54,89.34,89.41,17618307
2024-08-08,87.38,87.92,87.31,87.73,12678643
2024-08-09,87.83,88.03,87.81,87.88,12271220
2024-08-12,87.62,87.63,87.37,87.45,8069633
2024-08-13,87.62,87.69,87.38,87.44,14096048
2024-08-14,88.49,88.69,88.46,88.55,12673629
2024-08-15,89.82,89.92,89.66,89.85,12631848
2024-08-16,90.5,90.93,90.44,90.82,17324823
2024-08-19,89.32,89.33,89.24,89.25,13819976
2024-08-20,88.44,88.6,88.28,88.59,17058766
2024-08-21,87.84,88.31,87.61,88.12,12703397
2024-08-22,87.64,87.9,87.62,87.86,16144905
2024-08-23,86.73,86.85,86.65,86.79,8331529
2024-08-26,85.97,86.03,85.93,85.94,6678575
2024-08-27,86.26,86.34,86.07,86.25,14121009
2024-08-28,88.64,88.7,88.5,88.54,9805841
2024-08-29,88.48,88.83,88.42,88.66,15178273
2024-08-30,88.4,88.48,88.35,88.47,17566122
2024-09-02,88.95,89.09,88.78,88.97,9273096
2024-09-03,91.05,91.21,90.95,91.15,14336227
2024-09-04,91.27,91.37,91.21,91.21,11030283
2024-09-05,91.73,91.82,91.66,91.75,16471007
2024-09-06,92.12,92.22,91.91,91.95,15048996
2024-09-09,92.97,93.04,92.69,92.85,19594539
2024-09-10,94.95,95.16,94.53,94.67,22236936
2024-09-11,94.31,94.5,94.17,94.37,12468244
2024-09-12,94.6,94.69,94.24,94.38,16740422
2024-09-13,94.63,94.92,94.44,94.83,20539497
2024-09-16,94.52,94.67,94.5,94.52,9962813
2024-09-17,94.7,94.75,94.33,94.41,9128890
2024-09-18,92.89,93.28,92.78,93.2,11623404
2024-09-19,92.77,93.15,92.73,92.96,11911820
2024-09-20,92.03,92.21,91.7,91.79,12337954
2024-09-23,90.72,91.01,90.4,90.54,9823471
2024-09-24,89.86,89.99,89.85,89.88,15019905
2024-09-25,90.64,90.71,90.52,90.55,9037061
2024-09-26,92.31,92.53,92.24,92.46,14637069
2024-09-27,92.02,92.03,91.77,91.83,14398119
2024-09-30,93.04,93.12,92.69,92.81,11674574
2024-10-01,94.35,94.53,93.84,93.94,6644373
2024-10-02,94.62,94.71,94.34,94.38,13480606
2024-10-03,93.97,94.07,93.86,93.98,18434956
2024-10-04,94.08,94.21,94.03,94.06,14403465
2024-10-07,95.29,95.35,94.97,95.01,11920733
2024-10-08,95.01,95.12,94.71,94.79,9275995
2024-10-09,94.64,94.73,94.53,94.59,11050269
2024-10-10,92.85,93.11,92.77,93.06,11585242
2024-10-11,93.25,93.37,92.73,92.96,11962150
2024-10-14,93.98,94.07,93.82,94.06,12366142
2024-10-15,94.06,94.31,93.89,94.2,11397173
2024-10-16,94.87,94.96,94.82,94.92,11203790
2024-10-17,94.49,94.72,94.44,94.48,8295630
2024-10-18,93.51,93.53,93.19,93.21,7678296
2024-10-21,93.39,93.46,93.18,93.22,11665723
2024-10-22,93.38,93.62,93.18,93.52,8702852
2024-10-23,92.95,93.34,92.89,93.19,14743575
2024-10-24,92.55,92.74,92.3,92.32,12425648
2024-10-25,92.57,92.6,92.41,92.42,10711860
2024-10-28,91.35,91.46,91.34,91.45,5712162
2024-10-29,90.47,90.76,90.39,90.51,24086139
2024-10-30,89.64,89.74,89.43,89.45,11073595
2024-10-31,89.34,89.41,89.15,89.3,13978219
2024-11-01,90.16,90.34,90.16,90.31,16306499
2024-11-04,90.74,91.03,90.71,90.97,7727554
2024-11-05,90.78,91.17,90.78,91.15,11481244
2024-11-06,90.08,90.43,90.02,90.31,12915839
2024-11-07,89.89,90.02,89.85,89.98,15296829
2024-11-08,89.09,89.4,89.05,89.21,25673932
2024-11-11,89.53,89.62,89.41,89.43,11440507
2024-11-12,89.16,89.57,89.12,89.53,23040221
2024-11-13,89.87,90.15,89.84,90.14,13255870
2024-11-14,89.45,89.62,89.31,89.4,8395170
2024-11-15,89.54,89.66,89.48,89.61,18278071
2024-11-18,87.87,88.04,87.6,87.64,11872873
2024-11-19,88.15,88.18,88.07,88.07,10276948
2024-11-20,87.39,87.71,87.26,87.63,20322270
2024-11-21,89.28,89.37,88.99,89.05,10431403
2024-11-22,89.84,90.02,89.64,89.75,22027885
2024-11-25,88.27,88.57,88.21,88.43,7969962
2024-11-26,89.92,89.99,89.53,89.58,6005550
2024-11-27,89.95,90.26,89.83,90.12,9661884
2024-11-28,92.74,92.81,92.6,92.73,8826414
2024-11-29,91.54,91.82,91.5,91.65,11600689
2024-12-02,92.79,92.82,92.67,92.82,11814020
2024-12-03,92.91,93.1,92.86,93.04,10708429
2024-12-04,92.86,92.96,92.86,92.9,6624742
2024-12-05,93.77,93.97,93.64,93.83,9949576
2024-12-06,94.8,94.93,94.59,94.88,8843544
2024-12-09,95.9,96.27,95.81,96.26,16061406
2024-12-10,96.44,96.47,96.12,96.12,8809176
2024-12-11,97.15,97.24,96.78,96.91,17082899
2024-12-12,97.43,97.79,97.34,97.7,10278614
2024-12-13,97.77,97.91,97.57,97.83,7684028
2024-12-16,97.92,98.05,97.55,97.81,9812875
2024-12-17,96.57,96.71,96.42,96.69,16119571
