Date,Open,High,Low,Close,Volume
2024-04-05,838.85,841.67,837.43,838.87,4053168
2024-04-08,877.19,879.73,874.19,876.88,7116485
2024-04-09,883.99,887.21,873.92,880.59,5345718
2024-04-10,918.46,922.8,915.59,918.93,3889678
2024-04-11,926.37,927.06,912.98,918.83,3300852
2024-04-12,921.25,923.2,916.04,920.33,7111342
2024-04-15,944.3,947.23,940.5,940.87,5334608
2024-04-16,944.83,951.92,943.93,945.78,5544966
2024-04-17,938.56,942.63,934.39,935.15,3836209
2024-04-18,956.48,961.82,943.7,950.15,5205330
2024-04-19,894.11,899.7,890.69,899.16,5124132
2024-04-22,873.42,877.05,870.03,875.49,6816387
2024-04-23,884.04,891.96,883.84,890.38,5337953
2024-04-24,884.22,885.33,878.46,880.67,4588075
2024-04-25,873.3,875.33,861.8,862.4,2925143
2024-04-26,853.63,857.31,849.07,852.17,3192311
2024-04-29,855.98,856.14,850.21,854.93,6896153
2024-04-30,879.46,879.63,874.15,875.57,3033193
2024-05-01,891.16,892.88,888.63,892.44,4160719
2024-05-02,932.66,939.1,930.65,935.3,5257839
2024-05-03,917.92,933.52,916.67,927.13,4487462
2024-05-06,912.27,915.2,905.17,906.96,6521057
2024-05-07,928.99,936.59,927.89,935.23,5134959
2024-05-08,972.26,976.99,971.83,975.18,4145581
2024-05-09,998.74,999.38,994.91,998.29,2877881
2024-05-10,1002.9,1003.9,996.58,997.03,5316220
2024-05-13,999.68,1012.09,997.42,1008.86,2671322
2024-05-14,968.61,981.72,966.96,979.09,3796467
2024-05-15,990.86,995.3,985.28,987.34,3826170
2024-05-16,1023.86,1024.99,1021.61,1023.31,5239337
2024-05-17,1052.69,1058.33,1052.3,1054.87,6383999
2024-05-20,1068.6,1068.99,1061.05,1062.02,3448271
2024-05-21,1086.07,1088.72,1074.84,1081.4,3403059
2024-05-22,1086.24,1088.35,1085.39,1086.37,4048429
2024-05-23,1096.21,1098.19,1084.27,1095.65,7237417
2024-05-24,1058.9,1063.82,1039.6,1046.1,4864697
2024-05-27,1060.89,1063.0,1058.18,1060.52,2855161
2024-05-28,1058.85,1060.91,1055.01,1055.82,4224927
2024-05-29,1066.91,1071.37,1064.98,1068.46,5073315
2024-05-30,1038.41,1049.01,1036.26,1047.08,3101047
2024-05-31,1098.94,1101.09,1096.52,1098.4,5618573
2024-06-03,1105.25,1113.18,1102.44,1110.11,2680245
2024-06-04,1156.61,1163.49,1149.81,1150.21,6288464
2024-06-05,1163.81,1176.48,1162.57,1176.04,4535550
2024-06-06,1215.91,1218.86,1196.57,1199.6,4646112
2024-06-07,1239.11,1240.76,1238.35,1239.63,4696697
2024-06-10,1252.5,1252.74,1240.24,1247.57,3176524
2024-06-11,1217.2,1224.79,1210.67,1211.55,4561320
2024-06-12,1191.96,1191.96,1183.18,1186.34,8271517
2024-06-13,1152.33,1154.4,1144.31,1147.94,4853885
2024-06-14,1096.84,1099.47,1087.68,1090.59,5611274
2024-06-17,1066.8,1078.29,1064.46,1078.25,4482116
2024-06-18,1079.73,1084.56,1074.47,1078.16,5657951
2024-06-19,1107.07,1107.94,1097.72,1104.6,3607748
2024-06-20,1100.01,1114.82,1095.92,1107.93,3018698
2024-06-21,1123.59,1125.44,1120.92,1124.25,6992741
2024-06-24,1170.08,1173.49,1169.8,1173.24,3430875
2024-06-25,1108.34,1112.65,1106.4,1112.23,4782577
2024-06-26,1121.02,1123.51,1113.64,1116.38,5876592
2024-06-27,1118.95,1125.4,1118.93,1124.42,3443431
2024-06-28,1103.5,1111.96,1092.31,1104.19,7075398
2024-07-01,1150.84,1160.3,1141.89,1146.86,3816812
2024-07-02,1119.95,1128.2,1117.88,1126.5,5442087
2024-07-03,1169.78,1179.53,1168.98,1178.88,2833094
2024-07-04,1146.66,1161.98,1141.72,1156.14,5370697
2024-07-05,1151.59,1157.49,1143.02,1154.71,3215077
2024-07-08,1207.79,1210.81,1196.89,1201.16,3529885
2024-07-09,1135.63,1145.25,1131.23,1140.92,3275919
2024-07-10,1106.03,1106.54,1096.08,1097.16,4096308
2024-07-11,1107.42,1114.59,1104.18,1112.93,5287463
2024-07-12,1102.61,1107.73,1097.83,1098.46,7012439
2024-07-15,1097.94,1101.26,1096.52,1097.05,3359549
2024-07-16,1130.09,1134.86,1126.42,1130.26,3017325
2024-07-17,1187.15,1188.04,1175.68,1177.99,3708445
2024-07-18,1158.16,1166.88,1150.75,1155.59,3619940
2024-07-19,1146.28,1156.77,1135.06,1142.35,6944744
2024-07-22,1149.99,1154.32,1145.04,1151.45,6708174
2024-07-23,1171.89,1183.09,1167.7,1178.2,4559735
2024-07-24,1169.79,1170.05,1166.85,1168.56,3625675
2024-07-25,1231.72,1235.94,1224.82,1224.83,6801880
2024-07-26,1189.48,1190.47,1182.84,1188.84,7127158
2024-07-29,1180.57,1183.16,1175.12,1178.19,3575318
2024-07-30,1247.1,1248.79,1238.85,1241.47,4551997
2024-07-31,1271.71,1279.81,1258.41,1260.27,5386647
2024-08-01,1247.1,1253.29,1244.62,1245.95,4655826
2024-08-02,1217.93,1234.93,1214.62,1231.62,5868815
2024-08-05,1217.49,1222.82,1215.3,1219.3,4020901
2024-08-06,1203.72,1213.64,1200.36,1211.64,5785686
2024-08-07,1243.33,1253.17,1241.06,1252.74,5229271
2024-08-08,1297.79,1299.22,1284.5,1293.77,4306488
2024-08-09,1281.15,1285.14,1273.97,1276.01,3855305
2024-08-12,1216.72,1226.24,1214.8,1217.8,3089093
2024-08-13,1247.26,1259.82,1243.06,1255.62,6212791
2024-08-14,1266.07,1266.83,1261.51,1266.25,7487591
2024-08-15,1180.35,1195.3,1173.53,1192.76,2927036
2024-08-16,1229.37,1231.23,1220.51,1220.58,5120035
2024-08-19,1255.86,1256.32,1243.68,1246.4,2849450
2024-08-20,1330.18,1335.76,1329.63,1333.56,6767232
2024-08-21,1347.17,1351.4,1340.09,1342.53,4116187
2024-08-22,1377.74,1384.22,1377.7,1378.86,4802961
2024-08-23,1400.66,1400.93,1391.71,1392.85,4961549
2024-08-26,1359.33,1365.5,1343.6,1350.15,4203031
2024-08-27,1307.35,1307.64,1293.98,1294.97,4990232
2024-08-28,1361.73,1369.59,1354.78,1368.61,4564379
2024-08-29,1385.25,1387.8,1383.14,1385.9,4461848
2024-08-30,1424.02,1443.11,1419.42,1436.91,3414537
2024-09-02,1418.45,1420.21,1406.06,1406.16,3537096
2024-09-03,1412.65,1428.43,1411.89,1419.86,4734603
2024-09-04,1407.8,1417.62,1406.54,1410.92,4092013
2024-09-05,1381.63,1405.37,1375.91,1399.75,4510800
2024-09-06,1497.14,1504.94,1495.6,1496.47,5095854
2024-09-09,1615.75,1629.45,1615.53,1623.04,2668518
2024-09-10,1562.6,1569.47,1560.04,1564.19,4986504
2024-09-11,1547.07,1551.03,1545.67,1546.49,3811251
2024-09-12,1503.77,1525.38,1502.21,1519.43,3273036
2024-09-13,1476.23,1494.68,1464.91,1493.73,6378430
2024-09-16,1537.96,1539.03,1527.85,1528.02,4256750
2024-09-17,1550.28,1565.78,1549.94,1557.85,3617657
2024-09-18,1585.78,1597.47,1571.48,1573.86,2997591
2024-09-19,1541.63,1553.17,1535.42,1547.33,5388333
2024-09-20,1500.26,1510.21,1493.5,1506.83,9504903
2024-09-23,1536.11,1544.86,1527.28,1530.35,3817286
2024-09-24,1505.65,1507.31,1483.52,1496.96,3125226
2024-09-25,1500.83,1505.68,1486.68,1490.22,3851318
2024-09-26,1452.26,1470.64,1451.84,1463.91,4296918
2024-09-27,1429.58,1435.72,1418.39,1424.32,7226139
2024-09-30,1426.23,1427.74,1410.48,1414.5,2277766
2024-10-01,1356.96,1364.16,1353.44,1361.72,3900716
2024-10-02,1422.4,1428.61,1417.0,1417.41,4798277
2024-10-03,1437.94,1467.74,1431.01,1462.37,5708596
2024-10-04,1446.43,1446.84,1438.6,1442.17,7496061
2024-10-07,1513.14,1517.33,1500.84,1505.83,4957805
2024-10-08,1524.24,1527.21,1517.32,1519.16,3652174
2024-10-09,1532.06,1540.23,1528.23,1537.97,4453645
2024-10-10,1556.76,1565.35,1547.46,1563.02,4054818
2024-10-11,1567.77,1571.08,1561.87,1563.61,3897658
2024-10-14,1483.94,1489.37,1467.39,1469.91,3602566
2024-10-15,1467.66,1483.7,1465.63,1478.42,4423473
2024-10-16,1500.83,1502.23,1486.27,1488.92,4596386
2024-10-17,1469.01,1492.76,1467.67,1485.41,5227197
2024-10-18,1456.17,1459.36,1442.04,1446.03,3581332
2024-10-21,1338.81,1356.31,1335.41,1355.91,5698698
2024-10-22,1360.77,1363.85,1359.66,1362.57,5737390
2024-10-23,1413.97,1416.73,1396.3,1402.34,4251512
2024-10-24,1498.57,1521.02,1498.06,1508.96,4801750
2024-10-25,1466.42,1469.6,1459.12,1461.63,5433530
2024-10-28,1480.67,1481.71,1470.98,1471.3,2624525
2024-10-29,1503.37,1518.91,1492.51,1515.55,4662355
2024-10-30,1478.09,1479.14,1477.49,1478.5,5243134
2024-10-31,1534.06,1537.28,1524.19,1527.36,3790278
2024-11-01,1564.05,1566.67,1550.9,1557.94,5372188
2024-11-04,1560.08,1568.52,1551.66,1553.07,3894284
2024-11-05,1541.17,1542.29,1538.24,1541.11,5592214
2024-11-06,1540.55,1545.33,1538.02,1538.44,2781090
2024-11-07,1543.58,1553.9,1543.21,1552.07,6856085
2024-11-08,1520.63,1526.34,1512.12,1514.73,6410681
2024-11-11,1543.19,1548.32,1535.16,1539.91,2596448
2024-11-12,1577.85,1585.21,1571.94,1574.43,4379305
2024-11-13,1541.98,1556.2,1535.25,1545.46,2909186
2024-11-14,1573.48,1588.2,1567.55,1587.07,4006150
2024-11-15,1526.27,1526.29,1510.43,1517.33,5512987
2024-11-18,1478.73,1483.62,1477.83,1479.15,4496199
2024-11-19,1435.86,1444.94,1433.17,1440.14,4814207
2024-11-20,1445.78,1446.8,1435.24,1439.01,4352972
2024-11-21,1463.92,1466.28,1447.59,1448.67,7579101
2024-11-22,1416.43,1423.15,1415.04,1421.33,3656699
2024-11-25,1391.32,1402.28,1387.93,1396.66,4067065
2024-11-26,1391.45,1405.17,1389.01,1400.83,5714426
2024-11-27,1383.11,1392.75,1369.09,1373.34,5196234
2024-11-28,1354.08,1355.25,1349.64,1353.07,2930143
2024-11-29,1329.16,1340.19,1325.62,1334.33,7827505
2024-12-02,1352.01,1356.03,1342.54,1349.85,2381120
2024-12-03,1329.44,1331.3,1324.64,1328.94,5547493
2024-12-04,1346.13,1364.68,1342.42,1354.21,5227378
2024-12-05,1366.53,1378.97,1364.3,1372.0,4350663
2024-12-06,1338.76,1342.9,1327.11,1327.49,4112010
2024-12-09,1347.95,1349.83,1337.7,1343.43,4113548
2024-12-10,1296.49,1301.85,1296.33,1296.74,4314751
2024-12-11,1220.77,1245.94,1220.27,1244.42,2708111
2024-12-12,1244.14,1253.34,1238.99,1247.11,4969010
2024-12-13,1256.68,1259.0,1251.62,1253.92,3296162
2024-12-16,1212.86,1216.57,1202.34,1213.58,2657924
2024-12-17,1265.05,1269.34,1260.36,1268.58,3714483
2024-12-18,1276.46,1298.17,1273.86,1293.87,5506060
2024-12-19,1317.99,1320.9,1306.92,1314.36,4612928
2024-12-20,1361.97,1364.21,1359.26,1364.06,5020713
2024-12-23,1339.19,1339.95,1327.83,1333.7,5632320
2024-12-24,1405.53,1406.23,1394.9,1399.14,4657122
2024-12-25,1397.93,1411.11,1390.64,1406.44,4890179
2024-12-26,1442.57,1459.74,1441.73,1453.91,2522940
2024-12-27,1397.05,1398.55,1383.69,1392.11,5032521
2024-12-30,1444.33,1445.71,1436.0,1436.69,5629523
2024-12-31,1468.57,1471.15,1460.0,1460.25,4381666
