Date,Open,High,Low,Close,Volume
2024-04-05,105.46,105.72,105.37,105.66,12878836
2024-04-08,106.22,106.6,106.05,106.47,15678088
2024-04-09,107.03,107.4,106.75,107.24,10879794
2024-04-10,107.49,107.49,107.14,107.23,11854905
2024-04-11,106.7,107.06,106.66,106.98,9546066
2024-04-12,105.77,106.3,105.66,106.09,10852610
2024-04-15,105.4,105.45,105.29,105.39,10486108
2024-04-16,105.74,105.83,105.52,105.61,9597222
2024-04-17,105.26,105.61,105.11,105.6,7572533
2024-04-18,106.16,106.41,105.79,106.37,13480706
2024-04-19,107.85,108.12,107.34,107.52,12568591
2024-04-22,105.75,105.78,105.54,105.59,15741525
2024-04-23,104.09,104.11,103.93,103.97,26736268
2024-04-24,103.89,104.22,103.83,104.16,9681677
2024-04-25,103.86,104.06,103.62,103.74,10319308
2024-04-26,102.85,103.06,102.72,102.92,10079313
2024-04-29,101.76,102.11,101.65,101.97,20646954
2024-04-30,100.09,100.3,99.96,100.08,18154207
2024-05-01,100.79,100.82,100.53,100.63,9242490
2024-05-02,100.15,100.34,100.09,100.25,8082025
2024-05-03,101.31,101.39,101.21,101.3,15308502
2024-05-06,102.82,102.93,102.77,102.91,8361593
2024-05-07,103.42,103.63,103.25,103.62,10180544
2024-05-08,103.18,103.48,103.05,103.37,11622612
2024-05-09,103.26,103.63,102.83,102.93,14062802
2024-05-10,103.89,104.22,103.73,103.77,14352052
2024-05-13,104.59,105.0,104.35,104.86,7849928
2024-05-14,105.25,105.33,105.08,105.09,6373112
2024-05-15,107.18,107.18,106.76,107.0,15227312
2024-05-16,106.38,106.47,106.29,106.43,13524535
2024-05-17,108.3,108.53,108.11,108.23,6994570
2024-05-20,109.23,109.48,109.22,109.37,8888210
2024-05-21,109.05,109.58,109.04,109.35,20619947
2024-05-22,110.18,110.38,109.77,109.9,10812953
2024-05-23,110.86,110.88,110.83,110.85,9554428
2024-05-24,111.16,111.49,111.07,111.39,12562126
2024-05-27,114.74,114.84,114.28,114.4,7028762
2024-05-28,114.29,114.38,114.05,114.19,14446597
2024-05-29,113.81,113.93,113.42,113.65,12814116
2024-05-30,111.98,112.23,111.93,112.2,17886740
2024-05-31,112.54,112.93,112.42,112.71,19717208
2024-06-03,114.07,114.76,113.96,114.44,9559256
2024-06-04,113.63,114.04,113.45,113.93,10795471
2024-06-05,113.59,113.73,113.45,113.5,7622186
2024-06-06,112.58,112.75,112.44,112.45,11060268
2024-06-07,110.61,110.8,110.4,110.64,16033904
