Date,Open,High,Low,Close,Volume
2024-04-05,118.57,118.83,118.11,118.77,6989327
2024-04-08,117.78,118.92,117.74,118.74,2669847
2024-04-09,120.35,121.19,120.35,120.55,4797183
2024-04-10,120.66,121.58,120.59,121.51,3119698
2024-04-11,124.73,125.28,124.11,124.37,5654890
2024-04-12,123.33,123.75,123.05,123.1,4465442
2024-04-15,126.43,126.55,125.48,125.62,5920209
2024-04-16,122.23,122.46,121.76,122.41,5741645
2024-04-17,124.1,124.13,122.19,122.86,3226674
2024-04-18,118.28,118.84,118.08,118.52,5585792
2024-04-19,122.34,122.65,121.54,121.83,6135550
2024-04-22,121.23,121.81,120.92,121.25,5654387
2024-04-23,119.37,119.8,119.2,119.74,4964165
2024-04-24,119.21,119.5,118.71,119.34,5678096
2024-04-25,117.44,117.54,116.85,117.37,4301301
2024-04-26,113.2,113.43,113.14,113.24,3371257
2024-04-29,115.8,116.16,114.75,115.26,4902746
2024-04-30,116.17,116.98,116.07,116.77,3707982
2024-05-01,116.78,117.03,116.62,116.74,7031460
2024-05-02,115.29,116.59,115.1,115.97,3939147
2024-05-03,112.8,113.19,112.03,112.65,7099993
2024-05-06,115.92,116.53,115.45,116.52,4588819
2024-05-07,120.37,120.69,119.28,119.7,6774193
2024-05-08,122.2,122.35,122.09,122.34,6537551
2024-05-09,124.53,125.29,124.21,124.27,5686442
2024-05-10,119.51,120.27,119.06,119.37,4220377
2024-05-13,119.77,120.16,119.53,119.78,4465741
2024-05-14,120.21,121.62,120.18,121.41,3161708
2024-05-15,121.07,121.35,120.77,121.09,4969034
2024-05-16,119.64,120.13,119.57,120.03,4075597
2024-05-17,121.98,122.26,121.21,121.44,3658088
2024-05-20,117.05,117.52,116.45,117.37,4373183
2024-05-21,120.78,121.05,120.29,120.39,2888675
2024-05-22,118.05,119.32,117.63,118.73,3216296
2024-05-23,123.58,123.78,123.37,123.52,6644319
2024-05-24,120.0,120.96,119.75,120.7,6254962
2024-05-27,126.93,127.29,126.91,127.04,5653520
2024-05-28,127.84,128.74,127.38,128.55,6475890
2024-05-29,128.02,128.54,126.41,127.16,5937615
2024-05-30,126.82,127.73,126.15,126.29,7373744
2024-05-31,125.9,126.36,125.83,126.01,4530324
2024-06-03,128.4,128.91,127.53,128.56,2469231
2024-06-04,130.09,130.61,130.07,130.25,4325900
2024-06-05,134.67,135.33,133.35,133.73,4955632
2024-06-06,135.94,136.91,135.65,136.78,4526491
2024-06-07,142.85,144.02,142.54,143.31,8419518
2024-06-10,144.01,144.71,143.77,144.16,3426384
2024-06-11,145.62,146.41,145.21,145.91,3695693
2024-06-12,143.3,144.44,143.02,143.76,4059651
2024-06-13,140.01,140.59,139.91,140.38,4417300
2024-06-14,143.91,143.93,143.71,143.8,8006884
2024-06-17,147.5,147.7,146.79,147.1,2855155
2024-06-18,141.64,142.99,140.7,142.83,4553258
2024-06-19,141.41,141.89,140.74,141.08,9165039
2024-06-20,138.33,138.53,137.25,137.29,6604058
2024-06-21,130.93,131.3,130.51,130.89,7707741
2024-06-24,135.03,135.34,134.41,135.15,3771770
2024-06-25,131.22,131.66,130.98,131.22,5110604
2024-06-26,127.82,128.47,127.52,128.29,6339568
2024-06-27,130.46,130.66,130.33,130.34,5557426
2024-06-28,131.12,131.26,130.94,131.22,6121934
2024-07-01,129.86,129.91,129.72,129.74,3808582
2024-07-02,125.87,127.07,125.51,126.77,4559949
2024-07-03,125.31,125.37,124.61,124.68,4096742
2024-07-04,126.34,126.84,126.24,126.43,2965420
2024-07-05,128.15,128.22,126.76,127.36,3627317
2024-07-08,130.05,130.21,129.14,129.16,3800624
2024-07-09,126.4,127.64,125.22,125.65,4535171
2024-07-10,122.06,122.62,121.65,122.61,5450459
2024-07-11,129.14,129.41,128.92,129.05,6169953
2024-07-12,127.92,128.48,126.78,127.14,8718982
2024-07-15,121.89,121.92,121.43,121.53,3244340
2024-07-16,122.66,123.6,122.03,123.21,3602362
2024-07-17,120.64,120.75,120.09,120.39,5736556
2024-07-18,120.74,120.83,119.91,120.13,6954217
2024-07-19,117.53,117.65,116.43,116.84,9753530
2024-07-22,120.19,120.37,119.88,119.93,5368315
2024-07-23,116.94,117.47,116.68,117.21,5212135
2024-07-24,118.25,119.18,117.78,119.11,5109024
2024-07-25,117.38,117.99,116.73,117.14,4990782
2024-07-26,119.45,119.66,118.26,118.42,8419679
2024-07-29,123.35,123.72,123.07,123.49,6038887
2024-07-30,123.39,124.57,123.03,124.2,4954875
2024-07-31,127.19,127.68,126.38,126.87,3552338
2024-08-01,115.83,116.22,115.32,115.8,4502023
2024-08-02,116.53,116.57,114.73,115.64,9837131
2024-08-05,113.74,115.04,113.74,114.68,4565268
2024-08-06,112.2,112.21,111.12,111.44,3462599
2024-08-07,110.79,110.85,110.19,110.57,8397352
2024-08-08,111.51,112.13,111.19,111.96,5744803
2024-08-09,110.52,110.87,109.86,110.71,6922653
2024-08-12,108.78,109.91,108.52,109.65,5047128
2024-08-13,112.87,113.28,112.03,112.27,5888252
2024-08-14,109.86,111.0,109.73,110.69,2913147
2024-08-15,112.39,113.46,112.1,113.1,6932242
2024-08-16,107.14,107.96,107.04,107.82,3019225
2024-08-19,115.28,115.34,114.28,114.63,3404097
2024-08-20,118.92,119.18,118.0,118.35,4281597
2024-08-21,115.48,116.14,115.39,115.97,4561024
2024-08-22,117.82,118.18,116.3,116.44,5570339
2024-08-23,113.89,115.89,113.84,115.09,3900563
2024-08-26,112.31,112.71,111.09,111.31,4050598
2024-08-27,106.62,107.01,106.5,106.9,3723666
2024-08-28,113.89,114.19,113.32,113.56,4294384
2024-08-29,119.05,119.27,118.71,118.74,5903413
2024-08-30,119.9,120.1,118.79,119.15,6184590
2024-09-02,118.17,119.12,117.85,118.59,3100951
2024-09-03,120.83,121.71,119.77,120.19,4015510
2024-09-04,124.66,125.12,124.31,124.75,3643430
2024-09-05,122.87,124.01,122.78,123.89,3534790
2024-09-06,124.86,125.51,123.97,124.11,5285865
2024-09-09,126.66,126.87,125.46,125.84,3410944
2024-09-10,122.38,122.98,121.95,122.79,5872229
2024-09-11,124.19,124.59,123.23,123.42,5537454
2024-09-12,124.48,124.96,123.32,123.42,5554326
2024-09-13,125.88,126.78,125.0,125.01,4543201
2024-09-16,123.87,124.98,123.53,124.12,3663309
2024-09-17,124.87,125.53,124.7,124.92,3361471
2024-09-18,123.21,124.04,122.95,123.28,4908246
2024-09-19,121.7,122.15,121.57,122.04,4975673
2024-09-20,122.81,123.07,121.67,121.82,4956251
2024-09-23,121.48,122.12,121.07,121.48,3014167
2024-09-24,126.76,127.01,126.52,126.69,4866261
2024-09-25,129.57,130.32,129.18,129.94,6871683
2024-09-26,141.29,141.56,140.86,140.88,6015712
2024-09-27,145.86,146.01,144.8,145.21,10004717
2024-09-30,147.95,148.12,146.87,146.97,4625119
2024-10-01,152.63,152.83,152.17,152.65,4463611
2024-10-02,146.68,147.3,146.18,146.56,5287673
2024-10-03,149.11,149.12,146.89,147.4,4924908
2024-10-04,149.86,150.0,148.5,148.76,6882454
2024-10-07,142.11,143.39,142.1,142.94,2581537
2024-10-08,139.49,139.65,139.08,139.51,3413425
2024-10-09,143.19,143.57,142.48,142.57,5163704
2024-10-10,142.97,144.0,141.99,142.52,4205605
2024-10-11,139.89,140.0,139.24,139.68,5778862
2024-10-14,140.89,141.59,140.87,141.55,5045286
2024-10-15,144.67,145.35,143.46,144.91,2858296
2024-10-16,149.23,150.04,147.39,147.86,4536793
2024-10-17,152.53,152.82,151.92,152.72,4330393
2024-10-18,158.76,160.18,158.55,159.72,3950915
2024-10-21,162.41,162.52,160.91,162.19,2576321
2024-10-22,161.3,161.87,161.16,161.76,4554183
2024-10-23,162.93,163.33,162.49,163.05,5053496
2024-10-24,162.73,165.07,162.61,164.71,2900616
2024-10-25,164.9,165.98,164.64,165.27,7126625
2024-10-28,165.34,165.51,163.95,164.8,6031738
2024-10-29,168.52,170.47,168.27,170.11,4056967
2024-10-30,166.89,167.39,166.88,167.01,7455778
2024-10-31,169.51,170.22,169.25,170.11,4020313
2024-11-01,173.76,173.86,173.62,173.84,5558262
2024-11-04,178.79,178.79,177.61,177.93,4295534
2024-11-05,169.33,169.77,168.55,168.72,5731466
2024-11-06,172.19,173.35,172.03,172.69,7282310
2024-11-07,173.19,174.05,172.78,173.19,5569513
2024-11-08,174.74,175.8,174.29,174.35,7323295
2024-11-11,181.56,182.18,181.52,182.09,3922513
2024-11-12,185.74,187.38,184.66,186.72,7312224
2024-11-13,193.72,193.85,192.17,192.53,3067032
2024-11-14,196.86,197.27,195.49,196.45,7940452
2024-11-15,202.43,202.78,202.14,202.19,5672241
2024-11-18,198.79,199.77,198.76,199.61,2591643
2024-11-19,190.29,192.64,189.99,191.62,3831137
2024-11-20,189.47,192.27,189.07,191.17,3790064
2024-11-21,184.98,186.93,184.77,186.27,3488642
2024-11-22,187.98,188.58,187.83,187.88,3889548
2024-11-25,192.71,192.8,191.38,191.58,4819346
2024-11-26,189.98,190.17,188.77,188.94,3912240
2024-11-27,188.81,190.6,188.44,190.3,5276917
2024-11-28,196.84,197.39,194.82,195.5,3337372
2024-11-29,197.43,198.28,196.03,198.11,3676381
2024-12-02,208.61,208.88,207.24,207.38,4208156
2024-12-03,202.6,203.75,202.53,202.99,9235180
2024-12-04,198.52,201.3,198.0,200.92,4991768
2024-12-05,208.08,208.16,204.97,205.92,4547379
2024-12-06,207.58,208.73,206.84,208.44,5061542
2024-12-09,202.37,202.51,201.03,201.24,4379087
2024-12-10,194.11,196.81,193.29,195.56,3684224
2024-12-11,201.22,201.76,199.89,200.41,6623463
2024-12-12,201.13,201.64,200.03,200.74,6750975
2024-12-13,203.51,204.14,202.98,203.14,7494277
2024-12-16,208.28,209.05,206.27,208.87,5731442
2024-12-17,210.47,211.85,210.11,211.09,3325992
2024-12-18,215.23,216.72,214.44,215.28,3673472
2024-12-19,217.76,218.75,216.71,217.05,4069442
2024-12-20,216.92,217.48,215.17,215.74,6359012
2024-12-23,215.92,216.23,215.29,215.58,3217709
2024-12-24,218.36,220.6,218.33,220.09,4039409
2024-12-25,214.23,214.26,212.78,213.31,7087915
2024-12-26,219.49,220.86,217.67,218.57,4419875
2024-12-27,227.9,228.35,226.77,227.25,3939556
2024-12-30,215.02,216.8,214.35,215.42,6129645
2024-12-31,215.28,216.02,214.93,216.02,4782003
2025-01-01,211.93,212.96,211.0,211.12,7080162
2025-01-02,210.21,211.41,209.13,210.68,6001513
2025-01-03,211.06,212.0,209.97,210.27,8602959
2025-01-06,213.48,214.01,210.63,211.01,3280649
2025-01-07,209.78,210.47,208.64,209.06,5961434
2025-01-08,207.08,208.0,207.0,207.16,5128940
2025-01-09,206.01,206.04,205.26,205.34,3284242
2025-01-10,196.38,198.66,195.65,197.25,5596835
2025-01-13,200.36,201.07,199.86,200.2,3527451
2025-01-14,195.21,197.05,195.2,196.44,4827718
2025-01-15,204.22,205.14,203.11,203.29,6777131
2025-01-16,200.32,201.25,200.13,200.76,5310896
2025-01-17,197.21,199.93,196.45,199.02,9698358
2025-01-20,202.6,203.71,202.24,203.57,3952199
2025-01-21,202.19,203.04,201.89,202.38,5349199
2025-01-22,197.95,198.69,197.53,198.03,10774376
2025-01-23,191.23,191.32,189.18,189.49,9165805
2025-01-24,188.98,189.04,187.65,188.25,4943617
2025-01-27,187.65,187.89,186.78,187.13,6176597
2025-01-28,183.58,185.04,183.03,184.97,4999271
2025-01-29,189.17,189.29,187.38,187.87,2538575
2025-01-30,182.55,182.68,181.78,182.4,6407760
2025-01-31,185.69,186.77,185.25,185.9,3580414
2025-02-03,185.24,185.68,184.98,185.53,5759171
