Date,Open,High,Low,Close,Volume
2024-04-05,174.26,174.96,173.97,174.81,14651943
2024-04-08,173.59,174.31,173.34,173.98,12285290
2024-04-09,171.57,172.01,171.39,171.93,15420452
2024-04-10,172.28,172.42,172.2,172.25,13493805
2024-04-11,172.06,172.7,172.01,172.26,10396922
2024-04-12,169.09,169.28,169.04,169.2,15675053
2024-04-15,170.07,170.53,169.9,170.49,6641552
2024-04-16,172.06,172.48,171.55,171.9,15313825
2024-04-17,170.62,170.72,170.28,170.48,15288365
2024-04-18,171.98,172.42,171.88,172.3,14216123
2024-04-19,172.56,172.96,172.36,172.42,23082724
2024-04-22,172.82,173.22,172.63,173.21,8207701
2024-04-23,170.38,170.73,170.1,170.59,13905149
2024-04-24,173.36,173.54,172.98,173.21,15484255
2024-04-25,173.51,173.65,173.25,173.61,24003398
2024-04-26,175.16,175.47,174.22,174.61,9882075
2024-04-29,175.63,175.89,175.57,175.65,12249402
2024-04-30,178.51,178.86,177.48,177.68,13294104
2024-05-01,179.31,179.39,179.02,179.06,18735291
2024-05-02,181.95,182.0,181.7,181.9,37453027
2024-05-03,179.23,179.32,178.94,179.21,14367081
2024-05-06,180.31,180.34,179.68,180.08,18181423
2024-05-07,179.5,179.94,179.47,179.68,15889818
2024-05-08,179.28,179.43,178.98,179.19,11332098
2024-05-09,177.33,177.74,177.02,177.63,17139373
2024-05-10,178.39,179.03,178.08,178.93,32473411
2024-05-13,178.51,178.67,178.29,178.35,7645034
2024-05-14,177.9,177.95,177.35,177.63,19075858
2024-05-15,176.7,176.79,176.67,176.74,18782569
2024-05-16,177.51,177.74,177.17,177.23,19997515
2024-05-17,176.1,176.41,175.9,176.32,23811918
2024-05-20,175.68,176.28,175.43,176.2,18230780
2024-05-21,175.98,176.12,175.67,175.75,18662825
2024-05-22,177.71,178.14,177.34,178.11,15347581
2024-05-23,177.93,178.4,177.72,178.32,10950398
2024-05-24,179.92,180.42,179.33,179.48,16119004
2024-05-27,177.17,177.52,176.88,177.35,11958700
2024-05-28,177.05,177.26,176.67,176.99,8138440
2024-05-29,177.98,178.02,177.72,177.92,12249974
2024-05-30,176.15,176.27,176.09,176.1,10355929
2024-05-31,177.27,177.56,177.19,177.48,18433151
2024-06-03,181.07,181.24,180.89,181.16,13875667
2024-06-04,181.82,182.06,181.31,181.63,15762865
2024-06-05,183.82,183.98,183.36,183.52,10406702
2024-06-06,184.83,185.52,184.41,185.25,14543933
2024-06-07,183.8,184.09,183.05,183.26,27327215
2024-06-10,181.81,182.57,181.71,182.1,9584685
2024-06-11,184.5,184.78,183.54,183.84,6373495
2024-06-12,182.21,182.76,181.97,182.65,13885865
2024-06-13,182.51,183.21,182.31,183.19,11099490
2024-06-14,185.19,185.58,184.91,185.13,12231368
2024-06-17,183.98,184.0,183.26,183.33,13340295
2024-06-18,183.18,183.55,182.61,182.87,14641951
2024-06-19,185.99,186.33,185.73,185.77,16937527
2024-06-20,187.86,188.26,187.85,188.08,17118206
2024-06-21,187.53,187.82,187.39,187.45,15796198
2024-06-24,188.93,189.06,188.54,188.6,9752545
2024-06-25,188.68,189.12,188.6,188.63,9809733
2024-06-26,189.62,189.81,188.9,189.04,11306258
2024-06-27,188.26,188.44,188.24,188.29,10079627
2024-06-28,190.62,191.41,190.45,191.11,13144675
2024-07-01,193.39,193.48,192.76,192.8,12474516
2024-07-02,190.84,191.05,189.66,189.93,12774569
2024-07-03,188.79,188.86,188.34,188.85,10822896
2024-07-04,186.89,186.92,186.67,186.84,15020599
2024-07-05,190.2,190.31,189.43,189.6,18831028
2024-07-08,190.29,190.79,190.08,190.67,6403377
2024-07-09,193.05,193.36,192.82,193.31,19365099
2024-07-10,193.45,194.6,193.36,194.31,16895229
2024-07-11,195.87,195.91,195.24,195.28,15777490
2024-07-12,192.13,192.48,192.1,192.43,15654157
2024-07-15,195.71,196.53,195.41,196.32,11317802
2024-07-16,192.96,193.06,192.26,192.58,15141757
2024-07-17,193.12,193.5,193.1,193.37,17821286
2024-07-18,191.46,191.83,191.34,191.67,12328798
2024-07-19,196.53,196.55,195.95,196.1,17105239
2024-07-22,195.1,195.7,194.54,195.41,13120423
2024-07-23,197.27,197.34,196.94,197.18,17096892
2024-07-24,199.03,199.8,198.82,199.71,15850620
2024-07-25,202.17,202.47,201.83,202.27,12252348
2024-07-26,203.53,203.75,203.19,203.41,13983012
2024-07-29,200.73,200.94,200.54,200.71,13517505
2024-07-30,198.17,198.36,197.25,197.29,9052525
2024-07-31,196.78,197.09,196.73,196.91,14000085
2024-08-01,199.25,199.7,199.08,199.59,8581744
2024-08-02,198.76,198.82,198.5,198.55,12321217
2024-08-05,201.27,201.41,200.61,201.02,10325186
2024-08-06,201.61,201.7,201.01,201.08,12107940
2024-08-07,203.8,203.84,202.96,202.97,13656920
2024-08-08,205.41,205.86,205.18,205.3,7790308
2024-08-09,207.15,207.18,206.73,206.93,18363635
2024-08-12,204.12,204.43,203.93,204.4,9351127
2024-08-13,204.74,204.97,204.24,204.41,13932335
2024-08-14,205.06,205.77,204.75,205.76,11800880
2024-08-15,205.97,206.57,205.95,206.35,10487603
2024-08-16,206.38,206.67,206.23,206.43,22581257
2024-08-19,209.49,209.52,208.99,209.19,13798933
2024-08-20,207.84,207.97,207.82,207.95,10340821
2024-08-21,210.85,210.98,210.49,210.51,17027629
2024-08-22,211.69,212.12,211.31,211.63,13958433
2024-08-23,209.63,209.8,209.52,209.57,14150140
2024-08-26,208.05,208.89,207.61,208.6,16571833
2024-08-27,210.83,211.49,210.63,211.34,6183405
2024-08-28,208.34,208.5,208.03,208.06,16008141
2024-08-29,206.6,207.77,206.53,207.28,16991920
2024-08-30,203.55,203.66,203.43,203.45,19385302
2024-09-02,201.91,202.41,201.52,201.94,12776755
2024-09-03,203.38,203.66,203.16,203.3,14898700
2024-09-04,202.19,202.31,201.52,201.73,11846019
2024-09-05,202.74,202.89,202.2,202.35,18665319
2024-09-06,199.41,200.14,199.4,199.92,17345100
2024-09-09,198.74,199.06,198.48,198.98,16273081
2024-09-10,199.85,200.43,199.6,200.01,19405985
2024-09-11,200.99,201.27,200.24,200.4,9176982
2024-09-12,199.91,200.59,199.9,200.2,12477804
2024-09-13,199.71,200.57,199.45,200.31,18238344
2024-09-16,201.07,201.33,200.88,201.33,12777433
2024-09-17,200.39,200.57,199.8,199.86,11941158
2024-09-18,198.25,198.74,198.19,198.73,17827539
2024-09-19,199.37,199.6,198.88,198.94,16247944
2024-09-20,198.24,198.37,196.94,197.58,19865238
2024-09-23,198.45,199.13,198.36,199.08,8664888
2024-09-24,196.9,197.03,196.4,196.93,14053224
2024-09-25,194.46,194.57,194.2,194.54,11314502
2024-09-26,194.91,195.61,194.86,195.44,21756641
2024-09-27,197.32,197.4,197.21,197.24,20424658
2024-09-30,199.66,199.9,199.25,199.7,10912033
2024-10-01,203.25,203.44,203.13,203.34,11075612
2024-10-02,203.56,203.71,203.3,203.48,12035870
2024-10-03,206.57,206.6,205.86,206.23,12968556
2024-10-04,205.47,205.5,205.26,205.32,15768521
2024-10-07,206.09,206.42,205.84,206.24,17535280
2024-10-08,205.58,205.76,205.46,205.52,10356920
2024-10-09,207.66,208.03,207.27,207.42,10519420
2024-10-10,205.87,205.89,205.67,205.68,15473633
2024-10-11,207.29,207.57,207.18,207.22,18755403
2024-10-14,212.64,212.88,212.1,212.27,14086456
2024-10-15,213.97,214.09,213.68,213.73,12118688
2024-10-16,214.6,214.97,214.4,214.52,13824678
2024-10-17,215.09,215.09,215.01,215.07,26486108
2024-10-18,213.13,213.55,213.1,213.25,20657767
2024-10-21,216.69,217.04,216.11,216.36,8590808
2024-10-22,217.31,217.42,216.67,217.02,13266916
2024-10-23,215.46,216.07,215.36,215.86,18566964
2024-10-24,218.15,218.19,217.54,217.98,23548912
2024-10-25,215.61,216.2,215.06,215.41,14695668
2024-10-28,215.28,215.31,214.37,214.83,19415911
2024-10-29,217.17,217.35,216.38,216.65,18200003
2024-10-30,216.18,216.73,216.16,216.39,9480023
2024-10-31,212.29,212.54,211.88,212.52,18329871
2024-11-01,213.08,213.83,212.9,213.66,19823131
2024-11-04,212.97,213.43,212.61,212.71,7403156
2024-11-05,213.84,214.01,213.25,213.42,11883869
2024-11-06,212.16,212.28,212.07,212.14,13922047
2024-11-07,213.12,213.65,212.91,213.49,13911180
2024-11-08,215.69,215.78,214.84,215.12,16203580
2024-11-11,215.58,215.85,215.44,215.7,14585984
2024-11-12,216.78,216.82,216.18,216.32,6090962
2024-11-13,215.25,215.47,215.22,215.26,11303490
2024-11-14,216.84,217.16,216.67,217.05,21912717
2024-11-15,212.11,213.76,212.09,213.13,25259565
2024-11-18,215.97,215.97,215.71,215.79,10651471
2024-11-19,214.18,214.18,214.08,214.17,9185641
2024-11-20,213.34,214.15,213.26,213.85,11402564
2024-11-21,210.44,210.96,210.04,210.67,11613083
2024-11-22,212.91,213.21,212.72,213.02,14370116
2024-11-25,212.8,212.99,212.76,212.94,8427376
2024-11-26,211.24,211.33,210.72,211.1,9464414
2024-11-27,211.11,211.14,210.84,210.97,21758087
2024-11-28,210.37,210.62,210.21,210.53,10221401
2024-11-29,205.29,205.45,205.19,205.21,9469629
2024-12-02,203.07,203.97,202.96,203.66,10374129
2024-12-03,204.67,204.96,204.54,204.85,10953601
2024-12-04,203.76,203.84,203.02,203.27,13930083
2024-12-05,198.71,198.96,198.56,198.89,20190674
2024-12-06,200.87,201.27,200.12,200.56,22640518
2024-12-09,200.85,201.75,200.79,201.68,8866773
2024-12-10,203.19,203.65,202.38,202.51,7257605
2024-12-11,201.34,202.14,201.18,201.64,12133946
2024-12-12,199.7,200.26,199.57,200.21,15957787
2024-12-13,199.04,199.1,198.88,199.0,14594989
2024-12-16,201.48,201.89,201.26,201.86,21430079
2024-12-17,203.46,203.97,203.32,203.92,12028646
2024-12-18,202.5,202.52,202.02,202.36,10925597
2024-12-19,202.01,202.54,201.89,202.37,17143832
2024-12-20,207.55,207.59,206.63,207.22,21489125
2024-12-23,208.18,208.42,207.84,207.88,13742492
2024-12-24,208.32,208.91,208.07,208.68,17558771
2024-12-25,207.83,207.97,207.65,207.8,15656523
2024-12-26,210.12,210.67,209.71,210.54,10859955
2024-12-27,207.75,207.96,207.24,207.5,11416900
2024-12-30,205.38,205.71,205.37,205.64,16477175
2024-12-31,207.88,208.09,207.15,207.34,7788540
2025-01-01,208.81,209.62,208.67,209.51,4857307
2025-01-02,211.45,211.76,211.38,211.43,9666517
2025-01-03,210.4,210.41,209.63,209.75,14297590
2025-01-06,212.04,212.89,211.92,212.44,24614386
2025-01-07,210.06,210.54,210.04,210.4,9904901
2025-01-08,212.1,212.43,211.13,211.36,18497045
2025-01-09,210.73,211.2,210.63,211.06,18385530
2025-01-10,207.13,207.72,206.31,207.59,17105930
2025-01-13,209.28,209.38,209.05,209.15,14642696
2025-01-14,207.74,208.11,207.7,207.92,10375554
