Date,Open,High,Low,Close,Volume
2024-04-05,165.51,165.72,164.6,164.97,14388289
2024-04-08,165.49,165.69,165.23,165.55,12535604
2024-04-09,167.88,168.19,167.2,167.34,12056069
2024-04-10,170.66,170.79,170.55,170.62,21127016
2024-04-11,173.09,173.27,172.89,172.93,19908629
2024-04-12,172.91,173.06,172.43,172.71,25020476
2024-04-15,172.48,172.85,172.19,172.73,12757234
2024-04-16,172.68,173.4,172.51,173.14,12110129
2024-04-17,173.23,173.45,172.84,173.07,19101668
2024-04-18,171.14,171.55,170.71,171.07,21008237
2024-04-19,170.66,170.83,170.56,170.64,18617701
2024-04-22,169.56,170.0,169.19,169.8,25039670
2024-04-23,171.61,171.81,171.15,171.24,9472907
2024-04-24,173.93,174.13,173.68,174.09,16768798
2024-04-25,174.66,174.7,174.23,174.5,12509530
2024-04-26,175.18,175.72,175.13,175.53,19163629
2024-04-29,173.59,174.88,173.54,174.41,14470640
2024-04-30,172.31,172.4,172.05,172.17,9396139
2024-05-01,171.5,171.67,171.29,171.32,13511786
2024-05-02,171.13,171.37,170.98,171.35,13730058
2024-05-03,170.23,170.43,169.96,170.03,18945565
2024-05-06,173.83,174.21,173.55,173.63,12238543
2024-05-07,174.48,174.79,174.3,174.31,11023143
2024-05-08,177.13,177.16,176.96,177.0,7974138
2024-05-09,176.67,176.72,176.27,176.27,11857394
2024-05-10,177.73,177.82,177.44,177.75,15914392
2024-05-13,178.09,178.71,178.03,178.5,12400789
2024-05-14,180.64,181.07,180.23,180.24,11176399
2024-05-15,180.62,181.02,180.56,180.77,11696311
2024-05-16,178.71,179.15,178.47,178.77,11221627
2024-05-17,179.89,180.08,179.25,179.38,22086668
2024-05-20,178.29,178.61,177.95,178.43,12558063
2024-05-21,177.99,178.26,177.98,178.22,9086833
2024-05-22,180.51,180.93,180.3,180.77,19152360
2024-05-23,178.87,179.17,178.72,179.03,11972827
2024-05-24,177.92,178.25,177.76,178.13,24442211
2024-05-27,179.13,179.25,178.92,179.01,12092714
2024-05-28,179.95,180.02,179.18,179.33,14238189
2024-05-29,180.23,180.46,179.89,180.3,18496973
2024-05-30,180.24,180.72,180.14,180.61,16794332
2024-05-31,182.11,182.19,181.75,181.81,11714465
2024-06-03,185.32,185.57,184.84,185.03,8840684
2024-06-04,184.79,184.99,183.66,184.1,8622223
2024-06-05,184.74,184.92,184.07,184.59,23028720
2024-06-06,185.03,185.24,184.97,185.13,13660047
2024-06-07,186.62,186.68,185.73,186.18,26764581
2024-06-10,186.29,186.65,186.17,186.53,8886042
2024-06-11,183.54,184.19,183.4,184.1,8061112
2024-06-12,182.23,182.67,181.89,182.46,10936860
2024-06-13,186.26,186.46,185.63,185.66,13790557
2024-06-14,183.29,183.74,182.98,183.64,16077143
2024-06-17,183.04,183.09,182.69,183.01,12013147
2024-06-18,184.26,184.5,183.96,184.13,10585505
2024-06-19,183.55,183.69,183.32,183.46,14162375
2024-06-20,182.09,182.41,182.05,182.3,10079667
2024-06-21,185.69,185.71,185.37,185.38,17095052
2024-06-24,186.17,186.57,185.99,186.31,14790738
2024-06-25,184.72,185.04,184.48,184.9,11481666
2024-06-26,186.48,186.62,186.35,186.36,13459793
2024-06-27,186.03,186.4,185.78,186.22,14472602
2024-06-28,184.04,184.3,183.98,184.26,25771985
2024-07-01,183.61,183.81,183.47,183.62,11371734
2024-07-02,181.21,181.53,181.09,181.51,14361049
2024-07-03,180.94,181.42,180.83,181.28,10540863
2024-07-04,179.6,180.18,179.49,179.97,13465844
2024-07-05,180.49,180.81,180.32,180.68,18284585
2024-07-08,179.69,179.74,179.11,179.19,12678795
2024-07-09,180.9,181.46,180.68,180.96,14680303
2024-07-10,182.02,182.3,181.75,181.93,25413987
2024-07-11,182.33,182.68,182.29,182.53,11505152
2024-07-12,180.82,180.9,180.3,180.67,12105335
2024-07-15,181.81,181.96,181.55,181.67,11908423
2024-07-16,181.28,182.06,181.19,182.03,21897348
2024-07-17,178.96,179.45,178.92,179.23,28314603
2024-07-18,176.5,176.56,176.4,176.43,18854193
2024-07-19,176.26,176.41,175.83,175.96,12839787
2024-07-22,176.02,176.08,175.91,176.07,8470851
2024-07-23,176.98,177.25,176.88,176.97,18706611
2024-07-24,178.95,179.17,178.68,178.85,24615045
2024-07-25,178.7,179.01,178.15,178.51,12258185
