Date,Open,High,Low,Close,Volume
2024-04-05,68.04,68.26,67.84,67.94,11175449
2024-04-08,69.15,69.17,69.13,69.13,11237944
2024-04-09,69.18,69.21,69.13,69.19,8523861
2024-04-10,70.78,70.95,70.64,70.72,12563880
2024-04-11,71.23,71.26,70.88,71.07,9275395
2024-04-12,70.1,70.14,69.85,69.92,8913055
2024-04-15,70.7,70.73,70.46,70.54,11528452
2024-04-16,69.69,69.93,69.5,69.85,7579121
2024-04-17,70.48,70.65,70.45,70.65,16097636
2024-04-18,69.57,70.12,69.55,69.82,11347447
2024-04-19,70.17,70.18,70.09,70.15,7063287
2024-04-22,69.93,69.98,69.77,69.96,7270769
2024-04-23,69.39,69.41,69.22,69.26,10009529
2024-04-24,68.52,68.59,68.22,68.35,5976092
2024-04-25,64.97,65.0,64.58,64.71,7994146
2024-04-26,65.02,65.24,64.92,65.12,9763879
2024-04-29,65.87,66.11,65.79,66.03,8347519
2024-04-30,65.54,65.59,65.33,65.43,10694601
2024-05-01,64.85,64.93,64.61,64.88,5575426
2024-05-02,64.41,64.6,64.34,64.51,4742199
2024-05-03,63.05,63.06,62.7,62.8,7051229
2024-05-06,63.62,63.8,63.52,63.61,6811005
2024-05-07,63.47,63.72,63.44,63.58,6277909
2024-05-08,62.77,63.04,62.76,63.02,7753301
2024-05-09,63.46,63.63,63.34,63.46,11241944
2024-05-10,62.91,63.06,62.87,62.9,13849440
2024-05-13,63.81,64.01,63.71,63.93,5011976
2024-05-14,63.97,64.13,63.74,63.91,9155040
2024-05-15,63.39,63.39,63.25,63.28,7460215
2024-05-16,62.66,62.69,62.34,62.43,6496270
2024-05-17,63.4,63.43,63.29,63.33,12310898
2024-05-20,63.47,63.79,63.37,63.78,6670131
2024-05-21,63.83,63.92,63.7,63.74,11309938
2024-05-22,63.16,63.59,63.02,63.45,6338609
2024-05-23,62.92,63.12,62.77,62.87,6923956
2024-05-24,63.15,63.46,63.13,63.37,9893954
2024-05-27,61.9,62.01,61.71,61.79,3628207
2024-05-28,62.11,62.23,61.96,62.08,2884286
2024-05-29,62.94,63.13,62.8,62.92,8233378
2024-05-30,62.06,62.43,62.06,62.14,5405287
2024-05-31,60.53,60.71,60.49,60.69,12894582
2024-06-03,61.76,62.23,61.72,62.2,6074919
2024-06-04,60.2,60.4,60.16,60.32,10370386
2024-06-05,60.3,60.4,59.78,59.9,6513154
2024-06-06,60.94,61.02,60.69,60.69,7530062
2024-06-07,61.63,61.72,61.25,61.45,10086676
2024-06-10,62.13,62.44,62.12,62.35,12004217
2024-06-11,63.41,63.77,63.33,63.62,10555147
2024-06-12,63.8,63.92,63.68,63.73,10043941
2024-06-13,64.75,64.76,64.18,64.29,11373456
2024-06-14,64.31,64.69,64.18,64.65,6092273
2024-06-17,65.71,65.71,65.52,65.57,6909072
2024-06-18,64.96,65.03,64.8,65.02,6001585
2024-06-19,63.92,64.13,63.91,64.1,8247964
2024-06-20,63.93,64.07,63.51,63.77,12017503
2024-06-21,62.97,63.06,62.81,62.85,6340932
2024-06-24,64.45,64.57,64.34,64.42,6421891
2024-06-25,65.47,65.54,65.47,65.52,7447294
2024-06-26,65.32,65.38,65.15,65.34,6536436
2024-06-27,67.04,67.3,66.96,67.17,5076772
2024-06-28,67.9,67.93,67.32,67.4,10020284
2024-07-01,68.94,69.24,68.79,69.15,7443641
2024-07-02,69.25,69.4,68.8,69.08,7394027
2024-07-03,67.48,67.6,67.31,67.44,7184070
2024-07-04,68.31,68.46,67.99,68.1,8553447
2024-07-05,68.55,68.63,68.02,68.05,12329998
2024-07-08,66.24,66.56,66.11,66.42,6194093
2024-07-09,65.88,66.04,65.59,65.69,7415549
2024-07-10,67.96,68.25,67.88,68.07,12272691
2024-07-11,67.25,67.35,67.05,67.07,6912095
2024-07-12,67.15,67.38,66.76,66.83,10344229
2024-07-15,67.57,67.58,67.49,67.51,5108894
2024-07-16,67.29,67.81,67.25,67.63,9882554
2024-07-17,67.74,67.77,67.58,67.6,7967733
2024-07-18,65.74,66.14,65.69,66.06,9395567
2024-07-19,67.3,67.41,66.95,67.16,12480795
2024-07-22,67.33,67.35,67.28,67.32,7825208
2024-07-23,67.44,67.83,67.37,67.68,5540821
2024-07-24,68.79,68.91,68.57,68.68,6996512
2024-07-25,68.3,68.36,68.04,68.13,7298160
2024-07-26,68.45,68.72,68.19,68.32,8549548
2024-07-29,69.32,69.52,69.02,69.44,8528260
2024-07-30,67.15,67.62,66.98,67.51,10578534
2024-07-31,67.73,67.9,67.67,67.78,8124512
2024-08-01,67.43,67.61,67.33,67.57,10178708
2024-08-02,66.38,66.49,66.22,66.36,9366099
2024-08-05,65.66,65.93,65.49,65.55,6247709
2024-08-06,65.5,65.67,65.39,65.48,5928924
2024-08-07,66.37,66.51,66.18,66.46,5164313
2024-08-08,67.6,67.75,67.46,67.59,10004579
2024-08-09,67.23,67.33,67.03,67.12,11452408
2024-08-12,66.95,67.14,66.46,66.54,9372357
2024-08-13,66.96,67.22,66.87,67.21,12413837
2024-08-14,66.4,66.61,66.36,66.53,9725426
2024-08-15,65.88,66.01,65.71,65.99,12680126
2024-08-16,65.25,65.33,64.95,65.0,8536396
2024-08-19,66.54,66.86,66.36,66.77,7346972
2024-08-20,67.3,67.35,67.09,67.11,11861041
2024-08-21,66.79,66.8,66.51,66.69,8562035
2024-08-22,65.07,65.16,65.04,65.15,6798803
2024-08-23,66.97,67.4,66.9,67.24,9852180
