Date,Open,High,Low,Close,Volume
2024-04-05,198.57,198.72,197.9,198.0,15174110
2024-04-08,202.74,203.01,201.8,201.86,8668059
2024-04-09,196.65,196.69,196.17,196.64,8718460
2024-04-10,196.11,196.37,195.45,195.7,9903499
2024-04-11,197.17,198.24,197.17,197.95,10025747
2024-04-12,200.78,201.18,200.42,200.57,19166627
2024-04-15,200.74,200.75,199.52,199.93,6013478
2024-04-16,197.38,197.91,197.31,197.75,9692798
2024-04-17,200.85,201.37,200.83,200.99,10077946
2024-04-18,199.67,199.95,199.03,199.15,10451184
2024-04-19,201.19,202.02,200.77,201.91,11309972
2024-04-22,203.13,203.7,202.76,203.21,8333135
2024-04-23,205.38,205.62,204.5,204.58,8912625
2024-04-24,201.6,202.07,201.13,201.98,13868379
2024-04-25,202.55,202.57,201.73,201.92,8059514
2024-04-26,203.21,203.71,202.77,203.46,10814822
2024-04-29,199.07,199.29,198.66,198.83,12035166
2024-04-30,198.37,198.69,198.04,198.4,17009166
2024-05-01,197.41,198.08,197.19,197.82,6994236
2024-05-02,197.53,197.89,196.86,196.94,16939738
2024-05-03,196.92,198.03,196.87,197.73,11007825
2024-05-06,193.53,193.94,192.79,193.78,10719790
2024-05-07,194.67,195.06,194.1,194.86,8637083
2024-05-08,191.71,192.1,191.52,192.09,7894938
2024-05-09,190.01,190.38,189.4,189.61,8526256
2024-05-10,189.73,189.91,189.12,189.46,12783086
2024-05-13,193.43,194.3,193.35,193.77,6977546
2024-05-14,194.36,194.58,193.41,193.7,13670932
2024-05-15,198.26,198.84,197.93,198.51,7841491
2024-05-16,198.25,199.23,198.1,198.9,13751217
2024-05-17,201.02,201.36,200.2,200.88,13106193
2024-05-20,200.63,201.05,200.37,200.77,12271003
2024-05-21,203.67,204.39,203.51,204.24,18788287
2024-05-22,200.31,201.24,200.28,201.14,15682462
2024-05-23,204.29,205.0,204.0,204.95,11752634
2024-05-24,199.11,199.62,198.85,199.34,19142829
2024-05-27,206.37,206.51,205.82,206.04,15869523
2024-05-28,207.75,207.78,206.85,207.0,23323897
2024-05-29,208.72,208.98,207.82,207.89,9767643
2024-05-30,212.91,213.2,212.09,212.55,9021916
2024-05-31,212.84,213.25,212.5,213.09,9757792
2024-06-03,214.15,215.39,214.02,215.3,8391916
2024-06-04,216.41,217.09,216.41,216.71,8057862
2024-06-05,217.67,217.96,216.89,217.43,9807627
2024-06-06,219.22,219.87,219.14,219.51,7791567
2024-06-07,218.82,219.43,218.65,219.03,13373770
2024-06-10,219.13,219.44,217.68,217.77,11798015
2024-06-11,220.59,222.31,220.43,220.93,9196643
2024-06-12,219.7,220.36,219.4,219.95,6399513
2024-06-13,225.46,225.58,225.05,225.24,7570982
2024-06-14,226.54,226.98,225.93,226.8,8718741
2024-06-17,221.66,222.07,221.44,221.98,6208764
2024-06-18,220.71,220.89,219.23,219.69,8751242
2024-06-19,216.31,216.54,216.22,216.28,7378797
2024-06-20,222.95,223.37,221.87,222.19,8443078
2024-06-21,223.8,223.85,222.74,223.38,10845028
2024-06-24,222.73,223.23,221.99,222.97,7331313
2024-06-25,222.04,222.37,221.54,222.05,11485979
2024-06-26,225.93,226.86,225.43,226.72,11714883
2024-06-27,226.5,226.78,225.28,225.98,9305722
2024-06-28,225.8,226.1,225.59,226.09,9525655
2024-07-01,222.74,222.91,222.28,222.63,7709989
2024-07-02,222.25,223.11,221.83,222.98,18153446
2024-07-03,220.98,222.21,220.56,221.79,13786763
2024-07-04,219.67,220.25,219.64,220.06,6291242
2024-07-05,223.73,223.79,223.19,223.45,6624923
2024-07-08,220.62,221.1,220.54,220.67,9299396
2024-07-09,225.01,225.09,224.25,224.32,11922166
