Date,Open,High,Low,Close,Volume
2024-04-05,160.29,160.7,158.81,159.92,11446010
2024-04-08,156.04,156.1,154.95,155.6,4826660
2024-04-09,154.35,155.16,153.86,155.09,4697960
2024-04-10,150.85,151.22,149.76,150.17,11749404
2024-04-11,152.7,152.75,151.45,151.66,8148970
2024-04-12,154.23,154.84,154.19,154.53,9318553
2024-04-15,150.47,150.58,149.6,150.05,3417464
2024-04-16,146.45,147.84,146.18,147.39,6189067
2024-04-17,147.05,147.8,146.99,147.34,6874113
2024-04-18,149.25,149.95,148.75,149.86,4869465
2024-04-19,143.2,143.33,143.06,143.25,8986005
2024-04-22,142.46,143.56,142.46,143.37,5238179
2024-04-23,142.81,142.9,142.07,142.14,8493249
2024-04-24,141.7,142.02,141.51,141.88,6555028
2024-04-25,141.5,141.53,140.45,141.08,9655641
2024-04-26,137.33,138.68,137.07,138.59,5393639
2024-04-29,139.52,140.13,139.22,139.57,6017376
2024-04-30,136.92,136.93,136.01,136.38,8458720
2024-05-01,135.99,137.04,135.83,136.81,7817058
2024-05-02,140.45,140.77,140.11,140.77,8017923
2024-05-03,141.56,142.27,140.79,140.94,9582989
2024-05-06,139.5,139.79,139.41,139.51,4477014
2024-05-07,140.56,140.75,139.82,140.57,4875319
2024-05-08,138.65,138.73,136.88,137.02,7335963
2024-05-09,139.65,140.32,138.65,138.79,6085603
2024-05-10,137.83,138.18,137.26,137.4,6637865
2024-05-13,139.12,140.75,139.07,140.06,6092895
2024-05-14,143.0,143.1,142.14,142.34,4364829
2024-05-15,144.88,145.27,144.16,144.25,6956607
2024-05-16,146.44,147.18,146.24,147.08,7225567
2024-05-17,147.89,148.76,147.49,148.43,10154230
2024-05-20,149.32,149.97,148.84,149.56,5164707
2024-05-21,156.0,156.05,155.29,155.44,4069418
2024-05-22,157.22,157.84,156.74,156.93,4951733
2024-05-23,160.21,160.24,160.17,160.2,8527649
2024-05-24,161.24,162.23,161.12,162.06,5143925
2024-05-27,163.07,163.55,162.39,163.51,4262150
2024-05-28,165.24,165.49,163.88,164.43,6291666
2024-05-29,167.24,167.51,166.05,166.21,6174955
2024-05-30,167.47,168.44,167.41,167.89,6575594
2024-05-31,162.3,162.67,161.88,162.1,8588126
2024-06-03,164.75,164.96,164.75,164.82,7631567
2024-06-04,163.84,164.43,163.75,164.34,8917461
2024-06-05,166.02,167.0,165.86,166.65,8292327
2024-06-06,166.82,166.96,165.21,165.96,4186041
2024-06-07,169.08,169.4,168.86,169.38,4470501
2024-06-10,168.46,169.4,167.71,168.51,8273503
2024-06-11,166.72,166.97,166.47,166.73,3263438
2024-06-12,163.61,164.96,163.44,164.84,8113942
2024-06-13,164.51,166.12,164.3,166.09,7490312
2024-06-14,166.02,166.05,165.55,165.98,8684580
2024-06-17,164.51,164.92,164.47,164.83,4063809
2024-06-18,164.0,164.04,163.37,163.79,7312357
2024-06-19,161.9,162.64,161.4,162.19,3618830
2024-06-20,162.34,163.6,162.2,163.07,6542397
2024-06-21,163.02,163.84,162.96,163.75,6975245
2024-06-24,164.16,164.79,164.1,164.75,3590484
2024-06-25,164.48,164.53,164.45,164.52,4883645
2024-06-26,165.28,165.47,164.8,165.42,5495863
2024-06-27,170.74,171.02,169.48,170.17,5238686
2024-06-28,176.44,177.53,175.53,176.54,7936492
2024-07-01,180.7,181.04,179.74,180.39,6115697
2024-07-02,182.16,182.2,181.7,181.8,10649966
2024-07-03,187.06,187.37,186.56,187.06,9374813
2024-07-04,190.88,191.23,189.96,190.11,9678541
2024-07-05,194.22,194.42,192.47,193.44,7177857
2024-07-08,187.74,188.31,186.53,186.73,4212285
2024-07-09,192.98,194.4,191.91,193.67,5644533
2024-07-10,199.12,199.45,198.1,198.3,7657555
2024-07-11,197.02,197.58,195.5,195.91,4491505
2024-07-12,195.71,196.27,195.09,195.42,4326893
2024-07-15,194.33,194.97,194.08,194.66,4962782
2024-07-16,193.15,194.47,193.04,194.05,6222106
2024-07-17,189.05,190.28,189.04,189.56,10509828
2024-07-18,188.55,189.82,188.3,189.52,5324918
2024-07-19,192.11,193.26,191.96,192.73,6552854
2024-07-22,198.03,198.36,197.74,198.08,7490086
2024-07-23,200.56,200.68,199.52,199.56,2789188
2024-07-24,197.38,197.59,196.25,196.84,6365537
2024-07-25,197.16,198.4,196.43,198.15,7535184
2024-07-26,198.14,199.72,198.04,199.56,4385326
2024-07-29,196.36,197.01,196.15,196.77,4601229
2024-07-30,196.98,197.67,196.6,197.3,6336179
2024-07-31,199.52,199.93,198.95,199.44,3519140
2024-08-01,190.91,191.87,190.79,191.49,6586064
2024-08-02,194.19,194.25,193.69,193.86,11685938
2024-08-05,191.87,193.88,191.79,193.19,3567056
2024-08-06,193.44,193.67,192.73,192.95,6833490
2024-08-07,192.69,193.32,192.34,192.84,4147194
2024-08-08,200.51,200.7,199.76,200.15,6050724
2024-08-09,200.77,201.07,200.62,201.03,8010292
2024-08-12,200.54,200.8,200.32,200.78,6688301
2024-08-13,203.28,203.52,203.03,203.17,10774745
2024-08-14,207.29,207.56,206.62,206.75,13320359
2024-08-15,206.17,206.25,204.45,204.91,9894479
2024-08-16,202.36,202.67,201.91,202.57,12998684
2024-08-19,200.45,201.51,199.61,199.84,3722421
2024-08-20,188.37,188.52,187.75,188.47,6369239
2024-08-21,193.18,193.63,192.02,192.25,9291900
2024-08-22,192.7,192.77,192.1,192.14,6537637
2024-08-23,190.03,191.02,189.08,189.41,4992072
2024-08-26,187.6,188.36,187.46,188.31,3682928
2024-08-27,185.87,187.12,185.47,186.85,7510240
2024-08-28,187.45,188.9,187.31,188.6,4878634
2024-08-29,184.06,184.75,183.09,183.5,5736405
2024-08-30,182.77,183.04,182.01,182.75,6570350
2024-09-02,178.77,179.23,177.39,178.61,8988454
2024-09-03,178.28,178.91,177.57,178.89,6983880
2024-09-04,176.55,177.14,175.96,177.02,6980096
2024-09-05,173.02,173.66,172.64,173.2,7063534
2024-09-06,164.35,165.1,163.78,164.64,5395761
2024-09-09,164.64,164.71,164.2,164.45,10018221
2024-09-10,168.6,169.1,168.4,168.82,4513157
2024-09-11,176.05,176.17,174.89,175.06,2887821
2024-09-12,175.57,176.53,175.54,176.28,8610723
2024-09-13,175.87,176.04,174.94,175.26,9183670
2024-09-16,181.5,182.52,181.31,182.02,5918762
2024-09-17,178.13,178.27,177.61,177.99,5798063
2024-09-18,181.43,182.51,180.85,182.1,5557985
2024-09-19,185.97,186.51,185.62,185.64,7058629
2024-09-20,185.23,185.47,184.1,184.43,3998234
2024-09-23,186.55,186.87,185.62,185.73,5139893
2024-09-24,187.69,188.29,187.12,187.59,5352274
2024-09-25,185.48,187.54,184.97,186.73,7066701
2024-09-26,182.42,182.66,182.06,182.45,4901034
2024-09-27,187.71,187.74,186.23,186.73,7945805
2024-09-30,186.07,187.61,185.53,186.45,11103683
2024-10-01,186.14,186.33,185.62,186.09,7318715
2024-10-02,186.86,187.65,186.6,187.32,5510187
2024-10-03,189.68,189.96,189.02,189.44,5452281
2024-10-04,187.97,188.46,186.42,186.49,7713228
2024-10-07,184.99,186.46,184.3,186.01,5639688
2024-10-08,180.37,180.5,179.46,179.98,7448032
2024-10-09,179.7,180.86,178.68,179.06,2900938
2024-10-10,172.22,173.77,171.89,173.46,7348625
2024-10-11,176.2,177.02,176.07,176.87,8733066
2024-10-14,175.43,176.13,174.66,174.86,9777114
2024-10-15,178.68,178.92,177.43,177.88,3718107
2024-10-16,178.92,179.28,178.75,178.95,5514606
2024-10-17,177.75,178.28,177.6,177.64,6378394
2024-10-18,172.72,173.82,171.89,173.67,10075736
2024-10-21,173.9,174.18,173.43,173.96,6768934
2024-10-22,176.13,176.2,174.53,175.43,3873025
2024-10-23,175.0,175.29,174.55,174.62,6904488
2024-10-24,174.63,175.02,174.16,174.89,4324168
2024-10-25,170.76,171.99,170.44,171.65,4250634
2024-10-28,175.23,175.45,175.11,175.18,6598229
2024-10-29,173.73,174.65,173.44,174.27,8691454
2024-10-30,178.1,179.12,176.57,177.06,7237630
2024-10-31,177.3,177.35,176.48,176.81,8695625
2024-11-01,180.75,181.75,180.69,181.17,7307172
2024-11-04,186.56,186.89,185.7,186.13,6582105
2024-11-05,186.09,186.99,185.45,185.76,8002842
2024-11-06,185.93,186.09,184.89,185.24,7153317
2024-11-07,180.73,181.52,180.73,181.33,11708298
2024-11-08,182.86,183.9,182.54,183.48,8309130
2024-11-11,187.59,188.11,185.3,185.73,5547421
