Date,Open,High,Low,Close,Volume
2024-04-05,275.26,276.69,275.12,276.4,7471492
2024-04-08,273.39,273.55,272.45,272.57,7372663
2024-04-09,272.87,274.09,272.29,273.95,7437639
2024-04-10,270.79,271.6,270.71,271.02,16707668
2024-04-11,273.07,273.18,271.61,271.87,8935905
2024-04-12,268.27,268.95,267.97,268.59,9292693
2024-04-15,268.77,269.61,267.82,268.05,5155445
2024-04-16,263.66,264.11,263.27,263.32,13984883
2024-04-17,263.14,263.93,262.62,263.4,16025200
2024-04-18,265.72,266.21,265.56,265.59,12192589
2024-04-19,266.01,267.03,265.81,266.55,11791839
2024-04-22,271.36,271.77,269.55,270.01,8104430
2024-04-23,267.58,268.07,266.95,267.94,11482273
2024-04-24,267.8,268.19,267.55,267.6,12066359
2024-04-25,270.69,271.23,270.1,270.48,10539771
2024-04-26,274.44,275.25,274.22,275.0,14696378
2024-04-29,282.98,283.37,282.21,282.43,10623519
2024-04-30,277.83,278.23,277.09,278.09,11503545
2024-05-01,274.05,274.55,273.31,274.17,6581612
2024-05-02,274.81,275.01,274.13,274.81,7928305
2024-05-03,272.55,272.91,271.02,271.3,14135466
2024-05-06,271.79,273.12,271.6,272.49,7609143
2024-05-07,276.7,276.83,276.22,276.51,12025469
2024-05-08,276.3,276.9,274.9,275.22,12115550
2024-05-09,276.15,277.25,275.83,277.04,9639652
2024-05-10,274.6,275.26,274.39,274.94,10939327
2024-05-13,274.96,275.22,274.05,274.39,8102388
2024-05-14,275.84,276.96,275.55,276.82,9498757
2024-05-15,275.42,275.8,275.17,275.4,9042484
2024-05-16,273.59,273.61,273.34,273.56,6767816
2024-05-17,270.74,271.14,270.66,271.01,11305507
2024-05-20,273.57,274.04,272.98,273.98,10141212
2024-05-21,275.79,275.99,275.45,275.85,12522566
2024-05-22,281.83,282.21,281.33,281.42,16427253
2024-05-23,273.01,273.38,272.69,273.13,17466063
2024-05-24,275.06,275.59,274.49,274.68,13355822
2024-05-27,274.52,275.02,274.38,274.76,11835365
2024-05-28,271.25,271.79,271.05,271.6,13919393
2024-05-29,269.17,269.44,268.55,269.37,8538584
2024-05-30,272.05,272.32,271.61,272.24,5324866
2024-05-31,272.31,273.08,271.95,272.85,19297475
2024-06-03,271.68,271.96,271.1,271.24,15827348
2024-06-04,271.98,273.07,271.49,272.9,11332841
2024-06-05,270.85,271.47,270.57,271.4,11449017
2024-06-06,261.45,262.32,261.41,262.31,10672009
2024-06-07,264.98,265.77,264.51,265.33,18681400
2024-06-10,266.2,266.42,264.74,265.0,7822431
2024-06-11,264.45,264.76,263.79,264.65,8869514
2024-06-12,267.11,267.77,265.93,266.14,10212164
2024-06-13,265.44,265.68,265.29,265.38,10664506
2024-06-14,264.73,265.59,264.33,265.07,16816750
2024-06-17,263.65,264.53,263.2,263.42,4336086
2024-06-18,257.92,259.06,257.29,258.46,19566724
2024-06-19,259.84,260.0,259.38,259.46,14201114
2024-06-20,255.4,257.31,255.02,257.02,8350894
2024-06-21,252.71,253.3,252.51,252.58,11685132
2024-06-24,248.47,249.52,248.15,249.19,16370554
2024-06-25,245.95,246.08,244.95,245.51,11912244
2024-06-26,248.94,249.47,248.36,248.43,15290972
2024-06-27,246.03,247.01,245.96,246.82,9348776
2024-06-28,243.25,244.12,242.99,243.64,13225768
2024-07-01,245.62,245.76,245.11,245.17,10377877
2024-07-02,241.54,242.05,240.87,241.76,10762099
2024-07-03,248.33,248.66,248.09,248.26,8060025
2024-07-04,248.84,248.98,248.53,248.83,14675703
2024-07-05,246.59,246.96,245.47,246.17,11340365
2024-07-08,241.59,242.25,241.56,242.11,19101679
2024-07-09,246.49,246.64,246.31,246.38,13261047
2024-07-10,247.18,247.87,246.66,247.65,9059504
2024-07-11,246.33,246.7,246.25,246.65,12198904
2024-07-12,245.87,246.86,245.37,245.43,13479274
2024-07-15,245.66,246.11,245.43,246.05,6222524
2024-07-16,248.2,248.24,247.48,247.84,9521354
2024-07-17,248.75,248.9,247.54,247.93,10311280
2024-07-18,251.54,252.11,251.12,251.8,10717228
2024-07-19,253.46,254.24,252.38,252.97,13880653
2024-07-22,255.85,256.4,255.73,255.96,15148468
2024-07-23,252.0,252.32,251.82,252.11,11700425
2024-07-24,255.32,256.57,255.12,256.24,12674989
2024-07-25,252.84,253.13,252.5,253.09,8453226
2024-07-26,251.09,251.61,250.43,250.58,14093714
2024-07-29,248.54,249.4,247.63,247.98,10482804
2024-07-30,244.95,245.7,244.57,245.19,12532393
2024-07-31,243.64,244.19,243.21,244.01,12174147
2024-08-01,238.4,238.55,237.91,238.34,8668631
2024-08-02,240.67,240.83,240.63,240.63,16862069
2024-08-05,239.64,240.29,239.56,239.69,8080012
2024-08-06,238.54,238.74,238.53,238.62,17623641
2024-08-07,241.6,241.9,240.73,240.8,9188698
2024-08-08,240.48,240.63,240.0,240.25,9528751
2024-08-09,239.67,240.0,238.6,238.76,11350270
2024-08-12,237.45,238.33,236.55,236.7,10158732
2024-08-13,237.31,237.66,237.1,237.56,10626342
2024-08-14,235.41,235.57,234.72,235.06,12526195
2024-08-15,229.98,230.54,229.75,230.35,11679113
