Date,Open,High,Low,Close,Volume
2024-04-05,164.89,165.44,164.45,165.18,15903359
2024-04-08,167.38,167.4,166.7,166.89,10048271
2024-04-09,167.88,167.97,167.61,167.79,14054612
2024-04-10,170.89,171.19,170.69,171.03,14064239
2024-04-11,169.3,169.53,168.74,168.93,15046369
2024-04-12,168.59,168.76,168.08,168.14,13612143
2024-04-15,167.22,168.02,166.89,167.48,12750469
2024-04-16,166.93,167.38,166.8,166.86,15948911
2024-04-17,168.16,168.56,168.0,168.44,10236039
2024-04-18,168.96,168.97,168.37,168.41,11936298
2024-04-19,171.58,171.66,171.53,171.64,19155739
2024-04-22,172.66,173.09,172.31,172.59,12095555
2024-04-23,172.61,172.83,172.48,172.77,19369550
2024-04-24,173.22,173.62,173.06,173.42,12356059
2024-04-25,173.17,173.79,172.9,173.78,7832856
2024-04-26,174.06,174.67,173.77,173.95,12003671
2024-04-29,172.78,172.82,171.92,172.08,7338371
2024-04-30,172.59,172.79,172.31,172.48,13628665
2024-05-01,172.85,173.0,172.44,172.74,7893694
2024-05-02,170.72,171.0,169.85,170.1,11226150
2024-05-03,170.33,170.91,170.09,170.75,15981691
2024-05-06,172.01,172.18,171.6,171.77,12945940
2024-05-07,170.05,170.21,169.97,170.03,31550724
2024-05-08,172.38,172.41,172.02,172.14,14569286
2024-05-09,172.83,172.99,172.72,172.75,13871865
2024-05-10,171.35,171.86,171.19,171.38,15020654
2024-05-13,172.19,172.27,171.85,172.04,16219856
2024-05-14,171.29,171.45,171.07,171.37,10925023
2024-05-15,168.99,169.61,168.7,169.44,11199195
2024-05-16,168.73,168.77,168.38,168.41,5781066
2024-05-17,168.32,168.49,168.31,168.38,14585137
2024-05-20,168.88,168.94,168.58,168.62,12089192
2024-05-21,166.42,166.6,166.31,166.6,9073226
2024-05-22,166.88,166.95,166.41,166.61,15661795
2024-05-23,166.1,166.42,165.75,165.89,11833850
2024-05-24,165.05,165.37,164.67,164.92,14402306
2024-05-27,165.63,165.65,165.1,165.34,11069858
2024-05-28,166.51,167.12,166.07,166.8,11880003
2024-05-29,166.54,166.97,166.1,166.73,10267233
2024-05-30,167.09,167.12,167.02,167.09,17359455
2024-05-31,167.34,167.43,167.15,167.2,15004860
2024-06-03,165.15,165.41,164.38,164.49,8650363
2024-06-04,166.89,167.04,166.44,166.57,9761234
2024-06-05,164.84,164.99,164.48,164.85,7709705
2024-06-06,163.7,163.77,163.49,163.58,15157298
2024-06-07,166.56,166.78,166.36,166.53,20885286
2024-06-10,163.73,164.03,163.7,163.87,8952299
2024-06-11,165.61,165.86,165.57,165.85,14948983
2024-06-12,164.66,164.9,164.54,164.63,16880119
2024-06-13,165.09,165.4,164.78,165.33,12019147
2024-06-14,164.72,164.94,164.66,164.74,9821275
2024-06-17,163.28,163.6,163.08,163.39,10753012
2024-06-18,162.74,163.0,162.5,162.91,14834208
2024-06-19,161.46,161.65,161.31,161.5,13634774
2024-06-20,162.61,162.69,162.4,162.64,13463822
2024-06-21,161.36,162.35,160.97,161.95,16327758
2024-06-24,161.47,161.87,161.21,161.26,16437766
2024-06-25,162.72,162.72,161.9,162.17,7071181
2024-06-26,161.54,162.02,161.46,161.61,11840760
2024-06-27,159.07,159.44,158.78,159.22,10346229
2024-06-28,160.78,161.05,160.5,161.0,8275788
2024-07-01,161.14,161.2,161.05,161.16,10390721
2024-07-02,161.6,162.37,161.35,161.94,5237262
2024-07-03,163.17,163.68,162.9,163.61,11971600
2024-07-04,164.32,164.45,163.97,164.06,12206882
2024-07-05,163.6,163.74,162.78,163.05,17115690
2024-07-08,164.05,164.09,163.61,163.66,14971188
2024-07-09,165.16,165.63,165.06,165.28,13213784
2024-07-10,167.79,168.32,167.74,168.04,18391501
2024-07-11,168.28,168.56,167.46,167.64,20348376
2024-07-12,168.33,168.46,168.15,168.35,19815845
2024-07-15,169.0,169.48,168.84,169.21,18196756
2024-07-16,167.37,167.7,167.36,167.65,9401361
2024-07-17,165.89,165.91,165.4,165.5,11303823
2024-07-18,166.9,167.26,166.86,166.94,16005076
2024-07-19,167.56,167.98,167.38,167.75,13214675
2024-07-22,168.41,169.01,168.18,168.54,15792345
2024-07-23,169.14,169.24,168.99,169.16,9996586
2024-07-24,167.12,167.3,166.73,166.89,11815955
2024-07-25,165.33,165.45,164.45,164.89,9434158
2024-07-26,167.48,167.64,166.92,167.02,10844614
2024-07-29,168.44,168.78,168.44,168.72,23349710
2024-07-30,171.35,171.53,170.47,170.81,11577648
2024-07-31,169.77,170.59,169.54,170.3,13797088
2024-08-01,172.96,173.34,172.27,172.59,8948321
2024-08-02,171.76,171.9,171.61,171.74,15142998
2024-08-05,171.26,171.62,171.1,171.43,7651994
2024-08-06,175.7,175.81,175.45,175.52,15777171
2024-08-07,176.48,176.74,176.36,176.56,11430479
2024-08-08,177.85,177.92,177.61,177.74,10356471
2024-08-09,178.57,178.72,177.62,177.79,19214070
2024-08-12,176.06,176.2,175.94,176.11,14606271
2024-08-13,175.64,175.73,175.08,175.4,9880690
2024-08-14,177.04,177.16,176.74,177.12,17950373
2024-08-15,180.11,180.25,179.64,179.66,14003939
2024-08-16,179.08,179.72,178.91,179.67,14038479
2024-08-19,179.4,179.56,178.75,179.01,19514522
2024-08-20,179.05,179.22,178.57,178.63,11670683
2024-08-21,179.13,179.19,178.79,178.94,11429863
2024-08-22,177.36,177.55,177.17,177.38,9196363
2024-08-23,181.95,182.3,181.69,182.03,8178934
2024-08-26,182.38,182.4,182.34,182.36,5200576
2024-08-27,182.85,182.99,182.05,182.37,16179177
2024-08-28,185.6,185.79,185.48,185.7,13396500
2024-08-29,185.58,186.23,185.52,186.14,13843138
2024-08-30,186.19,186.38,185.66,185.67,24519756
2024-09-02,184.82,184.85,184.32,184.38,8289402
2024-09-03,182.15,183.11,182.02,182.47,11834136
2024-09-04,181.84,181.9,181.57,181.59,11878166
2024-09-05,179.55,179.76,179.38,179.66,10453601
2024-09-06,179.55,180.13,179.45,180.11,13850315
2024-09-09,181.19,181.69,181.07,181.34,12074732
2024-09-10,179.26,179.57,179.19,179.51,13848315
2024-09-11,182.83,182.84,182.4,182.65,10249620
2024-09-12,183.82,184.23,183.78,184.08,17953816
2024-09-13,184.04,184.19,183.84,183.85,15676091
2024-09-16,185.11,185.3,184.63,184.86,5902925
2024-09-17,184.83,185.33,184.58,184.79,15105628
2024-09-18,182.24,182.29,181.79,182.02,10048339
2024-09-19,181.9,182.37,181.71,181.77,20135773
2024-09-20,179.74,179.86,179.24,179.34,23713188
2024-09-23,180.44,180.58,180.13,180.56,11184733
2024-09-24,183.44,183.74,183.09,183.21,18560948
2024-09-25,179.37,179.56,179.05,179.07,11711510
2024-09-26,178.71,178.89,178.08,178.31,19580046
2024-09-27,176.81,177.12,175.98,176.09,15356865
2024-09-30,177.62,177.77,177.21,177.66,8147663
2024-10-01,177.58,177.76,177.38,177.66,20588718
2024-10-02,177.82,177.99,177.81,177.83,16532378
2024-10-03,177.57,177.78,176.86,177.13,10709987
2024-10-04,179.7,179.75,179.4,179.59,20256210
2024-10-07,178.71,178.8,178.17,178.54,6050881
