Date,Open,High,Low,Close,Volume
2024-04-05,107.35,107.61,106.91,107.04,9015517
2024-04-08,108.69,108.92,108.66,108.68,10566848
2024-04-09,107.31,107.39,107.03,107.29,4421915
2024-04-10,108.19,108.22,107.88,107.92,6600220
2024-04-11,108.94,108.97,108.34,108.45,11810041
2024-04-12,109.33,109.34,108.69,108.87,8354934
2024-04-15,110.61,110.93,110.53,110.73,5390969
2024-04-16,110.35,110.72,109.97,110.25,8183623
2024-04-17,108.73,109.0,108.67,108.9,12422710
2024-04-18,107.58,107.74,107.47,107.54,7946663
2024-04-19,107.12,107.49,107.02,107.44,8046312
2024-04-22,106.59,106.94,106.54,106.86,12318860
2024-04-23,105.61,105.86,105.5,105.65,9814363
2024-04-24,105.76,105.97,105.36,105.71,10661370
2024-04-25,107.05,107.44,106.9,107.39,8729445
2024-04-26,106.86,107.87,106.72,107.76,8194715
2024-04-29,110.86,111.03,110.28,110.46,5499327
2024-04-30,112.35,112.54,112.31,112.39,9148624
2024-05-01,111.81,112.46,111.67,112.33,8527325
2024-05-02,112.93,112.95,112.38,112.68,9755808
2024-05-03,113.55,113.96,113.39,113.72,10898475
2024-05-06,114.34,114.67,113.36,113.62,7495048
2024-05-07,111.61,111.99,111.49,111.8,8659467
2024-05-08,112.46,112.5,111.94,112.22,9414637
2024-05-09,111.37,111.39,111.24,111.28,8618303
2024-05-10,111.96,112.08,111.28,111.57,11432026
2024-05-13,110.28,110.56,110.09,110.46,7072989
2024-05-14,110.88,111.05,110.45,110.53,9928658
2024-05-15,111.76,112.04,111.23,111.42,5758462
2024-05-16,110.26,110.46,109.88,109.93,8344175
2024-05-17,109.04,109.11,108.78,108.98,7505884
2024-05-20,109.27,109.44,108.91,109.07,9399343
2024-05-21,109.56,109.6,108.85,109.05,9936025
2024-05-22,112.36,112.44,112.1,112.16,21092343
2024-05-23,112.21,112.29,112.15,112.18,7732892
2024-05-24,110.81,111.58,110.76,111.49,12254975
2024-05-27,110.54,110.56,109.94,110.14,11148872
2024-05-28,107.63,107.75,107.59,107.69,10203567
2024-05-29,108.0,108.09,107.99,108.07,7740925
2024-05-30,106.04,106.78,105.94,106.52,6730330
2024-05-31,108.17,108.2,107.5,107.58,10034580
2024-06-03,108.24,108.97,108.03,108.47,13763157
2024-06-04,107.8,108.56,107.69,108.3,7196246
2024-06-05,108.33,108.45,107.52,107.88,7922875
2024-06-06,108.0,108.27,107.83,108.16,10339429
2024-06-07,108.96,109.38,108.81,109.07,6005801
2024-06-10,107.79,108.09,107.74,107.75,8178838
2024-06-11,107.57,107.78,107.29,107.63,12876899
2024-06-12,104.96,105.18,104.49,104.71,11681581
2024-06-13,108.25,108.63,108.01,108.48,6826470
2024-06-14,108.45,108.52,108.3,108.37,11995620
2024-06-17,108.54,108.66,108.25,108.39,7514599
2024-06-18,107.2,107.83,107.06,107.57,9806556
2024-06-19,108.23,108.62,108.11,108.48,7044581
2024-06-20,110.46,110.84,110.42,110.77,10959469
2024-06-21,110.18,110.46,109.57,109.85,13046379
2024-06-24,111.23,111.42,110.82,111.41,6319883
2024-06-25,109.31,109.97,109.04,109.77,12566163
2024-06-26,109.91,110.08,109.91,110.03,10623241
2024-06-27,110.04,110.21,109.62,109.72,5728545
2024-06-28,109.78,109.87,109.42,109.87,8721416
2024-07-01,107.15,107.49,106.54,106.92,7529335
2024-07-02,106.25,107.08,105.98,106.58,10164852
2024-07-03,108.15,108.3,107.62,107.83,16572281
2024-07-04,112.3,112.63,112.09,112.2,9704050
2024-07-05,112.86,112.92,112.26,112.58,9915840
2024-07-08,113.54,113.67,112.66,112.75,4964336
2024-07-09,115.4,115.44,114.86,115.13,8296919
2024-07-10,116.51,116.79,116.09,116.47,9629322
2024-07-11,115.95,116.18,115.9,116.03,8637913
2024-07-12,116.82,116.95,116.48,116.57,10336817
2024-07-15,113.95,114.03,113.77,113.8,7266800
2024-07-16,113.16,113.32,112.8,113.18,6709230
2024-07-17,113.93,114.15,113.55,113.6,8448214
2024-07-18,115.81,116.07,115.72,115.78,9633623
2024-07-19,119.29,119.42,118.66,118.83,16570256
2024-07-22,118.72,118.78,118.58,118.7,10973727
2024-07-23,116.73,117.19,116.51,116.8,11438049
2024-07-24,116.56,116.62,116.3,116.39,16166414
2024-07-25,115.41,115.72,114.94,114.97,8763193
2024-07-26,114.65,115.66,114.59,115.35,15797126
2024-07-29,114.4,114.53,113.78,113.78,14347431
2024-07-30,113.26,113.81,113.14,113.44,6208515
2024-07-31,110.46,111.17,110.31,110.96,7601083
2024-08-01,111.38,112.04,111.34,111.82,8761275
2024-08-02,113.11,113.22,112.73,112.85,12896868
2024-08-05,111.08,111.1,110.59,110.8,9299661
2024-08-06,110.24,110.25,109.9,110.13,6256363
2024-08-07,111.44,111.61,111.15,111.6,7760221
2024-08-08,111.1,111.41,110.62,110.62,7799078
2024-08-09,108.68,108.72,108.6,108.69,14615650
2024-08-12,108.59,109.06,108.54,108.84,5451221
2024-08-13,110.85,110.92,110.29,110.38,5728794
2024-08-14,111.05,111.42,111.02,111.37,9799435
2024-08-15,108.76,108.9,108.44,108.53,7156704
2024-08-16,108.52,108.62,107.54,108.09,10978346
2024-08-19,109.44,109.8,109.13,109.17,13851951
2024-08-20,110.65,110.88,110.38,110.77,10122690
2024-08-21,112.51,112.8,112.24,112.72,17593034
2024-08-22,111.22,111.81,111.17,111.56,10233278
2024-08-23,108.82,108.85,108.62,108.73,12787561
2024-08-26,108.86,109.13,108.85,109.0,8880538
2024-08-27,108.28,109.03,108.09,108.91,11238975
2024-08-28,111.36,111.46,110.87,110.88,14912864
2024-08-29,108.66,108.97,108.5,108.73,14718358
2024-08-30,108.32,108.36,107.88,107.98,10289249
2024-09-02,108.38,109.14,108.35,109.05,12293130
2024-09-03,109.86,110.31,109.62,110.13,10432604
2024-09-04,112.26,112.31,112.12,112.3,9149047
2024-09-05,114.04,114.19,113.33,113.74,6788099
2024-09-06,115.03,115.27,114.98,115.14,12766754
2024-09-09,118.16,118.35,118.04,118.3,5238605
2024-09-10,117.93,118.23,117.38,117.67,11293729
2024-09-11,117.86,117.86,117.54,117.69,6497742
