Date,Open,High,Low,Close,Volume
2024-04-05,145.93,146.12,145.66,145.81,14873401
2024-04-08,144.03,144.03,143.82,144.0,6392764
2024-04-09,143.36,143.65,142.96,143.43,11461593
2024-04-10,142.84,142.89,142.22,142.34,23024123
2024-04-11,140.98,141.04,140.58,140.66,10767120
2024-04-12,139.0,139.34,138.93,139.21,27369149
2024-04-15,140.96,141.44,140.65,141.19,7065159
2024-04-16,142.08,142.87,141.59,142.57,13705815
2024-04-17,142.42,142.64,142.13,142.59,17563526
2024-04-18,143.53,143.78,142.93,142.97,17860284
2024-04-19,140.19,140.59,140.15,140.48,10794421
2024-04-22,140.77,141.11,140.35,140.63,7246400
2024-04-23,141.59,141.6,140.9,140.98,7040986
2024-04-24,140.76,141.21,140.76,141.18,13584786
2024-04-25,140.53,141.06,140.45,140.92,9882389
2024-04-26,139.4,139.82,139.27,139.77,14356190
2024-04-29,141.27,141.77,141.18,141.55,7781510
2024-04-30,143.54,143.62,143.25,143.27,12983128
2024-05-01,143.11,143.25,142.93,142.98,11796566
2024-05-02,144.39,144.48,144.37,144.42,9349209
2024-05-03,142.61,142.72,142.34,142.67,16029529
2024-05-06,142.05,142.26,141.98,142.22,7716451
2024-05-07,142.89,143.39,142.84,143.23,8279946
2024-05-08,144.24,144.77,143.96,144.53,10778318
2024-05-09,146.02,146.53,145.98,146.23,13556924
2024-05-10,146.57,146.78,146.37,146.39,13119727
2024-05-13,148.97,149.01,148.75,148.76,11018248
2024-05-14,148.16,148.38,147.77,148.35,11235570
2024-05-15,148.87,148.9,148.34,148.37,11799435
2024-05-16,146.24,146.34,145.6,145.82,10608824
2024-05-17,145.13,145.33,144.78,144.84,13582966
2024-05-20,143.38,143.65,143.24,143.51,9123248
2024-05-21,141.74,142.06,141.73,142.01,13287395
2024-05-22,139.7,140.09,139.63,139.97,17798502
2024-05-23,142.1,142.13,141.7,141.77,9243145
2024-05-24,141.85,142.12,141.12,141.29,12683409
2024-05-27,142.94,142.97,142.41,142.72,8739876
2024-05-28,140.93,140.96,140.53,140.63,11376069
2024-05-29,142.07,142.8,141.99,142.71,16804097
2024-05-30,141.71,141.73,141.51,141.68,17243607
2024-05-31,137.78,137.97,137.61,137.91,10722873
2024-06-03,139.02,139.49,138.83,139.35,11045595
2024-06-04,138.86,139.12,138.51,138.94,18282947
2024-06-05,138.05,138.26,137.4,137.74,10301716
2024-06-06,140.81,141.11,140.13,140.28,13830537
2024-06-07,141.41,141.84,141.37,141.71,11269063
2024-06-10,142.47,142.48,142.23,142.26,7333086
2024-06-11,139.91,140.0,139.36,139.48,13306050
2024-06-12,140.14,140.37,139.88,140.34,14307226
2024-06-13,141.29,141.89,141.13,141.79,9157134
2024-06-14,141.15,141.71,141.03,141.54,15988789
2024-06-17,140.03,140.24,139.81,139.83,7408503
2024-06-18,141.11,141.2,141.1,141.19,10535514
2024-06-19,138.84,139.35,138.68,139.18,11631976
2024-06-20,136.82,137.65,136.78,137.31,12978369
2024-06-21,137.72,137.74,137.24,137.6,16064724
2024-06-24,138.13,138.32,138.03,138.19,9939824
2024-06-25,139.59,139.9,139.26,139.6,15264777
2024-06-26,136.86,137.33,136.63,137.18,17008451
2024-06-27,135.8,135.94,135.79,135.93,10748161
2024-06-28,136.79,137.47,136.58,137.29,8916758
2024-07-01,134.79,135.45,134.74,135.06,9722216
2024-07-02,134.97,135.21,134.6,134.73,17277542
